,Tweet
0,"As Michiganders get ready for Halloween tomorrow, it’s important we remain diligent in following CDC guidelines to reduce the spread of COVID-19. Click below for guidance on how to have a safe and happy Halloween🎃
https://t.co/0wZhxLBLga"
1,"Today on #NationalFirstRespondersDay, join me in thanking all the brave first responders who work tirelessly to serve our communities. Now, more than ever, we appreciate their dedication and sacrifice. https://t.co/nHj5EfX3Dv"
2,Amy Coney Barrett is an extraordinarily qualified jurist who will serve our country well on the #SCOTUS. She will faithfully uphold the constitution &amp; interpret the law as written. I congratulate #ACB on this well-deserved accomplishment. https://t.co/Ng0mKifzPF
3,"Our approach to #COVID19 should be scientific and sensible. We can allow folks to live their lives in a safe and responsible way rather than instilling fear and panic about this virus. 
 
Listen to a clip from my interview yesterday w/ Paul Miller on @WPHMradio⬇️ https://t.co/EMKM6SXKXr"
4,"At the beginning of the pandemic, we didn’t know much about #COVID19, which led to mass lockdowns.

Since March we have learned a lot about the virus, and now we know how to keep the virus under control while keeping our economy &amp; society open.
https://t.co/s83bSRMln8"
5,"On this #IndigenousPeoplesDay, join me in recognizing the rich history and culture of Native Americans. Today is an important day to honor, thank, and celebrate those who held this land before us."
6,"Wishing all of those who observe #YomKippur a meaningful, safe, and easy fast! https://t.co/zc5YtN8GF5"
7,"The #PaycheckProtectionProgram has been instrumental in keeping small businesses afloat during the pandemic. The #PPP has supported over 128,000 small businesses in #Michigan alone, and #SmallBusinessWeek is a reminder there needs to be continued support. https://t.co/6MG1DsyoBd"
8,"Small businesses are the backbone of our nation’s economy and have been hit especially hard during the #COVID19 pandemic.
 
During this #SmallBusinessWeek, let’s show support for our community’s small businesses by shopping local! https://t.co/nDndSsV8gi"
9,"Read my latest op-ed on why it is not the federal government’s responsibility to bail out state and local governments in the next coronavirus relief package⬇️
https://t.co/wnANWKVdSx"
10,Deeply saddened to hear about the passing of Justice Ginsburg. She was a dedicated jurist who served our nation with honor. Her life &amp; work on the Supreme Court created a legacy that will inspire generations to come. I offer my deepest condolences to her family during this time.
11,"Tonight marks the beginning of #RoshHashanah, the Jewish New Year. To all those who celebrate across our nation and the world - have a happy and sweet new year! https://t.co/chfAegHsFq"
12,"Today on POW/MIA Recognition Day, please take a moment to honor those who were held as prisoners of war and those still missing in action. May we never forget their sacrifice for our country. #NeverForgotten https://t.co/CoRz7MizLr"
13,"Another $500B to state &amp; local governments does little to re-open businesses or create jobs.  It is just another bailout - plain and simple.
 
@SpeakerPelosi is putting a bailout for progressive politicians ahead of real #COVID19 relief.
https://t.co/uC4MVR0bK9"
14,"Protesting officers that were ambushed and chanting they should die is sickening. Dear God, we cannot allow the extremes in our society - on whatever edge of the political spectrum - to gain a foothold in our daily life.
https://t.co/yS92Wn51Eg"
15,"Today on the anniversary of #Sept11, let us all pause to remember the nearly 3,000 innocent lives lost to a horrific act of terror 19 years ago. May we #NeverForget the fallen, the families who lost loved ones, &amp; the first responders who risked their lives to save others that day https://t.co/oopL1MU8GE"
16,"The #COVID19 pandemic &amp; its disruption of traditional schools has further highlighted just how important school choice is. Read my op-ed w/ @SenatorTimScott about the importance of equipping all students with the individualized tools they need to succeed⬇️
https://t.co/numD6fe33w"
17,"This #LaborDay, I’m especially grateful to all essential workers who have gone above and beyond to help during the #COVID19 pandemic."
18,"Today I reflect upon the sacrifices &amp; bravery of all those who served in the Allied Forces, including my grandfather who served in the Pacific Theater. On this #VJDay, let the world express its continued gratitude for all those in the Greatest Generation. https://t.co/VG6FrkhurA"
19,"It's #WomensEqualityDay, which commemorates the adoption of the #19thAmendment to the Constitution. On the 100th anniversary, let us recognize the trailblazers who paved the way for this achievement &amp; appreciate the progress made in our country toward securing equality for all. https://t.co/BFXQOVp125"
20,I have contended that prolonged lockdowns or stay at home orders are damaging to our families and our future.  This article analyzes approaches of many countries and states - worth the read by all policymakers. I don’t believe COVID will just disappear. https://t.co/XWFxB6RntJ
21,Well - that certainly displays the “spirit” requires to achieve compromise on a COVID aid package.  Just wow. https://t.co/dCXPdpoyuH
22,"#ICYMI: This morning I spoke with Paul Miller on @WPHMradio about the U.S. Postal Service and the status of #COVID19 relief. Listen to the full interview below ⬇️📻
https://t.co/QviNt4XZwa"
23,@twu591president - I suggest you reach out to @SpeakerPelosi and @LeaderHoyer and reinforce this concern.  Lots of needs for COVID aid but all that came to floor was the USPS fabricated crisis bill. They control the floor of House. https://t.co/zRsU4CztHV
24,"It's disappointing that instead of working on much needed #COVID19 relief, @SpeakerPelosi called an ‘emergency’ session for a supposed crisis at the #USPS. The facts are clear – there is no emergency, Democrats have chosen to spread misinformation for political gain. Read More:"
25,"Good news: #Michigan’s request for additional unemployment insurance funds was approved by @fema. These funds will ensure those still out of work due to #COVID19 have the support they need, and I thank @realDonaldTrump for his continued support.
https://t.co/U20pfbpr7B"
26,Meanwhile - @SpeakerPelosi calls back the House for her conspiracy vote rather than a vote on a #COVID19 aid package. https://t.co/ldbX1uC2k7
27,Another opinion on the USPS crisis conspiracy @SpeakerPelosi is pushing.  It would be great if she actually negotiated on a bipartisan Coronavirus assistance package instead of this distraction. https://t.co/WpodRJZodx
28,"🚨 The IRS is reopening the registration period for eligible federal beneficiaries who didn't receive the $500 per child #EconomicImpactPayments earlier this year. This tool is available now thru Sept. 30th. Visit the site below for more information.  ⬇️
https://t.co/6zWfgsYnWg"
29,"News for #Michigan Farmers: Yesterday the @USDA announced the Coronavirus Food Assistance Program will cover additional commodities and the deadline to apply has been extended to Friday, September 11, 2020. Find more information and the application: https://t.co/Q5fpkBGjr7 https://t.co/Yiw2Nscflk"
30,"Efforts by @POTUS to provide relief recognize the significance of #COVID19 but there is still the need for further Congressional action. I urge my colleagues in Congress to negotiate in good faith the next relief package that can be signed into law.
 
https://t.co/zOSjHlXfDp"
31,A key advisor in the no-bid contact tracing contract won’t talk with Auditor General!  And ⁦@GovWhitmer⁩ demands more “flexibility” in spending Federal COVID aid $$?  I think not! https://t.co/57oozkHc6h
32,Job growth continues for the 3rd straight month as America begins moving forward in dealing with COVID. Unemployment rate also feel this month.  Still too high but headed in a better direction. https://t.co/drvQZVMLxk
33,@Not2PC44 Gee - you failed to ask when the photo was taken before your comment.  News flash - photo is from a visit prior to the COVID issues when I visited the Port Huron CG Station.
34,"Wearing a mask isn’t just about protecting yourself – it’s about protecting those around you. We’ve made great strides in the fight against #COVID__19, and it’s important we all continue to do our part to #StopTheSpread by wearing a mask when around others. https://t.co/xFOaCSJx7l"
35,@RepJoshG it isn’t the House blocking another COVID package - it is Speaker Pelosi and D leadership.  The “Heroes” Act was a $3.4T negotiating ploy and the unwillingness of Pelosi and Schumer to negotiate in good faith is a disaster for America.  Sad. https://t.co/FiKkG3VkWO
36,"If you’ve fully recovered from #Covid_19, your plasma now contains antibodies that may help others fight the disease. There is an ongoing nationwide effort to collect plasma from eligible patients to study the effectiveness of convalescent plasma treatment for COVID-19 patients. https://t.co/AbWtKFvmQ9"
37,RT @HouseGOP: Republicans offered a common sense proposal to extend unemployment benefits that would help Americans who need it while not d…
38,"I’m proud to see #Michigan play an important role in the ongoing effort to develop a #COVID19 vaccine, which is vital to countering this pandemic.
https://t.co/RjsdHqNP8q"
39,"My father served during the #KoreanWar and my grandfathers served during #WWII   This war, unlike WWII, ended without truly honoring those who sacrifices during Korean War.  Remembering my dad today. https://t.co/kQ3GSQrk1b"
40,I guess that makes sense in Nevada if you ignore the Constitution.  Emergency Orders by some Governors make a mockery of our Bill of Rights and Federal Courts accept that.  Supreme Court: Nevada COVID rules can favor casinos over churches https://t.co/91QO074q0V
41,"By taking basic steps like hand washing, maintaining proper social distancing, and wearing a mask when near others we can all help fight this pandemic."
42,Wearing a mask is not a political statement – which is why I joined my #Michigan colleagues on both sides of the aisle in reminding Michiganders to do your part in preventing the spread of #Covid_19 and wear a mask! https://t.co/C780ybAUu3
43,"RT @RepFredUpton: Republican or Democrat, our message is the same: Mask up, Michigan! 🇺🇸#MI06 https://t.co/zMgXdPbs8g"
44,"ICYMI: This morning I spoke with Paul Miller on @WPHMradio about the #NDAA and the next COVID-19 relief bill. 
 
Listen to the interview below 📻 https://t.co/5uf3z1rMFs"
45,States must provide spending plans and publicly report spending quarterly. Extend UI through 12/31 but max of 80% of previous income. Fund CDC therapeutic and vaccine research.
46,"My position on additional COVID support - support testing and tracing, assist nursing homes and LTC facilities with PPE to protect seniors, offer support education K-12 and post-secondary to modify facilities and secure equipment needed.  https://t.co/7jTOJkYHYp"
47,@iceflow76 This theme continues to arise.  The difference is stressing CDC guidelines and social responsibilities rather than issue edicts and pretend they are laws.  I wear a mask in public indoor and crowded outdoor locations. But creating fear is WRONG!
48,@jlwinslow1 @ChadLivengood @crainsdetroit @ChadLivengood - the most critical data to watch is hospitalizations and ICU utilization.
49,This morning I spoke w/ Chris Renwick on the Frank Beckmann show about reopening schools. We must learn to adapt to COVID-19 and move forward while protecting our teachers &amp; students rather than keeping schools closed &amp; hindering effective education for all of America’s children. https://t.co/ylGIT62mzV
50,"Two experimental COVID-19 vaccines being manufactured in #Michigan received fast-track status through the @US_FDA. This process facilitates the rapid development &amp; expedited review of new drugs and vaccines, which are vital to countering this pandemic.
https://t.co/3uTvPPkvIv"
51,Another analysis of COVID threat to be considered by all - especially those that repeatedly stress they follow the science. https://t.co/fM9ZMJ24Dy
52,Please read the entire article.  One of the protestors exhorts that someone who is “completely innocent” should not end up dead.  Wow - not that is some “soon”. He shot multiple times at officers BEFORE they returned fire.  https://t.co/0W8dC9jSoP
53,Comments from Director of CDC-Keeping schools closed poses greater health threat to children than reopening | TheHill https://t.co/0kwzS9tYh8
54,No one is shocked.  49 states have declared an “emergency” but very few Governors have attempted to extend their powers like ⁦⁦@GovWhitmer⁩ . The hospitalization and mortality numbers remain well below the peak - so much for following the data.  https://t.co/S5BxezSO0O
55,"🚨 Michigan #SmallBusinesses: ICYMI, the deadline to apply for the #PaycheckProtectionProgram was recently extended to August 8th. 
 
Click the link below to learn more and join the over 121,000 #Michigan small businesses who have utilized this program.  
https://t.co/08jkaGHft3"
56,This is the critical data - hospitalizations and the severity of cases for those hospitalized.  Case numbers should not be the key or primary indicator driving policy in Michigan. https://t.co/FSCI6y6VX5
57,"Yes - the key has been, and continues to be, minimizing exposure and risk for the elderly especially those with significant health challenges.  It appears some Govenors believe crippling our future economy was their only hope for election success in November.  Hurting so many! https://t.co/0n1K6BINqW"
58,What?   I am shocked.  You mean the protests celebrated by you and so many other Dem mayors and Governors causes a spike in COVID infections?  Wow  https://t.co/7hHqw1FUd8
59,@spartanfan0508 @GovWhitmer @RepHuizenga @RepMoolenaar @RepFredUpton @RepJackBergman @RepWalberg If you send a letter to @GovWhitmer about the nursing home deaths on her watch and her executive orders about nursing home facilities and returning patients I will further communicate concerns with the COVID deaths in America. I will await a copy of that letter!
60,"Testing is critical to contain the spread of COVID-19 and get back to a sense of normal. The @MichiganHHS now offers an online test finder tool that allows you to locate the closest testing site based on your specific needs. 

Learn more ⬇️
https://t.co/773OAfuzky"
