,Tweet
0,"For too long our government's been at a standstill as our communities take the hit. #HR14 will get America back to work &amp; help protect us from future pandemics. Proud to see my bill, H.R. 8260, included in this bill. I urge my colleagues to support #HR14. https://t.co/h58ZymlVIB https://t.co/wS1sF2WdP2"
1,"RT @RosenbergTXGov: Our Annual BOO-berg event has changed this year due to COVID-19. 

For event info, follow Rosenberg Parks and Recreatio…"
2,"UPDATE!!! Seven Lakes HS will not have class on campus until Wednesday, Nov 4.  #COVID19 affecting volleyball &amp; cheer teams. Virtual Learning at home. @SLHSpress @kfinnesand @katyisd https://t.co/RreDqPUA5l"
3,"Wearing my personalized Puppy Maisy #COVID19 mask, Nance &amp; I just got our 2020 flu shots at our nearby @Walgreens in Sugar Land. Quick and easy. https://t.co/Znt11UK4Ev"
4,"@TallDavid @CFBChamber @USChamber @FortBendCounty Just trying to stop you from being a COVID mask hypocrite. 1 picture is worth 1,000 Tweets. https://t.co/5SRtxkMMOU"
5,@TallDavid @CFBChamber @USChamber @FortBendCounty You might want to update your Twitter photo - David’s statue has a mask.  Italy having huge COVID spike. https://t.co/02Qg5OJvOh
6,Rapid result - 30 minute - #COVID19 testing at CVS near Greatwood on Crabb River Road. Details at https://t.co/cAx3bsWKuw. ⁦@CVSHealth⁩ ⁦@FortBendCounty⁩ ⁦@JudgeKPGeorge⁩ ⁦@FortBendHealth⁩  https://t.co/7PhENBhOOm
7,Local news reports from the #COVID19 Dashboard of Seven Lakes High - 45 cases affecting campus. SCHOOL STILL OPEN FOLLOWING ALL PRECAUTIONS. Dashboard info https://t.co/dksS9nLHs1. ⁦@SLHSpress⁩ ⁦@kfinnesand⁩ ⁦@katyisd⁩ https://t.co/HaVmjXYEEh
8,"DYK: 1 plasma donation could help up to 3 #COVID19 patients! If you have successfully recovered from the virus, please consider donating convalescent plasma TODAY! #StopTheSpread https://t.co/6aloLKWZHf"
9,@TallDavid @CFBChamber @USChamber @FortBendCounty Masks off for one photo. Apology accepted.  Good night. https://t.co/amR0ieHArG
10,@OutsideMid @CFBChamber @USChamber @FortBendCounty Nice 100% dodge on the details of you giving blood to help COVID19 victims like I did.  Hmmmm....   Totally expected from a divider.
11,"RT @USNavy: On this Navy Day, we celebrate Sailors both past and present who've served in our great Navy and salute our allied partners aro…"
12,"@OutsideMid @CFBChamber @USChamber @FortBendCounty Great to hear you gave blood! I maxed with a double red.  Can’t give until Feb 2021. Did you give whole blood, 2X red or platelets or plasma?  Getting back to your fascination with my masks, what do you think about someone with his mom and no masks in public?"
13,@OutsideMid @CFBChamber @USChamber @FortBendCounty I wish you took COVID19 seriously as I do. But you only use the pandemic to attack and score political points. When are you giving blood for Texas COVID19 victims and neighbors like I did last week? It’s very disappointing. https://t.co/UQkoOTc2VX
14,APPLY NOW: the @CityofPearland has launched a #smallbiz grant program to help our mom &amp; pop shops keep their lights on in response to #COVID19. $800k has been set aside to help #Pearland businesses. Submit your application by THIS MON. 10/26 https://t.co/m0PPwKgP3O
15,"Sam Malone and I are up &amp; ready to rock the airwaves on 1070AM #TheAnswer.  7:15am. We’ll talk about the debate, pending confirmation of Amy Coney Barrett &amp; Speaker Pelosi’s playing politics w/ pandemic. “And ye shall know the truth, and the truth shall make you free.” John 8:32"
16,Thanks for being the epitome of people of faith taking care of neighbors and heroes we tend to overlook with the daily challenges of the #COVID19 pandemic. #AlvinMethodistChurch #AlvinUMC @AlvinISD https://t.co/xAMbGY3up9
