,Tweet
0,"Today on #NationalFirstRespondersDay, and every day, we must take time to thank those men and women who dedicate their lives to saving others. We are grateful for the heroic work they do to protect and keep our communities safe. https://t.co/q21A8cmtK0"
1,(2/2) That’s why I held a roundtable with @robertcobrien and @RealPNavarro to discuss this Administration’s commitment to empowering Minnesota’s workers and strengthening the domestic mining industry. Thanks to everyone who participated! https://t.co/7XoHEZzaS5
2,"(1/2) With the arrival of COVID-19, access to quick and reliable broadband has become more important than ever."
3,"(2/2) That’s why I’m proud to announce over $500,000 in federal funding to Minnesota to help combat CWD and will continue to back efforts in Congress to ensure that our local deer population remains healthy for future generations. https://t.co/IQV43ZCCb9"
4,Thanks again to everyone who participated in my trade roundtable yesterday in Duluth. I am committed to doing everything I can to ensure that key industries and Minnesota's workers have the tools they need to fuel the Great American Comeback. https://t.co/puaT3LqCBW
5,"This afternoon, I held a trade roundtable with local industry leaders to hear their thoughts on what can be done to further empower Minnesota’s workers as they continue to lead the Great American Comeback! Thank you to everyone who participated. https://t.co/vZ1sHN53bv"
6,"Happy 245th Birthday to the @USNavy! 
 
Since 1775, the men and women of the Navy have defended America with courage, honor and commitment. A big thank you to all those who have served and those currently serving! https://t.co/zRBOD91NG2"
7,"My friend, Shelly Johnson is fighting breast cancer. Great women like Shelly need our support and prayers. This #BreastCancerAwarenessMonth, let’s support those in our lives who are in the fight &amp; remind our moms, daughters, sisters, aunts and friends to get their mammograms! https://t.co/quSr5RRE9j"
8,(1/2) It was an honor to attend the dedication of the Cambridge Veterans Memorial Park this evening. This park has been over a decade in the making and I’m so grateful to everyone in the community who made its completion possible. https://t.co/RttMwsYIwW
9,"(2/2) This is why I recently met with Nystrom &amp; Associates of Baxter to discuss the need for increased mental health services and cosponsored bills like the NOPAIN Act to help fight addiction. If you or someone you know needs help with addiction, call 800-662-HELP."
10,"(1/2) Tragically, heartbreaking stories like Sara’s are not uncommon. This National Substance Abuse Prevention Month, we are reminded that the fight against COVID-19 has impacted mental health &amp; at times, spurred the misuse of legal &amp; illegal substances. https://t.co/jA9kkJBsJl"
11,I have just received the results of my second COVID-19 test this week and it is negative. I do not have any symptoms. Jodi and I continue to pray for those with the virus and hope everyone stays well.
12,"Judge Amy Coney Barrett is an excellent choice to serve on the U.S. Supreme Court. Judge Barrett is a brilliant legal mind and adheres to the same judicial philosophy of Justice Antonin Scalia, for whom she once clerked. I look forward to the Senate’s confirmation hearings. https://t.co/OsAK2pJ6Nl"
13,"During National Small Business Week, I recognized Lifestone Health Care and its owner Dr. Chiamaka Enemuoh for being named SBA’s 2020 Minnesota Minority-Owned Small Business of the Year. You can watch my full speech below. https://t.co/vw1cmXfAZD"
14,"As a member of the Small Business Committee and a small business owner myself, I have seen firsthand how hard small businesses have been hit hard by this pandemic. Now more than ever, it’s important that we celebrate Small Business Week by shopping small and local! https://t.co/zKlj8aFUwX"
15,"Since the U.S. – Canadian border closed to non-essential travel, I have heard from countless residents of #MN08 whose businesses are suffering. I share their concerns, which is why I have been calling various Canadian MPs to share my concerns and advocate for a safe reopening. https://t.co/9PgA27mIRp"
16,Ruth Bader Ginsburg was a dedicated public servant whose conviction and passion inspired so many across the nation. My prayers are with her family and loved ones during this difficult time.
17,"Today, I am reminded of stories like that of my friend David Wheat, who spent over seven years as a POW during the Vietnam War. Last year, I was honored to share his story of courage and sacrifice on the House Floor. WATCH &gt;&gt; https://t.co/n0dqCrQyx9"
18,"Today, on National POW/MIA Recognition Day, we pause to remember the Americans who suffered as prisoners of war and those who are still missing today. Their courage and extraordinary sacrifice will never be forgotten. https://t.co/QtZtY7d9L5"
19,RT @RepNewhouse: .@RepPeteStauber: “I believe that we have a moral obligation &amp; a legislative duty to protect our Native American communiti…
20,"RT @RepNewhouse: There is absolutely no reason these bills should not be considered today – and in fact, it is only the U.S. House of Repre…"
21,"RT @RepNewhouse: Today, I was joined by my colleagues @RepChrisStewart @RepPeteStauber &amp; @RepDustyJohnson to demand a House vote on MMIW le…"
22,"(2/2) As a cosponsor of both bipartisan bills, I believe they will each help eliminate the epidemic of violence faced by Native American communities. This isn’t a Republican issue or a Democrat issue, it’s an American issue, and we need to act now. #EndMMIW"
23,"I’m proud of the brave, local fighters who left earlier this week to help fight the fires on the West Coast! I will be sure to keep these heroes in my prayers. https://t.co/HWcAxRqvOw"
24,"(2/2) As the representative of a largely rural district, I know that the COVID-19 pandemic has only exacerbated the inequalities already caused by the digital divide and I am committed to ensuring that rural America is not left behind during or after this pandemic."
25,"Today is #WorldSuicidePreventionDay, a reminder to regularly check in with one another and help those who need it most. Focusing on mental health has become more important than ever and I remain committed to ensuring those who are suffering receive the resources they need. https://t.co/w5exaycx7j"
