,Tweet
0,"RT @CRRBaseball: A great turnout for Trunk or Treat! 👻 

Big thanks to Congressman Williams for stopping by and all the vendors who helped…"
1,"Deeply saddened to hear of the passing of Hamilton's beloved mayor, and my friend, Jim McInnis. I join Texans praying for the McInnis family and the Hamilton community as we remember his life and service to all who had the privilege of knowing him. https://t.co/Pprq6ajzbP"
2,"I’m proud to have delivered results to curb shortfalls during COVID-19, but endless spending isn’t the answer – we need principled policies that will move us forward toward brighter days. I have no doubt that Texas will emerge stronger than ever. 🇺🇸
https://t.co/ETiC7H3TVF"
3,Thanks to all who joined us at The Depot! https://t.co/6XPVvFXXbI
4,"Great to stop by Wimberley Cafe this morning with the Chamber of Commerce to talk about our impressive Q3 economic growth and the path forward during COVID-19.

I’ll always support pro-worker, pro-America policies and I have full faith that we’ll come back stronger than ever. https://t.co/OW3yvHylox"
5,"On #NationalFirstRespondersDay, we thank the men and women across #TX25 who put their lives on the line to protect our families day in and day out. I’m proud to serve as their voice in Congress and will always fight for these heroes! https://t.co/vq0sSh1Vp1"
6,"Great visiting with employees at La Moderna’s impressive 150,000 square foot state-of-the-art facility in Cleburne to discuss the adaptations they’ve had to make during COVID-19, the latest on vaccine development, and how our Texas economy is poised for recovery. https://t.co/auKmOWYdHC"
7,"RT @AzaleaHealth: An estimated 18 million people in the U.S. lack access to online services. To help, @RepRWilliams introduced the Eliminat…"
8,"Now that we’re in the midst of a once-in-a-generation public health crisis, digital access to healthcare and learning resources has never been more important.

That’s why I introduced the Eliminate the Digital Divide Act to expand broadband for all Texans: https://t.co/EaCHCX9HJZ https://t.co/M4ziFdffGw"
9,"On #NationalDayoftheDeployed, we honor all those who have been or are currently serving overseas. It’s a privilege to represent thousands of soldiers who faithfully &amp; courageously defend our freedom, &amp; whose families sacrifice on the frontlines at home.

May God bless our troops. https://t.co/9PhAssv7xP"
10,"Great to join local officials, and business and educational leaders from Central Texas to discuss what our #TX25 community needs in the next COVID-19 relief package and how we can partner together to support our Fort Hood community. https://t.co/1FWnV1n4z1"
11,Honored to join the III Corps for today’s uncasing ceremony. It’s my highest privilege to represent these men and women who faithfully serve our nation. https://t.co/N6QnCGVOG2
12,"Great to join Hillsboro business owners for a forum today discussing the urgency of greater relief during COVID-19 — while we’ve made great progress injecting capital into Main Street, we must provide further targeted aid so our economy can rebound quickly. #TX25 #smallbiz https://t.co/8YrCLZ20x7"
13,"Great to join Texans in Bosque County this morning for a forum on the path forward during COVID-19 and my efforts to expand reliable, high quality broadband access to our #TX25 rural communities. #EliminatetheDigitalDivide https://t.co/Z1zrzrguQg"
14,"There’s no question that COVID-19 has dealt a devastating blow to our nation, but I am committed to restoring our economic dominance and REBUILDING the greatest economy we’ve had in generations. 

#CommitmenttoAmerica https://t.co/rss4TDTxB5"
15,"RT @HouseGOP: ""Prior to the pandemic, the American economy was the strongest it had been in generations and showed signs of gaining momentu…"
16,RT @FinancialCmte: Republicans are working to rebuild the record-breaking #economy we experienced before the #COVID pandemic by supporting:…
17,It was a privilege to thank our Johnson County law enforcement officers for protecting our families. I’ll always support the thousands of men and women who put their lives on the line to keep our communities safe. #TX25 https://t.co/MYQz5GGxzh
18,"Technical Chemical Company employs 325 workers in Cleburne — and thanks to the Paycheck Protection Program, they did not have to let go of any of their employees during COVID-19. It was great to tour their impressive facility and discuss the future of their operation. https://t.co/RbZeneUrex"
19,"While we’ve come a long way, there is still work to be done. I’ll continue partnering with our innovative private sector, local officials and @POTUS so #TX25 can recover and rebound from COVID-19. Together, we’ll build a stronger Texas."
20,"Through private sector, state &amp; federal collaboration, we’ve delivered billions of PPE items to TX to heal and keep our communities protected:

✅ 13.6 million N95 masks
✅ 68 million surgical masks
✅ 3.2 million face shields 
✅ 32.8 million surgical gowns
✅ 2.3 billion gloves"
21,"While the economic effects of COVID-19 are devastating, our economy is poised for recovery.

We should focus on cutting regulations and making individual tax cuts permanent so more money can flow into our economy and workers. My column in @ctrnews ➡️ https://t.co/4wUzJY53LT https://t.co/FbsjGXBPN7"
22,"RT @USDA: To those who:

Do
Dig
Sow
Milk
Pick
Lead
Herd
Feed
Care
Grow
Plant
Shear
Water
Teach
Ranch
Shovel
Inspire
Deliver
Irrigate
Manage…"
23,RT @FarmersGov: Coronavirus Food Assistance Program 2 is for agricultural producers who continue to face market disruptions and associated…
24,Proud to support our Hill County law enforcement — I will always stand with the men &amp; women who protect our families and neighborhoods. It was great to join them for a roundtable discussion yesterday about how we can equip and partner with officers to serve our #TX25 communities. https://t.co/BYXE6rmGW8
25,Great to join the Johnson County Association of Realtors today in Cleburne! Historically low interest rates have our economy set to rebound and I am committed to keeping the momentum moving forward as we emerge from the pandemic. https://t.co/nNP7dp87Y6
26,RT @TexasFarmBureau: Agriculture has always been critical and essential to our nation. And it always will be. Despite the ongoing COVID-19…
27,I’m proud to support our law enforcement officers who answer the call to serve &amp; honorably wear their badge. We had a great dialogue today in Somervell Co. discussing how we can work together to keep our communities safe and make investments that equip them to best serve Texans. https://t.co/4wB14xZ3NY
28,It was a privilege speaking to the Tuesday Forum in Cleburne today. Texas small businesses are the heartbeat of our economy and I’ll continue doing all I can to help Main Street rebound from COVID-19 so America can emerge stronger than ever. #TX25 🇺🇸 https://t.co/EjmJaXyd8y
29,"Thank you to Lisa and Mike for the tour of Learning Express Toys in Bee Cave. Small businesses like theirs in #TX25 are the backbone of our economy — so they can rebound even quicker from COVID-19, I’m committed to cutting taxes &amp; regulations to allow for more growth and freedom. https://t.co/jsSGgqF025"
30,"Small businesses are the heartbeat of America. As we rebound from the pandemic, I remain a tireless advocate for permanent tax cuts and will continue working to deliver a tax code that provides certainty to small businesses and families.

My column ⬇️ https://t.co/qz7ooo4dt5"
31,"Our rural hospitals are vital to the wellbeing of our #TX25 communities and have stepped up to serve their patients during COVID-19 despite facing unprecedented challenges. 

That’s why I remain committed to fighting for greater relief on their behalf ⬇️ https://t.co/nd7ar6b8i7"
32,"“U.S. families’ income and wealth rose in the years heading into the coronavirus pandemic, with those in lower-income and lower-wealth categories reaping relatively large gains...”

I’m working to ensure Texans rebound from COVID-19 stronger than ever ⬇️
https://t.co/qDxHujaX46"
33,The #FarmerstoFamiliesFoodBox Program surpassed 100 MILLION boxes distributed to support American farmers and families affected by #COVID19. I was grateful for the opportunity to help deliver these boxes filled with fruits and vegetables to Texans in Cleburne earlier this year. https://t.co/Z6nzAZp07b
34,Thank you @POTUS for signing this E.O. to protect the most vulnerable. I'm proud to co-sponsor the Born Alive Abortion Survivors Protection Act in Congress to ensure babies who survive abortions receive the same level of care as those born any other way. https://t.co/5Ub07p28Kx
35,I fully support President Trump fulfilling his constitutional duty by nominating the Honorable Amy Coney Barrett to fill the recent Supreme Court vacancy. Judge Barrett is a principled jurist who I am confident will serve the nation’s highest court with honor and integrity. https://t.co/VEXbwkGjEL
36,"RT @GOPLeader: Republicans will Restore our way of life.
 
We will defeat the coronavirus and keep America healthy. And we will ensure the…"
37,"I’m working to RESTORE our way of life alongside my @HouseGOP colleagues. Together we are working to protect Texans with pre-existing conditions and expand access to affordable telemedicine and opioid treatment that will create a healthier, stronger Texas.

#CommitmentToAmerica https://t.co/OCUHwPvJj7"
38,"It's crucial our hospitals receive more relief so they can provide our communities with the highest level of care possible while we recover from COVID-19.

I'm proud to lead the effort with @RepEBJ urging @HHSGov to provide them with additional funding. https://t.co/AvUWblE88j"
39,"During #NationalSmallBusinessWeek, I’m proud #TX25 is home to thousands of entrepreneurs whose businesses are staples in our communities and continue driving our economy, like Busy B’s Bakery in Burleson.

It’s a privilege to serve as their voice in Congress. #SmallBizSpotlight https://t.co/TIscGTLAkq"
40,"RT @SBAgov: ""We recognize the resilience and ingenuity of all the small business owners who adapted their business model during the pandemi…"
41,"Today we honor and salute the extraordinary courage of our U.S. servicemen and women who have endured the horrors of captivity and the American patriots who have never returned home.

You are not forgotten. #POWMIADay https://t.co/zZfIuJFHos"
42,"Today in 1787, the most influential document in American history was signed by those who believed in the enduring future of our young nation. On this #ConstitutionDay, we celebrate the unalienable rights it protects and we renew our vow to defend the freedom it secures. https://t.co/RCl7QSR8E6"
43,"I’ve had the privilege of working with health systems across our great state and am pleased @CMSGov decided to withdraw the MFAR, saving our #TX25 rural hospitals from detrimental consequences.

See what TX health systems are saying about this decision ⬇️ https://t.co/kyK77uc3QA"
44,"That’s why I support the Pre-Existing Conditions Protection Act to ensure those with pre-existing conditions have access to affordable health care. 

Together, we can beat this disease. #prostatecancerawarenessmonth"
45,"During National Prostate Cancer Awareness Month, I encourage men in #TX25 to participate in regular screenings. As a survivor of the disease thanks to early detection, I know the challenges of choosing which testing, treatment and coverage options are best your family. https://t.co/qug0h47mQe"
46,"Our great nation is worth fighting for and I will proudly stand strong in defense of our freedom – that is my #CommitmenttoAmerica &amp; my commitment to Texans.

I'll continue working to defeat the virus &amp; rebuild the greatest economy the world has ever seen.
https://t.co/abve7F2rc6"
47,"🚨🚨 I’m proud to have championed the MFAR Transparency Act that would have delayed the implementation of this devastating rule. The Administration’s decision to withdraw it is a VICTORY for Texas’ rural hospitals and underserved areas, and I’ll continue fighting on their behalf. https://t.co/ggfhKBdffe"
48,"RT @TX_TA: When the country stood still during COVID-19, truckers continued to deliver medical supplies &amp; equipment and other high-demand p…"
49,Grateful for the opportunity to deliver more masks to Lake Travis High School as students and faculty begin returning for the new school year. Thank you to all of our educators for your commitment to providing critical learning resources for students during COVID-19. #TX25 https://t.co/0OzwbsOBzI
50,Proud to donate thousands of masks to our #TX25 school districts as students and faculty resume in-person instruction this fall. Thank you to all of our educators for your work serving students and their families throughout this challenging year. https://t.co/oFuubEeAcL
51,RT @JoshuaISD: Thank you @RepRogerWilliams for donating over 400 masks to Joshua ISD this morning! We are truly grateful for your generosit…
52,"The #SaveOurStagesAct would provide a lifeline for Broken Spoke and hundreds of other venues across Central Texas facing devastation from COVID-19. I’m proud to champion this effort in Congress and will continue fighting for these community staples.

WATCH more from @cbsaustin ⬇️ https://t.co/AGgwtKKek2"
53,Stopped by @CleburneISD today to deliver masks for our Johnson County students and faculty as the fall semester begins. I’m grateful for the dedication of our #TX25 educators to ensuring students continue receiving critical instruction. https://t.co/rG4VlRMQu4
54,Proud to deliver masks for students and faculty at @BurlesonISD today. I’m committed to ensuring our #TX25 communities have the resources to stay healthy as schools welcome students back into the classroom for vital in-person instruction this fall. https://t.co/HpaNlyyeyv
55,"RT @Sept11Memorial: On this sacred day, we honor the innocent lives lost and recognize the courage of those who made the ultimate sacrifice…"
56,RT @Daily_Trib: Local leaders and business owners shared their pandemic recovery success stories at a media conference with U.S. Rep. Roger…
57,🚨Rather than deliver more relief for Texans and the American people—even utilizing existing coronavirus relief funds—Democrats once again decided to push their own political agenda. It’s shameful. https://t.co/t2RmhVFuBg
58,The Texas National Guard has been instrumental in serving our Central Texas communities during COVID-19. Grateful for the opportunity to receive a briefing at Camp Mabry today on their response efforts and to learn more about their mission protecting our southern border. https://t.co/fNuLtHAQRF
59,"Independent live music venues are facing tremendous losses due to COVID-19. The bipartisan #SaveOurStagesAct would provide a lifeline for survival.

Honored to join artists, venue owners and promoters at Broken Spoke in Austin highlighting the urgency of passing this legislation! https://t.co/8R2Z8HaOqa"
60,"The American story is nothing without our Soldiers, Sailors, Airmen, Marines, and Coast Guardsmen who have always answered the call to serve. I stand with our brave service members and veterans, and am proud to be their strongest voice in Congress. https://t.co/7IQZRiIaKl https://t.co/USciEwTHK1"
61,Burnet Co. has received over $1.5 million in COVID-19 relief under the CARES Act. I was grateful for the opportunity to host a roundtable with local officials &amp; business owners from the Burnet &amp; Marble Falls community today as we partner together to continue on the path forward. https://t.co/xG0fRgd6hT
62,"Great to host a roundtable in Johnson County with local leaders highlighting our partnership and shared goals as we serve Texans. I’m proud to have delivered over $10 million in relief to the county for education, infrastructure repairs and residential assistance during COVID-19. https://t.co/sVyLTlPAob"
63,"I‘ll always stand strong with the men and women who protect our families &amp; put their lives on the line every day to keep us safe.

I proudly signed @Heritage_Action‘s Police Pledge to #BackTheBlue &amp; fight back against any effort to defund police departments in our communities ⬇️ https://t.co/B4hn1mft0j"
64,"RT @WhiteHouse: We know vastly more about the Coronavirus today than we did at the outset, Dr. Scott Atlas writes.

""It’s time we use all w…"
65,"One of my highest privileges is representing America’s finest and Greatest Generation. This week, my office was able to honor 10 World War II veterans who heroically served our nation — the legacies and sacrifices of these heroes inspire us forever. https://t.co/FfOoU9WAM3"
66,It’s crucial that we extend telehealth coverage so our rural #TX25 communities are able to access essential care well beyond COVID-19. I’m proud to introduce the Ensuring Telehealth Expansion Act to improve the cost-effective delivery of these services ⬇️ https://t.co/uXau35sc5P
67,"The #SaveOurStagesAct would save community staples like Hudson’s on Mercer Street in Dripping Springs and provide relief to survive and recover from COVID-19. It was great to tour their venue today and learn more about their dedication to the #TX25 community.

#SaveOurStages https://t.co/5azfXC7bDO"
68,"RT @GOPLeader: Americans have shuttered businesses, complied with local orders, and sacrificed everything to defeat the virus.

But Nancy P…"
69,"The Dripping Springs Chocolate Company was started as a family-owned business in 2016. Thanks to pro-growth policies and the PPP that I’ve been proud to champion in Congress, they’ve been able to expand over the last few years and adapt to changes during COVID-19. #TX25 https://t.co/9eM6gx48qr"
