,Tweet
0,"COVID-19 has illuminated &amp; exacerbated longstanding racial inequities in our health care system that we must correct. The consequences to health and the perpetuation of unequal outcomes make this work more urgent than ever. We must redouble our efforts. 

https://t.co/njFfQFyy2r"
1,"RT @WaysMeansCmte: The Trump Administration has given up on containing the virus. 

More than 220,000 Americans have died, and cases are sp…"
2,"Millions of taxpayers still have not had their tax returns processed, and we continue to hear from constituents who now believe their returns are ‘missing’ and others who anxiously await needed refunds. We need answers. https://t.co/baekVpvE1s"
3,Looking forward to speaking at Elms College's Executive Leadership Breakfast tomorrow on how to govern during these difficult times. When @ElmsPrezDumay and I last met (pre-pandemic pic below) we agreed: the success of Elms is tied to the success of @Chicopee_MA. https://t.co/gh0PgOmZC4
4,"Today the @WaysMeansCmte held a hearing on the #ACA and how vital it is to protecting Americans’ health.

Open enrollment is starting November 1st. If you or someone you know is looking for affordable coverage, don’t miss your chance to sign up at https://t.co/V8f81rRwrY!"
5,"The #ACA has been putting Americans’ health first, despite 10 years of Republican sabotage.

Tomorrow at noon, the @WaysMeansCmte's Oversight Subcommittee will be hearing from witnesses on how we can maximize health care enrollment.

https://t.co/UvMeacIjNO"
6,"The White House had assured Democrats that they would accept our language on testing with a “light touch.” However, they have removed 55 percent of the Heroes Act’s language for testing, tracing, and treatment. That's unacceptable. 

https://t.co/dL2eYTCC2l"
7,"The facts are clear.

🇺🇸 210,000+ Americans have died from #COVID19
👩‍✈️ MILLIONS are out of work  
📉 Our economy is failing our families

@SenateGOP has chosen to IGNORE the facts. 

We cannot wait. Pass the #HeroesAct!"
8,"The #COVID19 pandemic is FUELING the housing crisis.
 
Millions of Americans are facing EVICTION.
 
#KnowYour Rights. Find out if you qualify for protection from eviction.
 
Visit https://t.co/80dhcYRtdH for more information.

https://t.co/Sa9jyuovC2"
9,"As someone who helped to write the ACA, I know this would be so harmful to all those who have benefited from this important legislation. https://t.co/al7EaLE21s"
10,"RT @HouseDemocrats: Frontline and essential workers are the BACKBONE of America’s economy.

They DESERVE support during this pandemic.

Hou…"
11,Have you recently lost health insurance from your job? Learn about your options through the @HealthConnector. Sign up for a free webinar TOMORROW from 10-11AM at https://t.co/Z3MN2Xe3AR
12,"Today is #WorldMentalHealthDay.
 
As we spend more time at home #SocialDistancing, self-care is more important than ever. It’s time to #EndTheStigma and speak up for affordable mental health care and treatment for all. https://t.co/Dc0wFy0GNi"
13,"There is an unmistakable parallel between federal pandemic unemployment dollars ending &amp; our nation’s economic recovery slowing. The relief measures in the CARES &amp; Heroes Acts provided Americans w money they in turn used to purchase goods &amp; sustain jobs.

https://t.co/25jhVuwN5H"
14,"Trump's decision to walk away from covid relief talks demonstrates:

Contempt for science &amp; refusal to stop the virus

Disdain for our frontline heroes 

Refusal to put money in workers’ pockets

https://t.co/6Dm4eYIyFn"
15,"Families’ health &amp; economic needs haven’t lessened, they’ve grown. The updated #HeroesAct, passed last week, includes urgently needed new funding to respond to emergencies that have emerged in the 4 months since we passed the original version in May."
16,"The effects of coronavirus on children and their education is deeply concerning. 

The updated #HeroesAct passed last week provides $225 billion for education nationwide, including $182 billion for K12 schools &amp; nearly $39 billion for postsecondary education. Kids need that! https://t.co/c4MBI9hAAv"
17,"Trump is turning his back on the American people during their time of need. Families are going hungry &amp; losing their homes. More than 210,000 Americans have died of the virus, cases are rising &amp; our economy is in a deep recession. His decision is dangerous https://t.co/tk7NbDyyJK"
18,"RT @WaysMeansCmte: With a tweet, the president just abandoned MILLIONS of struggling Americans who were counting on more government relief…"
19,"Wear a mask.
Practice social distancing. 
#StayHome if you're feeling sick.

Let's work together to defeat the virus. https://t.co/y6fSiGKp6F"
20,This pandemic creates a domino effect that affects each and every one of us. We need the Senate to act on the updated Heroes Act now! https://t.co/Er3yeNK6Re
21,"There are no shortcuts to defeating this virus, and we cannot expect a full recovery of our economy until people are healthy and safe. It is our responsibility to give the American people the relief they desperately need. https://t.co/8DdFWiBORw"
22,"As we head into the weekend, hear the news of our President and First Lady contracting COVID, and see numbers in western MA rising, I'll post this again. Wear a mask, wash your hands, and practice social distancing. If you feel sick, please stay home. #MaskUpMA https://t.co/wsHZWWrwvq"
23,"I’m incredibly proud @HouseDemocrats’ updated #HeroesAct provides $7 billion for my state of Massachusetts to help first responders, frontline health workers, teachers, &amp; other essential workers. 

It’s past time for @SenateGOP to pass a bill that honors these heroes. https://t.co/qSvg8oCgh8"
24,"Our frontline workers need us. 

Our children need us. 

Our sick and most vulnerable neighbors need us.

Every person in this nation needs us now more than ever. 

We must get this done for the American people. https://t.co/cczg1eb1Gu"
25,"The updated #HeroesAct makes critical additions to address needs that have arisen since the House first acted &amp; maintains key priorities from the original bill.  
With this bill, Congress can address the immediate health &amp; economic crisis facing working families."
26,"RT @WaysMeansCmte: Our revised Heroes Act will help independent restaurants cover PPE, payroll, rent, and paid sick leave. 

We need to sav…"
27,"The updated #HeroesAct honors our heroes, through $436 billion to state &amp; local governments who desperately needs funds to pay vital workers who keep us safe &amp; are in danger of losing their jobs. https://t.co/OJHph83LeQ"
28,"The House has passed over ten bills #ForThePeople to lower health care costs and protect those with pre-existing conditions, while Republicans are pushing a lawsuit through the courts to strike down the ACA. https://t.co/miVKlFb6pT"
29,"RT @trust4kids: On behalf of the children and families our Massachusetts Healthy Families program serves, thank you to @RepRichardNeal for…"
30,"House Democrats have passed bills to:
✔️ Lower health care costs
✔️ Raise wages by rebuilding America
✔️ Clean up corruption and strengthen our Democracy

These issues can’t wait – @senatemajldr needs to bring these bills to the floor #ForThePeople https://t.co/E8SbBBEOpB"
31,"While Senate Republicans have been cutting taxes for the wealthy &amp; tanking the economy by refusing to provide assistance to Americans during this pandemic, House Democrats are working to rebuild our economy &amp; raise wages #ForThePeople. https://t.co/yANosN4h9N"
32,RT @AppropsDems: NEW: @HouseDemocrats have released an updated version of the #HeroesAct. This $2.2 trillion coronavirus response bill addr…
33,"The #2020Census fights injustices by providing:
-Funding for human rights like health care, food, housing
-Say in who leads political institutions
-Ability to gather evidence to protect people from discrimination
-Democracy: every voice &amp; vote valued
https://t.co/fzUZoiCVl6"
34,"This pandemic is the biggest crisis the restaurant industry has ever faced. The ripple effect can be felt by food supply chains, farmers, fishermen &amp; truck drivers. The @WaysMeansCmte is meeting NOW to address how we can assist them. 

https://t.co/mrRe4iIMFI"
35,Tomorrow @WaysMeansCmte addresses how to assist the restaurant industry during the pandemic. Tune in at 9AM https://t.co/mrRe4iIMFI
36,"#2020Census data is critical to helping our communities thrive. It helps us obtain the healthcare, transportation, schools, affordable housing, and higher education that our families need to get a good start  &amp; succeed.  Complete yours at https://t.co/fzUZoiljWw  #BeCounted"
37,"RT @WaysMeansCmte: This month, Chairman @RepRichardNeal demanded the IRS immediately notify the millions of eligible Americans who have yet…"
38,"I’m proud to stand with my fellow @WaysMeansCmte members in fighting for all Americans impacted by the COVID-19 recession, like Michelle from East Longmeadow whose letter I shared. @SenateGOP must do the right thing and pass the #HeroesAct.
https://t.co/HfVxz0OCaY"
39,"RT @SenJohnVelis: Today, on National POW/MIA Recognition Day, we remember and recognize the sacrifices of those in our military who were Pr…"
40,"We’re fighting for the testing, tracing &amp; treatment needed to get businesses open &amp; people back to work. But it’s not enough to just reopen, we have to rebuild a stronger economy w/ higher paychecks for all workers. #ForThePeople https://t.co/8c9Su68Foj"
41,"RT @WaysMeansCmte: Rather than pass a health care bill of his own, the President has dedicated himself to destroying his predecessor’s law—…"
42,"Substance use &amp; mental health disorders don’t discriminate. These issues affect us all, which is
why we must work together to support those in recovery. I’m proud to support National
#RecoveryMonth with my colleagues in Congress. https://t.co/HofcNk84az"
43,"RT @WaysMeansCmte: Following news reports of political appointees’ improper interference with @CDCgov’s COVID-19 publications, Chairman @Re…"
44,"RT @WaysMeansCmte: COVID has revealed the stark health inequities that plague Latino communities across the country. 

We can and must do b…"
45,"This summer @adamghinds &amp; I were in Pittsfield to deliver @hphood milk to the South Congregational Church Community Food Pantry. I did it in Springfield, too. During this pandemic, no one should question where their next meal comes from. Food security is key #FSCHungerAction https://t.co/81jNRP7224"
46,"Need health insurance? The @HealthConnector has you covered! If you lost insurance through your job, sign up for a free webinar at 10AM, this Thursday, September 17, and get to know options for Massachusetts residents. RSVP at https://t.co/t7xL2nidvI"
47,Today in @Westfield_MA we remembered three residents who lost their lives in the 9/11 attacks 19 years ago. We promised then and we reaffirm today: we will #NeverForget https://t.co/g7zz6Ynnq2
48,"This #LaborDay, we remember all who have fought for workers’ rights from the shop floor, in the streets and on the picket line.
 
We will always live by our commitment to fight for American workers--especially during this #COVID19 pandemic. https://t.co/6Ajik3zi1y"
49,"Firefighters
Nurses
Paramedics
Teachers
Sanitation workers 
They are all critical to the fight against COVID-19. Republicans need to face the facts, acknowledge the gravity of this crisis, and pass the #HeroesAct to deliver the resources frontline workers need to save lives."
50,"Tens of millions are still out of work– more than 1 million filed for initial UI and pandemic UI claims for 24 straight weeks, with more claims than during the depths of the Great Recession. We need the #HeroesAct

https://t.co/zBYa9LLmiX"
51,"75 years ago, #WWII officially came to an end. 
  
We are forever grateful for the service members – and the allies who fought alongside them in Europe and the Pacific – for their bravery and sacrifice. 
  
#WWII75 https://t.co/XswefBuqMF"
52,"$75 billion for testing, tracing, and treatment has been sitting on Mitch McConnell’s desk for 105 days. Enough of this selfish blockade. The Senate must pass the #HeroesAct immediately!"
53,"RT @WaysMeansCmte: The Social Security Administration just took steps to provide some relief for individuals who have been overpaid.

Chair…"
54,Yesterday was #NationalDogDay and what a better time to reaffirm my support for the AFTER Act to ensure that dogs &amp; other animals can be adopted into loving homes after testing in taxpayer-funded government labs.  These dogs deserve a second chance. https://t.co/C0L2AfKUaY
55,It's been 103 days since the House passed the #HeroesAct to fight COVID-19. How many days must American families and frontline heroes go without desperately-needed support before Republicans in Congress are ready and willing to act?
56,"RT @adamghinds: LATEST: 

$10 million in federal funding has been allocated to support states and local communities to respond to #COVID19.…"
57,The Postmaster Gen is dismantling a lifeline for people in every community across the Commonwealth but his actions particularly harm those who live in some of the most rural areas of my district. That's why I'm here in DC to remind them #DontMessWithUSPS https://t.co/67ntlLlyUi https://t.co/hhd3d45PsZ
58,"Thanks to @NALC_National Branch 46, @WeSoldierOn, retired postal workers, and veterans who joined me in #Springfield today. https://t.co/2wpwXK0ZCJ"
59,"Americans count on @USPS for social security benefits, prescriptions, paychecks, tax returns &amp; ballots. Today in #Pittsfield I stood with workers, folks who use @USPS every day, and @reptricia &amp; @adamghinds to protect this essential service. #DontMessWithUSPS https://t.co/b1OKnKpbib"
60,"RT @RepLoriTrahan: Have you recently lost health insurance from your job? @HealthConnector is here to help.

Sign up for their webinar, tom…"
61,Republicans’ attacks on @USPS should alarm everyone . The lives &amp; livelihoods of the American people and our democracy are at stake. We must protect the Postal Service. I'll be in #Pittsfield this afternoon to hear directly from folks who join me in saying #DontMessWithUSPS
62,"80% of veterans receive their medications by mail, usually within a 3-5 day window. By delaying these critical prescription deliveries, the health and well being of our nation’s veterans could be seriously impacted.
https://t.co/Etc3Ig364W"
63,RT @MassDPH: Get tested for COVID-19 if you have any symptoms or have been around someone who tested positive. Find a test site at https://…
64,"#OTD: Japan surrendered to the Allied Forces, bringing an end to #WWII. 
 
The country is forever grateful for the bravery and sacrifice our service members – and the allies who fought alongside them – showed during one of the bloodiest conflicts in history. 
 
#VJDay75 https://t.co/rr8qE0rcGl"
65,"We’ve heard too many reports from constituents, postal workers &amp; local officials across the country who have encountered problems with their mail. We can’t let President Trump dismantle the Postal Service. #DontMessWithUSPS https://t.co/6Fa4YqJn5D"
