,Tweet
0,"We need universal child care.

We need universal paid sick leave.

Otherwise, we risk losing an entire generation of leaders and innovators to an economic system incapable of accommodating parenting. 
https://t.co/O5ZhxOD434"
1,"20 million Americans still can’t access the internet. 

Especially in the middle of a global pandemic, we can afford to invest the $80 billion needed to get everyone online. #NationalInternetDay"
2,RT @RepValDemings: We need to prevent the next pandemic before it starts. I joined @RepRoKhanna on a letter calling for new investments in…
3,"RT @WhipClyburn: Without internet, our children don’t have access to online learning and Americans can’t access telehealth or online job re…"
4,No one should be denied water during a pandemic. We need a shutoff moratorium.
5,"After 5 yrs of @KSAmofaEN dropping made-in-the-USA bombs on schools &amp; hospitals, the Trump administration is threatening further escalation in Yemen. The US has a moral obligation to restore life-saving aid, as Congress has demanded."
6,"RT @PhillyInquirer: From our Editorial Board: ""If the officers who shot Walter Wallace Jr. indeed did nothing wrong according to police use…"
7,Any COVID vaccine should be free of charge. Period.
8,"Paid sick leave policies prevented nearly 15,000 COVID cases this year. 

Imagine how many more lives we could save if we extended that right to every employee?"
9,"Thinking about the thousands and thousands of Americans who overdosed on Purdue’s opioids. 

$8 billion isn’t nearly enough. The Sacklers and Purdue executives must be held accountable so justice is done. 
https://t.co/Gfy9ugzDvs"
10,"RT @RepMaloney: It’s painfully obvious that the Trump Admin was woefully unprepared to handle the #COVID19 crisis. So this week, I joined @…"
11,"RT @SenWarren: The US made big mistakes combatting COVID-19. @RepRoKhanna and I led 139 lawmakers in urging leadership to prioritize bold,…"
12,"RT @CatieEdmondson: New letter from @SenWarren
and @RepRoKhanna says that nearly 80% of U.S. counties with high Covid rates do not have an…"
13,"5⃣The health of the planet matters!

Deforestation, environmental racism, and intensive farming/mining/development actually makes future pandemic more likely. We can’t build a healthy future while destroying our planet. 6/6"
14,"4⃣Address systemic racism in our health care system. 

Black &amp; Latino people are 3x more likely to contract COVID-19 than white Americans, &amp; nearly 5x more likely to be hospitalized. Let’s address the social determinants of health to change those outcomes. 5/"
15,"3⃣Rebuild our public health workforce. 

Trump’s attacks on public health officials have depleted and demoralized the halls of the NIH and CDC. Let’s recruit folks to serve in their hometowns, forgive their student loans, and get Americans back to work. 4/"
16,"2⃣Lead international efforts to identify &amp; stop the spread of new diseases before they become full-on pandemics. 

International cooperation doesn’t make us a weak nation. It makes us a strong global partner in human health 3/"
17,"1⃣Invest in our supply chains *before* we need them. 

Affordable housing, universal health care, the national stockpile: all of these are critical to protecting America’s health prior to any kind of national health emergency. 2/"
18,"If we learned anything this year, it’s that our government was woefully ill-equipped to manage a global pandemic. 

@SenWarren and I have a plan to prevent this level of catastrophic mismanagement from ever happening again. 

What exactly are we proposing? 1/ https://t.co/La7CjhNThO"
19,"We’ve been negotiating a COVID relief deal for 93 days. The Republicans finally have come to the table.

Since then, over 80,000 Americans have died. 4.4 million Americans have become infected. 

How many more cases and loses do we need before we make a deal?"
20,RT @AriBerman: Stunning fact: 12 GOP senators on Judiciary Committee who voted to advance Amy Coney Barrett’s nomination represent 9 millio…
21,"1 nuclear warhead could pay for 17 million masks.

The Pentagon shouldn’t get a dime more in COIVD relief funding."
22,"1 in 8 American households don’t have enough to eat tonight. 

@RepTimRyan’s and my Emergency Money for the People Act should be included in the next COVID relief package so every family can get $2k monthly checks."
23,"RT @TheStalwart: **Special Odd Lots**

@RepRoKhanna, the first elected Democratic official who urged Pelosi to compromise with Mnuchin, cam…"
