,Tweet
0,"The Paycheck Protection Program was highly successful, supporting over 51 million American jobs during this pandemic. It’s time for the Speaker to stop playing politics and get American small businesses the help they need. https://t.co/IWwOdkYktf"
1,Amy Coney Barrett is a constitutional conservative who will uphold the original intent of the law and our founding documents. I applaud President Trump for nominating Judge Barrett and encourage the Senate to swiftly confirm her nomination to the Supreme Court. https://t.co/uc4hYKYc4a
2,"I applaud President Trump for nominating Judge Amy Coney Barrett, a Constitutional conservative who will be steadfast in her pursuit of the original intent of our founding documents and the law. I encourage the Senate to swiftly confirm her. https://t.co/SJol6FBiVn"
3,"Main Street America has taken a beating during the COVID-19 pandemic.
 
Here are some things we can do this Small Business Week, and every week, to keep our favorite local Small Businesses afloat. https://t.co/5gAXSzha1s"
4,Thank you to all the Air Force veterans who have served and sacrificed over the past 73 years! https://t.co/UDFKfeub19
5,I’m proud of all who have worked to bring the old Tarkio College campus full circle and create the new Tarkio Technology Institute. https://t.co/Qxgqm0NM0E
6,"In Kirksville, I met with businesses, healthcare, and university officials about the COVID-19 pandemic how together we can reopen and rebuild our economy safely. https://t.co/QGUwBgWKko"
7,"I stopped in Kirksville last week to talk to businesses, healthcare, and university officials about how the COVID-19 pandemic has impacted Kirksville. The good news is that we’re on track to reopen safely and get more and more folks back to work. https://t.co/1PCX6BG8OC"
8,"Congratulations to Blue Springs South graduate Sarah Luzynski, whose work “Germ” won the 6th Congressional District Art Competition this year. Her incredible artwork will soon hang in the U.S. Capitol Complex. https://t.co/3N9Ue2BEpn"
9,Thank you to everyone who has volunteered to help with the flood relief in St. Joseph. https://t.co/55NiwkNDlK
10,"When deciding how to get students back in the classroom safely, we should be talking about their health and education, not lawsuits and liability. https://t.co/RMFJbnCgIC"
11,Big thanks to LifeFlight Eagle 1 in Chillicothe for showing me around and talking with me about how the COVID-19 pandemic is impacting them. These folks provide an absolutely essential service to North Missouri and we can’t thank them enough for all the lives they’ve saved. https://t.co/vRYBP2hYtn
12,"The miracle of flight has transformed our lives in ways pioneers like Orville and Wilbur Wright could only have imagined. Today, on National Aviation Day, we remember all those who paved the way for modern flight. https://t.co/P2CNO9mIvr"
13,Congratulations to Community Hospital-Fairfax on being recognized as a top performer for patient satisfaction by the Centers for Medicare and Medicaid. Only 3 Missouri hospitals and 266 hospitals in the country received this honor.
14,"There are no easy answers for educating our children during the COVID-19 pandemic, but a great start is trusting parents to make the best decision for their children."
15,"Some have underlying health conditions that make potential exposure to the COVID-19 virus life-threatening, while others suffer from learning disabilities that make at-home learning next to impossible. Kids who need in-person school should have that available."
16,"If you’ve had COVID-19, one of the best ways you can help others struggling with the virus is by donating convalescent plasma. 

For more: ⬇️⬇️⬇️ https://t.co/I666LOdU4L"
17,The bottom line is that reopening our economy and getting folks back to work is the only sustainable path forward. We can and are doing that while continuing to take commonsense steps to fight this virus. https://t.co/or6jBHYKe6
18,Congratulations to Maryville City Manager Greg McDaniel who was awarded the Jay T. Bell Professional Management Award by the Missouri City Managers Association on Monday. Greg is a great asset to the Maryville community. https://t.co/w54dBno2fv
19,"More than 900,000 cattle and calves call North Missouri home. This Cow Appreciation Day, I want to recognize and thank the thousands of North Missouri farmers who raise them and make sure beef is what's for dinner. https://t.co/93WfTQqVDs"
20,"The CARES Act was a saving grace for many of our hospitals, but now safely reopening our country is the only sustainable path forward for our hospitals and small businesses alike.  https://t.co/QDsjBki8Zl"
21,"This bill will ultimately help save the lives and livelihoods of many Americans who live and work along our rivers, all while helping rebuild our water infrastructure and our economy. It’s a big win for North Missouri and our entire country. https://t.co/G2APcODaFE"
22,"The Paycheck Protection Program helped tens of thousands of Missouri small businesses make it through this crisis and helped save nearly 1 million Missouri jobs. Now, we’re reopening and rebuilding our economy while continuing to fight this virus. https://t.co/MUWypAJx2Y"
23,"We’ve added 7.5 million jobs in just the last two months; this is a good indication that folks are getting back to work.
 
This is great news, but we still have a long way to go to rebuild our economy and fight this virus. https://t.co/8ASVbG9BE8"
24,"We added 4.8 million jobs in June, and another 2.5 million in May. 
 
We’ve had back-to-back months of record-breaking job growth as more and more Americans are getting back to work. 
 
We still have a long way to go, to rebuild our economy and fight off this pandemic. https://t.co/si2PJgGfjZ"
25,"ATTENTION SMALL BUSINESS OWNERS: The deadline to apply for the Paycheck Protection Program has been extended!
 
The program offers forgivable loans to small businesses to help keep employees on payroll during the COVID-19 pandemic.
 
More information here: https://t.co/JEuQvgNMlg"
26,"ATTENTION SMALL BUSINESS OWNERS: Today is the last day to apply for the Paycheck Protection Program, which provides forgivable loans to small business owners to keep employees on payroll during the COVID-19 pandemic. 

More info here ⬇️⬇️⬇️
https://t.co/JEuQvgNMlg"
27,Some good news for our healthcare providers looking to expand telemedicine here in Missouri. https://t.co/jYYaMyt2Iw
28,"The Economic Development Administration has approved $400,000 to help the Kansas City region recover from the economic devastation wreaked by COVID-19. https://t.co/wrz3v1v8A6"
29,"We bent the curve. We slowed the spread of COVID-19. We bought our healthcare workers time. And now, thanks to the leadership of @GovParsonMO, Missouri is back open for business!"
30,Shutdowns and slowdowns meant to slow the spread of COVID-19 hit farmers and ranchers hard. The goods news is that there's help on the way. https://t.co/Vc0Fdjap4B
31,"BIG NEWS: the Treasury Department has proposed a new rule to clarify that fixed-fee direct primary care arrangements, including healthcare sharing ministries, are qualified medical expenses that can be paid out of some tax-deferred medical accounts. https://t.co/iAwc7eyAZu"
32,"Thank you to the American farmers for keeping food on all our tables. They don’t stop for anything, even a pandemic."
33,"As Missouri reopens for business, more and more local farmers’ markets are reopening. 
 
If you’re looking for ways to buy food locally to help farmers impacted by COVID-19, take a look at MU-Extension’s Food Finder tool: https://t.co/VAQHlZ2V1C
https://t.co/N1zpD1IKok"
34,Thank you to all the men and women who protect and defend our nation. https://t.co/cpMljTW6cr
35,"We need to get our economy back on track. We need to get people back to work.
 
This virus isn’t going away, no matter how long these shutdowns last.
 
We have to adjust to the new normal and reopen America safely, smartly, and quickly.
https://t.co/5rQIpIhK8u"
36,"The application period of the USDA’s Coronavirus Food Assistance Program (CFAP) opened today. The USDA will be accepting applications until August 28, 2020. Farmers can find out more at https://t.co/dxCr2Ujtnc or by calling your local FSA office. https://t.co/opAk7mxndG"
