,Tweet
0,Today will be my last day posting to this account. You can still follow my personal updates (including the verse I share each morning from my devotion) on other social media platforms. Thank you to all those who have followed and engaged with me here on Twitter for many years.
1,"@AmeriCorps @SeniorCorps Last week, I had the opportunity to meet with RSVP (https://t.co/UbkF1fl04n) volunteers who serve Champaign and Douglas counties. Today we recognize them, and all those who participate in national service. #NationalServiceWorks"
2,In case you missed it: The job market is so strong that it’s even drawing back in people who’ve been out of the workforce for years. And it doesn’t show any sign of letting up. https://t.co/f1pj46QU5p
3,RT @cathymcmorris: New on https://t.co/zqQZ3XE1d2→ A map of companies and job creators who are providing bonuses and new benefits to their…
4,RT @HouseCommerce: LIVE NOW: #SubHealth hearing on “Combating the Opioid Crisis: Prevention and Public Health Solutions.” &gt;&gt; https://t.co/i…
5,"Judges 21:7 “What shall we do for wives for those who are left, since we have sworn by the Lord not to give them any of our daughters in marriage?”"
6,"Joshua 24:15 If it is disagreeable in your sight to serve the Lord,choose for yourselves today whom you will serve:whether the gods which your father’s served beyond the River,or the gods of the Amorites in whose land you are living;but for me and my house we will server the Lord"
7,"Joshua 11:23 So Joshua took the whole land, according to all that the Lord had spoken to Moses, and Joshua gave it for an inheritance to Israel according to their divisions by their tribes. Thus the land had rest from war."
8,Joshua 8:35 There was not a word of all that Moses had commanded which Joshua did not read before all the assembly with the women the little ones and the strangers who were living among them.
9,"Deuteronomy 31:12 Assemble the people, the men and the women and children and alien who is in your town, so that they may hear and learn and fear the Lord your God, and be careful to observe all the words of this law."
10,RT @HouseCommerce: #SubHealth’s legislative push will begin next week as E&amp;C continues to combat the #OpioidCrisis &gt;&gt; https://t.co/BxsLKxrC…
11,"The verse isn’t a response to the tragedy in Parkland, FL. My prayers are with those victims, their families, and all who have suffered because of the evil in this world."
12,"Deuteronomy 21:22-23 If a man has committed a sin worthy of death and he is put to death and you hang him on a tree, his corpse shall not hang all night on the tree, but you shall surely bury him on the same (for he who is hung on the tree is accursed of God)..."
13,Numbers 19:11 The one who touches the corpse of any person shall be unclean for seven days.
14,"RT @HouseCommerce: LIVE NOW: #SubHealth convenes hearing on ""Oversight of the Department of Health and Human Services,"" where we will hear…"
15,"@MsCharlieJohnso They're going to dozens of places, including: VA hospitals in Danville and St. Louis; clinics in Belleville, Effingham, Mattoon, and Harrisburg; and state vet homes in Quincy and Anna. Some are even going up to Chicago and to VFWs &amp; Legions around the district."
16,"Happy Valentine's Day and THANK YOU to all those who participated in my Valentines for Heroes program this year! Because of your generosity &amp; patriotism, thousands of valentines are being distribution throughout the region to veterans and those currently serving in the military. https://t.co/aLHsKPclUz"
