,Tweet
0,"Due to delivery delays, I urge everyone who has received an absentee or mail in ballot to please drop it off instead to ensure it is submitted in time – you can find your ballot drop off location here: https://t.co/OwnN6fliV5

#VOTE"
1,"My thanks to @mayortomkoch, House Leader @RonMariano, and Council President @nina_liang for your support and hard work to ensure all residents have access to a variety of healthcare providers in Quincy."
2,"Wonderful ceremony earlier this week to celebrate the opening of the Beth Israel Lahey Health Care Center in the @CityOfQuincy, which will help expand access to healthcare services and testing. https://t.co/FctRsG5KI4"
3,"The #COVID19 pandemic has increased consumer reliance on technology for banking services to obtain loans &amp; make payments. However, the regulatory framework governing these financial technologies companies is not enough to adequately protect consumers &amp; ensure financial stability."
4,"These essential front-line workers risked their lives throughout the pandemic to run &amp; maintain the trains &amp; now up to 2,0000 Amtrak employees are at risk of losing their jobs if the Senate doesn’t pass emergency funding the House provided in the updated #HEROESAct. #FUNDAMTRAK"
5,"2/3 .. who have been severely impacted by the ongoing production cancellations due to the COVID-19 pandemic. The updated #HEROESAct the House passed yesterday included the “Save our Stages Act”, which would authorize $10 B for the SBA to issue grants..."
6,"1/3 Last night the House passed a $2.2T updated version of the HEROES Act to help address the needs of the American people that have arisen during this pandemic. The new HEROES Act extends enhanced unemployment benefits, provides health coverage for unemployed Americans..."
7,"3/3 We demand that the FAA comply with the law &amp; reevaluate ways to reduce airplane noise. Despite the decrease in flights during the COVID-19 pandemic, airplane noise has continued to plague our communities &amp; we must hold the FAA responsible to address and mitigate this problem. https://t.co/hkkqbT1Bb7"
8,"Don’t forget to complete the #2020Census at https://t.co/kx85yhnrIr by Sept. 30th to help our communities obtain the healthcare, transportation, schools and affordable housing that they need. #BeCounted"
9,"An accurate Census affects critical decisions, like where to put hospitals, schools and fire stations, and ensures federal funding is available for programs like CHIP, which provides health insurance for millions of children. #2020Census https://t.co/NxAP8G0ybT"
10,The #IAmVanessaGuillen Act would assign independent review and prosecution responsibilities to investigators who are outside the immediate chain of command of the complainant and the accused.
11,"We must ensure all of our sons &amp; daughters in uniform who choose to serve their country are protected from such abuse. Today we introduced the #IamVanessaGuillen Act, to change the way the military responds to reports of sexual harassment, sexual assault &amp; missing servicemembers."
12,"3/3 My thanks to the guest of honor General Stanley McChrystal, US Army, Retired for your moving remarks &amp; reflection on your service, and Tom Lyons, Chairman of the South Boston Vietnam Memorial Committee, who is responsible for this yearly remembrance to ensure we never forget. https://t.co/no500vxIS9"
13,2/3 Every year I am proud to join neighbors and Gold Star families to honor and remember the 25 men from South Boston who gave their lives for their country. https://t.co/B8pf1UYLkk
14,2/2 Boston is known as the nation’s college capital &amp; Trump is undercounting the number of students who live off-campus. Today in @OversightDems I spoke w/ census experts to find a way to ensure that tens of thousands of students in the Boston area are not left out of the census.
15,"2/3 Despite the billions of dollars that Amtrak has received in recent appropriations bills, Amtrak proposed to furlough 2,000 line workers who are responsible for driving and maintaining the trains every day."
16,"1/3 Throughout the #coronavirus pandemic, our Amtrak service workers, coach cleaners, carmen, and other frontline employees have been on the job providing critical services to the American people, at great risk to their own health and safety."
17,"Although multiple investigations into these cases remain ongoing, the evidence suggests that the Army neglected to adequately respond to the growing list of disappearances and deaths at Fort Hood and failed to give Sgt. Fernandes the proper support and care that he needed."
18,2/4 These tragic losses are a breach of the traditions that we have come to expect from our armed services and mark a failure to respect and honor the decision of these young men and women who volunteered to serve our country.
19,"2/2 .. work to do to guarantee every worker a voice in the workplace. Thank you to all the essential workers who have continued to work heroically throughout the #COVID19 pandemic. May god bless the American Labor Movement. I hope everyone enjoys a happy, healthy &amp; safe #LaborDay"
20,"1/2 The contributions to our health, safety &amp; security made by our essential workers such as nurses, police, firefighters, EMTs, first responders, healthcare, postal employees &amp;food service &amp;grocery workers have never been more vital than during this pandemic. We have much more.."
21,"2/3 Sincere thanks to Plymouth County Treasurer Tom O’Brien, County Commissioners Dan Pollotta, Greg Hanley and Sandy Wright as well as Brockton Neighborhood Health Center Director Sue Joss..."
22,1/3 Great turnout to thank the frontline healthcare workers at the Brockton Neighborhood Health Center yesterday. We also presented over $1 million in Federal CARES Act funding to @CityBrockton Mayor Bob Sullivan who has been a true champion during this pandemic. https://t.co/P1uih6HxjK
23,"1/2 Great to join my colleagues in government yesterday @PatrickMOConnor, @JoanMeschino, and Hingham Town Administrator Tom Mayo for the presentation of the coronavirus relief funding from the CARES Act to the Town of #Hingham. https://t.co/ImGwn0m8bP"
24,3/3 .. and whether Army leaders kept the Fernandes family appropriately informed throughout the process of their search. We owe it to the Fernandes family and to every mother and father whose son or daughter puts on our country’s uniform. https://t.co/o5fHoTgiqr
25,"2/2 .. I learned Sgt. Elder Fernandes was a kind, smart &amp; promising young man. He was an excellent soldier, widely respected by his fellow soldiers who made his family incredibly proud. His death is a devastating loss &amp; my thoughts &amp; prayers are with his family and @CityBrockton."
26,"3/3 These attacks are being made just 10 days before an election in MA, in the midst of a pandemic when people are being asked to vote-by-mail to keep themselves safe. We must stop these deliberate acts of sabotage ordered by the Trump Admin in an attempt to thwart our elections."
27,"2/4 The USPS has been reliably delivering the mail for 230 years – through world wars, the depression, the flu pandemic of 1918 and even after 9/11when there were direct anthrax attacks on the post office – but this is the first time the USPS has ever..."
28,"DeJoy’s continued actions to dismantle the USPS &amp; sabotage the upcoming election are a violation of every American’s right to vote &amp; a betrayal of the Constitutional mandate entrusted to the USPS. Just like the President who pulls his strings, this puppet DeJoy needs to go. Now. https://t.co/j8b4qgAqvD"
29,"Proud to stand up for our Postal Workers - they are on the frontlines of this pandemic, delivering social security checks for our seniors, medicines for our veterans and visiting every home and business in America 6 days a week! #DontMessWithUSPS https://t.co/XS741raJF9"
30,"– it is clear that the intent is to sabotage the upcoming election that will rely heavily on vote-by-mail due to the unprecedented coronavirus pandemic. The USPS has been working reliably for 230 years, and after only a couple months under PMG DeJoy they cannot deliver the mail –"
31,Great to join @boston25Gene this morning to discuss the deliberate and calculated attacks on the U.S. Postal Service in the middle of a health crisis and one month before our sacred Democratic elections.  #DontMessWithUSPS
32,3/3 .. until after the COVID-19 pandemic has ended. Americans depend on the postal service. We will fight back against any attempts to politicize and weaken the excellent service they provide every day to citizens across our country.
33,1/3 The US Postal Service is the most respected and trusted agency in our government. The coronavirus pandemic has caused the American people to rely even more heavily on our mail service &amp; carriers. In order to prohibit the Postal Service from having to implement the drastic...
34,"They will be conducting free testing until 2pm today, if you are over the age of 55 and interested in getting tested for COVID-19 you do not need an appointment. Stay safe."
35,Stopped by the @SBHealthCenter COVID-19 Mobile testing site this morning at the South Boston Neighborhood House Senior Center – great to see so many people getting tested. https://t.co/06HVACdYYG
36,"We are going to fight hard against any attempts by the Trump administration to actively weaken the United States Postal Service - one of the most trusted government agencies in our nation. The USPS is critical to America and throughout COVID-19, their services have been vital... https://t.co/ffGpAFSCNA"
37,"2/4 ..and community of color, and the Americans who reside in these areas suffer at a greater rate from a variety of health conditions due to these environmental disparities. The recently passed Transportation and Infrastructure bill provides a 500% increase..."
38,"1/4 Today @OversightDems held a hearing with leading experts on the health and economic impacts of climate change. There is very troubling data that indicates while air pollution has significantly decreased over the last 40 years, it has not dropped in low-income communities..."
39,"1/3 The Defense POW/MIA Accounting Agency (DPAA) does vital work to recover the remains of some of the 82,000 POW/MIA U.S. service members from WWII, the Korean War, the Vietnam War and other conflicts who remain unaccounted for."
40,"H.R. 7617 will also invest in affordable and fair housing initiatives to help our vulnerable populations, bolster our health and education systems and advance our efforts to increase our national security and support our servicemembers."
41,2/4 - potentially placing U.S. military personnel and diplomats at risk. Recent reports indicate that this change was done at the urging of a former lobbyist for the American Suppressor Associations (ASA) who recently went to work at the Trump White House.
42,2/2 .. and honor our fallen heroes across the nation who gave their lives to protect our communities. My thanks to President Anthony Burke &amp; Westwood Fire Chief John Deckers for holding this special tribute.
43,"1/4 The coronavirus pandemic has had a devastating impact on the child care providers and the families who rely on them, forcing closures and exacerbating the shortage of quality, affordable care."
44,2/3  My amendment in the Appropriations bill will provide a $1.5M increase of funding for suicide prevention efforts through the PREVENTS initiative run by the @DeptVetAffairs which prioritizes mental health research &amp; community based programs to help the ongoing suicide crisis.
45,"1/3  Following up on our @OversightDems hearing on veteran and active duty suicides, I continue to support solutions that promote mental health care and suicide prevention treatments for our military community."
46,"H.R. 7608 included 3 of my amendments, which provide additional funding for suicide prevention and mental health initiatives for veterans, demining and IED clearance efforts in countries that are still heavily affected by landmines."
47,"Pleased to see the House passed H.R. 7608, several Appropriations bills for FY2021, which will provide funding to strengthen and protect our country while improving global stability and international health efforts."
48,Every day our frontline workers go to work is a day they put their own health at risk to do their job. I'm concerned about @StopAndShop’s recent decision to terminate their employees’ hazard pay despite the ongoing threat the coronavirus poses to their employees and the public..
49,2/3 .. health disorders from their exposure to toxic hazards and waste at the base. The @DeptVetAffairs continues to deny these disorders are service related and refuses to provide K2 Veterans the healthcare and benefits they have earned...
50,"Great to join the @NECouncil earlier this week to discuss the next coronavirus relief bill, the Heroes Act, and the recently passed transportation and infrastructure bill, which would modernize our infrastructure and invest over $300B to help fix our roads and bridges."
51,My deepest condolences to the family and friends of Army Specialist #VanessaGuillen who was recently found to be brutally murdered.
