,Tweet
0,"Admiral Brett Giroir won’t go along with Trump’s lie. 

“We do believe—and the data show—that cases are going up. It’s not just a function of testing,” Giroir said on the @TodayShow recently. https://t.co/jVmUnmx9dc"
1,"Florida’s COVID-19 numbers are looking a lot like mid-June before we saw drastic spikes in July &amp; a deadly August. 

77 deaths reported today. 

Will the governor continue to pretend this is over?
https://t.co/g7xJWVie7I"
2,"I led bipartisan letter urging greater action to protect Uyghurs. China’s dozens of camps contain 1M+ Uyghurs who face torture, sterilization, &amp; cultural destruction.

US should expedite visas, refugees, &amp; protections for Uyghurs, consistent w/ our values &amp; foreign policy goals. https://t.co/BjL5YNwJQy"
3,"“Last week, the country set a new record of 83,000 cases in a single day, and the seven-day case average is now hovering around 70,000 — more than any other time during the pandemic.”

https://t.co/4ODawE09nG"
4,"As the Senate votes to confirm Barrett tonight:

A woman’s right to control her own body is on the line.
Affordable healthcare is on the line.
Marriage equality is on the line.
The integrity of our election is on the line.

The Senate has put politics before the American people."
5,"Scientists warned us of potential COVID-19 upticks in Florida for months. Instead of listening to experts, Gov. DeSantis ordered public data to be hidden.
 
The pandemic has taken so much from Floridians. Full transparency is the least we deserve.
 
https://t.co/7X8ldFjYLT"
6,"Donald Trump has no answer for families worried about their health care &amp; preexisting conditions. 

He hopes SCOTUS gets rid of Obamacare. He has no plan for what to do next. https://t.co/fV7ctj8CZ3"
7,"Gov DeSantis tried to use an investigation of FL’s unemployment system failures to avoid taking responsibility. 

But there’s no indication—over 5 months later—that the investigation was ever started. 

We need leaders who want to help. Not just pass blame. https://t.co/G6wPK0u8aZ"
8,"A powerful reflection on current protests in Nigeria. Thank you, @ChimamandaReal, for reminding us all of the human impact of this story: the families being hurt by state-sponsored violence and the bravery of those protesting to end it. 

https://t.co/sc6Aty8o9v"
9,"Yesterday the US set a new record for daily COVID-19 cases—including 5,558 in FL. 

President Trump lied when he said we are “turning the corner” on this crisis.

There is still so much at stake. Lives, jobs, businesses. This isn’t over. https://t.co/35cujKIPZ7"
10,"This is why politicizing public health is so dangerous. 

Please wear a mask to protect your fellow voters &amp; our community. 

https://t.co/hEy511Aoy7"
11,"We lost 222K+ Americans &amp; many are struggling to make ends meet. The Senate had months to pass COVID-19 relief, they chose not to.

By fast-tracking a #SCOTUS nomination &amp; putting politics before Americans, Senate Republicans made their priorities clear. You're not their priority https://t.co/1MJB0YEPSd"
12,"COVID-19 is on the rise across the country. Including in Florida. 

We’ve had months to recover from the summer surge. 

Instead Gov DeSantis has downplayed &amp; ended safety rules. https://t.co/eODa0VqpTe"
13,"5,558 cases reported in Florida today. 

Our Governor hasn’t been straight with us. 

We need to be doing more to slow the spread. Instead he’s pulled everything back &amp; pretends that this crisis is over. https://t.co/LEbLAZaQjW"
14,"The Centers for Disease Control and Prevention estimates that the total ""economic burden"" of prescription opioid misuse alone in the United States is $78.5 billion a year, including the costs of healthcare, lost productivity, addiction treatment, and criminal justice involvement. https://t.co/vqKyMpzlb7"
15,"While the Trump Admin. downplayed COVID-19, Dr. Fauci became a leader for giving us the truth. Yet they tried to silence him.
 
Now, 222,000 Americans are dead, millions are unemployed &amp; families are in need of relief.

The disaster has been Trump’s refusal to accept reality. https://t.co/6uwl1NH6tx"
16,"Five days after the WH Coronavirus Task Force told Gov DeSantis he should be doing MORE to stop the spread of COVID-19 in Florida he did the opposite. 

DeSantis is taking us in the wrong direction. https://t.co/l6mIW5jV34"
17,"It might not make sense to Gov Ron DeSantis to have asymptomatic students &amp; teachers who have been in close contact with someone w/ COVID-19 quarantine, but that’s exactly what CDC recommends. 

I wish he would listen to the experts. https://t.co/o8PlZJzGKt https://t.co/k0wU01sctu"
18,"If FL’s senators Rubio &amp; Scott stood up for Floridians who are...

Trying to scrape by w/o unemployment benefits.
Trying to keep businesses afloat.
Trying to feed families.
Trying to care for loved ones.
Trying to save lives on frontlines.

We would have a relief deal done."
19,"“We are trending upward in Florida. We’ve been at this relatively high level of...fragile stability... it wouldn’t take much for us to see another wave or spike in activity.” - Dr. Marissa Levine USF College of Public Health

What is Gov DeSantis’s plan? https://t.co/W1G0HCqKhh"
20,"Trump lied about masks. 

Masks don’t make you more likely to get a virus. 

Wear masks please. 

If you want to know more about Trump’s lie, “85% of people who wear masks catch it,” read this: https://t.co/842Sf7WHHg"
21,"Experts say herd immunity is a dangerous fallacy.

DeSantis wasted opportunity after surge of cases this summer.

Instead of dialing up testing &amp; tracing to prevent next wave he’s pushed FL into phase 3 with no plan to identify &amp; stop new outbreaks.
https://t.co/ntdNsOnaSE"
22,"Everyone wants to avoid lockdowns. 

But the way to stay open &amp; avoid spikes in cases &amp; deaths is to:

Wear masks. 
Avoid large gatherings. 
Don’t get close together. 

Why would our governor break ALL of those rules if he wants FL to be both OPEN &amp; SAFE?"
23,"Barrett dodged Booker’s question as though commitment to a peaceful transfer of power is controversial.

It’s not controversial to say the people’s voice will be heard &amp; our election will decide who leads us.

Casting doubt on foundations of our democracy is controversial. https://t.co/GXu7QqpXyS"
24,"Sadly, this is typical of Gov. DeSantis's handling of the COVID-19 crisis. 
 
Throughout he promised data-driven solutions &amp; step-by-step reopening.
 
He's broken those promises by cherry picking stats &amp; abruptly dumping the entire state into phase 3.

https://t.co/6gMiCsj4LQ"
25,RT @ASlavitt: COVID Update October 13: I've been writing these for 8 months straight. I could never have imagined. I imagine you're eagerly…
26,"To prevent COVID-19, Florida Department of Health says:
Practice social distancing. Avoid hugs, handshakes, large gatherings &amp; close quarters.

Wear a mask in public. 

Avoid touching your face. https://t.co/QZxbvs4zlz"
27,"Extra $20/month is not enough for seniors struggling to afford prescriptions, groceries, health care &amp; housing.

That’s why I included a new COLA formula in the Protecting &amp; Preserving Social Security Act that reflects seniors’ costs. 

https://t.co/9lCvyFPP3U https://t.co/eNmCE8lxcU"
