,Tweet
0,Are there seriously people in California who will comply with the Thanksgiving/Christmas  government edicts instead of relying on their own common sense and judgement?
1,"RT @LibertyCliff: What has COVID proven to EVERY SINGLE AMERICAN?

We cannot depend on government to take care of us... https://t.co/aHPuD9…"
2,"“I generally eschew conspiracy theories under the rubric that little explained by conspiracy cannot as well be explained by incompetence and that the occurrence of stupid is vastly more common than the occurrence of evil in the hearts and minds of men.”
-Jack Rickard (RIP)"
3,"There are members of the press who have access to @SpeakerPelosi and @StenyHoyer. Never once have reporters asked leadership why, when presented with two options, they chose to drag 218+ (unmasked!) members of congress into the chamber together instead of taking a recorded vote."
4,We know they were more afraid of transparency than the virus because Pelosi was faced with 2 options that day: allow members to come in and vote one at a time OR call at least 218 members of Congress in the chamber simultaneously to show that a quorum was present to avoid a vote.
5,"It’s true that Congress, having enough members in attendance to pass the bill, then refused to take a recorded vote. In that refusal, they exposed that they were more afraid of being accountable to voters for that bill than they were of the virus. How do we know?"
6,"The press regularly says my effort failed. Then why did Congress come to work that day? If not for my insistence, Congress would have set two bad precedents that day: ignoring the Constitution due to a virus, and telegraphing to all Americans that’s it’s OK not to work."
7,@mgonzalez6294 @ClockwerkPC @Chesschick01 @NRA Anyone who can recognize a brass rat at this resolution gets my follow and respect!
8,RT @NoqReport: It’s ironic that the president who won the Nobel Peace Prize had 28 times more U.S. military casualties in Afghanistan under…
9,@bklynfletchIV @NRA Lol. That’s the whole point of this post!
10,"@mroschella @NRA Umm, I don’t my care about their rating. That’s the whole point of this tweet. lol."
11,"Someone has plans to make the SARS-CoV-2 vaccine mandatory. There’s no other reason to explain why they are testing it on children right now.

Every person running for office needs to be asked whether they would make a COVID vaccine mandatory for children or adults.

I’m a No."
12,"Testing the experimental mRNA vaccine on children before it’s approved for adults.

This is NOT ethical.

“Pfizer announced Monday that the FDA granted permission to extend the COVID-19 vaccine clinical trials to children ages 12-15.”

https://t.co/jo0Yoa7WeN"
13,I am honored to receive the National Federation of Independent Business's Guardian of Small Business Award. The @NFIB Guardian of Small Business Award recognizes members of the House and Senate who have consistently voted to support small businesses in the 116th Congress. https://t.co/K05SkFhnMA
14,Whoever picked “c’mon man” in the drinking game is no longer sober. 😭
15,@SixBitProxyWax And who will sort the next batch of 435 skittles?  The same people who were too lazy to sort the last batch of 435 skittles? Voters must do their research.
16,"I’m sympathetic to this sentiment, but if people are too lazy to differentiate between those of us who are trying to do the right thing and those who are always doing the wrong thing, there is no hope.  Basically “throw all of them out” is a lazy strategy that’s bound to fail. https://t.co/flfqvt15AV"
17,"Haha.  Finally someone who calls himself a “Political scientist.” He thinks grass fed beef comes from feedlots. 🤦‍♂️

I’m a proud #PoliticalScienceDenier https://t.co/9tjKAq4yGo"
18,"There were 60 million Bison here before Europeans settled North America. Anyone who thinks US raised grass-fed beef is unnatural or bad for the environment is against the natural state.

https://t.co/Me8DWN6eaI https://t.co/eVmuHipvzw"
19,"How did corporations solve the beef shortage during COVID? This article says by importing beef!

Shamefully, Country Of Origin Labeling was repealed by Congress in 2015.

My PRIME ACT would benefit US consumers &amp; US farmers. Is your legislator a sponsor?

https://t.co/AFfqPkXwUO"
20,PSA: cloth masks don’t prevent wearers from contracting the virus. https://t.co/RVprbqj9FP
21,Thank you to the members of @buildersnky who met with me at the Enzweiler Building Institute in Erlanger to discuss the difficulties their industry faces in the wake of lumber shortages and COVID-19 driven supply disruptions. https://t.co/HsApDKN9a5
22,"@realdanblake Married my high school sweetheart, who also graduated valedictorian (two years later), and she also graduated from MIT. Got 30 patents, started a company."
23,"The best solution for acquiring  wholesome food for your family is to buy locally from farms you can visit, or from other US sources you can trust."
24,"Here’s an example of the skulduggery that goes on with imported food. Do you want to know where you food comes from? In 2015 Congress repealed the country of origin labeling program for beef and pork. I was one of the few Republicans who fought the repeal.
https://t.co/emKTUL55C1"
25,"To this day, there are still people who don’t realize I was pointing out how ridiculous it was for John Kerry to be called as a climate science expert witness with nothing but a political science degree to his name... and got him to say that political science is not science. https://t.co/GaASoFRyzg"
26,"You might be a “political scientist” if...

You think a scarf on your face is effectively slowing the spread of this virus, while simultaneously believing...

A widespread and long lasting natural human immune response isn’t dramatically slowing the spread of this virus."
27,"Twitter wants you to be afraid of COVID-19, at least until the election. https://t.co/wYYUCB2Jji"
28,"“It is no coincidence that the mask is again beginning to play a decisive role in public life. It is appearing in many different ways … be it as a gas mask, with which they are trying to equip entire populations; be it as a face mask for sport... as a safety mask for workplaces”"
29,"“It is in this last respect that The Worker takes on a disturbing relevance for our own times. For the uniformity of the new age is symbolised, Jünger suggests [1932, eve of NAZI Germany], by the sudden proliferation of the mask in contemporary society.”

https://t.co/3e8phrUF1e"
30,@hillcountryhipi My wife and I had the virus and now have the antibodies. You’re welcome!
31,@LouisIngenthron @yimmytwoshoes Spoken like a white collar guy who can hide out until herd immunity is achieved through the sacrifice of blue collar workers who must show up for work and deliver the necessities of life.
32,"Instead of trying to shame those who have contracted the virus, why not thank them for shouldering the burden of getting us one step closer to herd immunity and the end of this pandemic?"
33,"@palane50 Pretty sure two of my kids already had it back when my wife and I did.  In any case, now that we know more about this virus, I’ve advised my kids to live life without fear of this virus, while respecting the elderly and other vulnerable populations."
34,"@LouisIngenthron @yimmytwoshoes In case you haven’t noticed, under the current failed strategy, we’re headed to herd immunity but the elderly and blue collar workers are shouldering the burden instead of the young who are very unlikely to die or get severely ill."
35,@LouisIngenthron @yimmytwoshoes Read this thread.  You and the policy makers are ignoring this virus’s one great weakness.
36,I’ve had the virus and now have the antibodies - you’re welcome. https://t.co/7RbxmURNFL
37,"This video made by public health experts from Oxford, Harvard, and Stanford explains how we can still save thousands of lives by switching public policy NOW.

@realDonaldTrump &amp; Governors should listen to these scientists instead of political scientists.

https://t.co/E8NSlFDcEL"
38,"It’s shameful, but current policy relies on blue collar workers to shoulder the burden of achieving herd immunity, while white collar workers stay home.

Congressmen who stay home hoping to wait out the virus are the most guilty of this selfishness."
39,"When about half the population has been infected (and recovered), we have achieved herd immunity. Those under 40 years of age make up over half the population, yet the virus is over 100 times less deadly to that portion of the population.  Exploit this fact and defeat the virus!"
40,The virus has an enormous weakness that we have thus far almost completely failed to exploit.
41,"“The science, morality, and public health policy all point in the same direction.”"
42,@TreyGraves2 This is the best 30 minute summary of the virus and how we should respond.
43,"More than 6,000 scientists have signed an anti-lockdown petition saying that coronavirus policies are causing ""irreparable damage.”

“Keeping these measures in place until a vaccine is available will cause irreparable damage...”

https://t.co/FwZU0VHJ2R"
44,I love the folks on twitter who don’t realize this platform is a raging dumpster fire. https://t.co/FQGkObL7nU
45,"RT @LukeJohnsonRCP: Constantly surprised at how many intelligent, healthy people I meet who are living in fear of Covid. I show them the ac…"
46,"@waynenilsen Thank you for mentioning the N-95 specification. Using the same lab test, I suspect these cloth masks would be N-5."
47,"I just realized that not only will there be people who receive the vaccine and still wear a mask. There will people who get the vaccine and keep insisting that YOU wear a mask.

It’s the same people waiting for a vaccine insisting there’s no proof that antibodies convey immunity."
48,@letsgoskatepool Our bodies have been testing the efficacy of our immune system against Corona viruses for thousands of years. Many of those who didn’t complete the trials did not have children.
49,"@adeptDD11 Pretty sure I had the virus in January, so no I wasn’t wearing a mask."
50,"@letsgoskatepool Well if there’s no proof that antibodies fight the virus, we can save billions of dollars for vaccine development and deployment."
51,"“Massie: 'No reason' to wear mask since he tested positive for COVID-19 antibodies in August”

agree or disagree?

https://t.co/zEFLAfrQiV"
52,"Remember Nancy Pelosi in Chinatown back in February, urging everyone to visit? Remember Fauci dismissing masks as useless? Why should we believe anything the political/media complex tells us now?

https://t.co/Oj9CZTRdeu"
53,"My wife and I, who both had COVID-19 and recovered, wish @realDonaldTrump and @FLOTUS a quick and full recovery!"
54,@franlondon My wife and I have the antibodies. We definitely won’t be wearing a mask.
55,"On March 27th, I forced Congress to follow the Constitution and show up to vote on the $2T virus package.

LOOK AT THE PICTURES. No masks. The science of masks hasn’t changed since then but the political science sure has. https://t.co/gnjYg2dbq2"
56,"Being masked up, and being locked down for so long, has caused us to look at each other differently. The sooner we get this economy back open, and the sooner we get these masks off and become human again, the sooner we may start treating each other like human beings again."
57,"For those of you who can speed-read, the 2153 page “Heroes Act 2.0” that we could be voting on as early as tonight was just released:

https://t.co/wDMtkPJepn"
58,"@kiusau 🤳 wow, there’s an emoticon for selfie.  Who knew?"
59,"@Rkattermann1 I understand your frustration, but I would encourage you to distinguish those who are doing nothing from those like me who are fighting.  If voters can’t tell the difference, we have no chance to save this country.  You elected my colleagues."
60,"Peaceful woman tased, handcuffed, arrested, and charged with criminal  trespass ... for not wearing a mask at an outside ball game! This is shameful and disturbing.

Video at this link:

https://t.co/g9AoMiYs1l"
61,"Sweden isn't seeing the surge in new coronavirus cases other West. European countries are.  AP examined what Sweden did differently. One takeaway: ""most of the changes involved voluntary actions by citizens, rather than rules imposed by the government.""

https://t.co/1nct5itUaW https://t.co/dX3BqDPYdo"
62,The data doesn’t lie. The spread of the virus tapers off dramatically in populations in which only 10 to 20% seem to have developed IgG antibodies responsive to SARS-CoV-2. https://t.co/rqtB8pO5tc https://t.co/AJugnM2zpe
63,"the placebo arm of a covid-19 vaccine trial could provide a.... way to carry out such a study, by comparing the clinical outcomes of people with versus those without pre-existing T cell reactivity to SARS-CoV-2. A review by The BMJ... suggests that no such analysis is being done."
64,"“... a key mantra was that we needed the game changer of antibody data to understand who had been infected and how many were protected. As we have learned more about this challenging infection, it is time to admit that we really need the T cell data too.”

https://t.co/GimylQQipt"
65,"dose of reality: https://t.co/w9lwnUROQV

This author’s own opinion is that transmission of highly infectious viruses ... could be impacted if all members of society wore protective goggles and N-95 respirators all of the time. The feasibility of such an approach is questionable."
66,Congratulations Paul Rousseau on earning your citizenship in the United States on September 9! Those of us who were born here take the blessing of living in the greatest country in the world for granted too frequently. https://t.co/vOQR4APGTJ
67,"President Trump's Patriot Day proclamation asks us all to ""reaffirm our dedication to defending liberty from all who wish to deny it."" I join him in doing so and in honoring America's heroes.

https://t.co/K75iQy2cCB"
68,@CyberJujo @ShadowSkaggs I have COVID-19 antibodies and am serving as the human shield in the picture.  😆
69,"@mikeflanny Norway went maskless the whole time but has “a hand washing station around every corner” according to my Norwegian friend. They are doing fine, relatively speaking."
70,"First picture is actual data.  Second picture is a research paper from before COVID, with one of the curves highlighted yellow and red by me.

takeaway: a state hasn’t escaped the virus just because it witnessed data like the yellow curve. The red portion of that curve is coming. https://t.co/Dqmblt9EMC"
71,"I have a question for the people who hold up NY as the gold standard for COVID response: What planet are you living on?

The pop. density of NYC is a heavy contributing factor toward a higher R-o, and that’s not the governor’s fault, but at least acknowledge the data. 👇 https://t.co/jraX4ZWjC0 https://t.co/gt0ABUODBe"
72,"@Manning4USCong The data show that, so far, only one state has had substantially more deaths per million (associated with COVID) than NY, and that’s NJ. In fact Sweden and Italy have fared substantially better than the state of NY. https://t.co/fKNDojcD8V"
73,When do you plan to get the corona virus vaccine?
74,"The “eviction moratorium” is the first admission from CDC that their policies have done great harm and may actually be accelerating the spread of the virus.

To paraphrase the rationale they’ve given for their edict “evictions precipitated by job losses will spread the virus.”"
75,"@ChrisBradley133 Well one of his attorneys is an opportunist who spent $140,000 in a super PAC trying to get me out of office, so there’s that. lol."
76,"I'll be on the Mike Church Radio Show this morning at 9:30 ET to talk about the CDC inserting itself into private rental contracts.

Tune in:

https://t.co/EWFCWhkzOV"
77,@javajuliet @iammix24 end the lockdowns
78,@joshk2012 It’s not a law to wear a mask in Kentucky. It’s an executive fiat. The constitution guarantees every state a republican form of government.
79,"Rental contracts are governed by state law. There is no federal authority to overturn them.

The CDC order is an affront to the rule of law, and an emasculation of every legislator in this country - state and federal.

Barely a whimper from most of them, Democrat or Republican."
80,"@scolo09 Who’s responsible for over 250,000 flu deaths under Obama-Biden?"
81,"If society concedes that the CDC can unilaterally seize property (with their ridiculous rent moratorium) our devolution into a “bureautocracy” is complete, and private property no longer exists."
82,"CDC inserting itself into private rental contracts, effectively transferring control of private property from the lawful owner to the renter, is possibly the most socialist action our government has taken in decades... and without an act of Congress!

https://t.co/phLwFIYWlO"
83,"If a country succeeds in changing the spreading rate of a virus, the amplitude of the curve will change but the TIMING and WIDTH of the curve should change as well.

I suspect many countries with smaller amplitude didn’t slow the spread as much as they reported deaths differently https://t.co/niEAjJmYfp"
84,"@jsonheath Your observations are correct. Deaths is the most reliable data we have. Daily deaths tracks actual daily cases (w/ scale&amp;lag), and cumulative deaths tracks cumulative recovered.

Image 1&amp;4:
https://t.co/CTjXxsYcY3
links
https://t.co/x3IRlOGwGu

Image 2&amp;3
https://t.co/McCPH8Jnzi"
85,"Real science is repeatable and can predict outcomes. What’s remarkable about this virus is how well the actual data fits even the simplest differential equations that have been used for decades to model the spread of diseases. 1st picture is theoretical, subsequent graphs are NY. https://t.co/we4aPLQn6l"
86,"Big Gov isn’t the answer to Big Tech, Big Ag, or Big Health monopolies. Competition is the answer!

Let’s disassemble all the ways in which government keeps down competition and benefits big monopolies instead of layering in more Gov.

https://t.co/F13HlrouZR"
