,Tweet
0,This is a reminder to all of us that law enforcement and first responders put their own lives on the line every day to keep us and our communities safe. Our prayers are with the families of those who were hurt and the entire Greenville law enforcement community tonight.
1,My thoughts on COVID-19 relief negotiations ⤵️ https://t.co/uAgEUo70JB
2,Wishing President @realDonaldTrump and First Lady @MELANIATRUMP a full and speedy recovery. We are keeping them and all our fellow Americans fighting Covid-19 in our prayers.
3,"RT @Molly_Spearman: Over 36,000 South Carolinians made their voices heard on SC's student testing waiver. 93% support a 1 yr. exemption fro…"
4,"America lost an icon today. Justice Ginsburg lived an extraordinary life, not only as a jurist but as a trailblazer who forged the path for women in the legal profession and served as a role model for so many others. Sarah and I are praying for her family."
5,"RT @HouseGOP: Wishing a happy, healthy and sweet New Year to all those celebrating #RoshHashanah tonight. Shanah Tovah! https://t.co/OvjE9e…"
6,"The violence and mob rule in parts of our country took a dark turn this weekend when two LA County sheriff's deputies were shot in an ambush-style attack. Protesters blocked the entrance to the hospital where the two were taken, chanting “we hope they die” and “death to police.”"
7,"Senate Democrats just blocked critical COVID-19 relief legislation to help Americans still battling COVID-19. They voted against hundreds of billions of dollars to help kids safely return to school, increase testing, enhance unemployment insurance, and continue the #PPP."
8,RT @ModernizeCmte: The @congressfdn released a new report addressing how #COVID19 is impacting Congress to effectively communicate w/ the A…
9,"Happy Labor Day! Today we celebrate the hard work, strength, and resolve of American workers who have helped build the greatest nation in the world. https://t.co/r60jpagMsr"
10,"RT @scdhec: There are special testing events happening today and tomorrow in Anderson, Bamberg, Barnwell, Beaufort, Cherokee, Georgetown, G…"
11,"I thought we had seen it all this year, but now the Mayor of DC wants to remove the Washington Monument, and the Speaker of the House broke into a hair salon while her state was still on lockdown. Is it 2021 yet?"
12,"Every day, America loses 20 veterans to suicide. The Veterans Mental Health Care Improvement Act would help our veterans get the mental health care they need and already passed the Senate unanimously. But House Democrats have failed to hold a vote on this important legislation."
13,These are not protestors. This is an angry mob spewing with hate and vitriol for anyone who disagrees with them. They even attacked a police officer. Will Democrats condemn this? I’ll wait. https://t.co/MJYGwix1vl
14,"The Africa region is certified wild polio-free! Now 90% of the world’s population – are free of the wild poliovirus. Learn how @Rotary, @ShotAtLife, @CDCgov, @USAID, and partners make it happen: https://t.co/9tlQTkIpBR https://t.co/M5uyujbboZ #EndPolio"
15,"100 years ago today, the 19th Amendment was ratified. As we commemorate the centennial of this important milestone in our nation’s history, we also celebrate the many contributions that women have made to our country and pay tribute to the countless women who fought for equality. https://t.co/IHQ5mav9Qi"
16,"Recently, we have been seeing a decline in COVID-19 cases in the Upstate and across South Carolina. Let’s keep taking the necessary precautions to keep our loved ones and neighbors safe and healthy, and continue working to beat this virus."
17,"Absentee ballots, however, are requested by registered voters who wish to vote but are unable to make it to the polls on Election Day, such as members of the military and senior citizens. (3/5)"
18,"As much as the media and the Left claim otherwise, there is a big difference between absentee voting and universal mail-in voting. Universal vote by mail would send ballots to mailboxes of voters who do not want them, who moved, or are potentially deceased, (1/5)"
19,We want to take a moment to address some rumors circulating on social media regarding the President’s payroll tax executive order. We have heard from seniors who are concerned their social security benefits will be cut. Any claims that your benefits will be cut are dishonest.
20,"The IRS has issued $230 billion in EIP payments. Unfortunately, we have heard from folks in SC who have yet to receive theirs. We are calling on the IRS Commissioner and Treasury Secretary to quickly identify and provide payments to those remaining families and individuals. https://t.co/ZIc1rw0rKR"
21,Our district team attended an event this morning with Connect Spartanburg and @srfoundation announcing a $4.4 million federal grant to reduce teen pregnancy. This funding will allow them to continue the valuable work they do to improve the health and well-being of young people. https://t.co/mzscu9s9cm
22,"On this day in 1792, General George Washington created the “Badge for Military Merit,” which would ultimately become the Purple Heart. The oldest military decoration for merit, the Purple Heart is awarded to those who have been wounded or killed while serving our country. https://t.co/hTcDzrxHNa"
23,"In July, the economy added 1.763 million jobs, bringing the unemployment rate down to 10.2% from its high of 14.7% in April. While things are continuing to move in the right direction, we still have work to do to fight the virus and rebuild the greatest economy in the world. https://t.co/kAPtH7uzti"
24,RT @ModernizeCmte: #COVID19 put a spotlight on the changes needed for Congress to work effectively and efficiently for the American people.…
25,"Our hearts go out to all the victims of the explosion yesterday in Beirut. As the President said, the U.S. stands ready to assist Lebanon however we can. We are praying for all of those who lost their lives and for a quick recovery for the many who were injured."
26,RT @SpartanChamber: We've partnered with with Luxor Scientific to offer  businesses employees’ COVID-19 test results guaranteed within 48 h…
27,"This bill, known as Sami’s Law, was named after Samantha Josephson, the USC student who was killed last year after mistakenly getting into a car she believed was her Uber."
28,"RT @ModernizeCmte: #DYK there’s no central HR Hub for congressional staff, the people who help Members of Congress with their policy and co…"
29,"South Carolina is offering free wifi to families with school-aged children in Spartanburg District 7. Eligibility is based on financial need for those who do not already have internet service. The deadline to register is Wednesday, July 29.

https://t.co/nGezUBsv7V"
30,"Our offices in Greenville, Spartanburg, and Washington will remain open and ready to assist any constituent who may need assistance. Please do not hesitate to reach out if we can help in any way."
31,"In case you missed it — Our latest newsletter is out with an update on COVID-19 testing locations in the Upstate. Click below to review the updates, and make sure to join our email list to get the latest news directly in your inbox! https://t.co/OseOxqXX2m"
32,"Two local businesses in Spartanburg have joined forces to make and sell face masks. They are also donating masks to the medical community in our area. Thank you to Amy, Karen, and all their volunteers!
 
https://t.co/z8Ius4BW3p"
33,RT @GennaContino: .@SptbgRegional will be holding no-cost #COVIDー19 testing July 16 and 17 from 9 a.m. to 4 p.m. near Pelham Medical Center…
34,"On July 13 from 2pm-7pm and July 14 from 9am-2pm, there will be no cost COVID-19 testing at Macedonia Missionary Baptist Church in Spartanburg. Walk-up and drive-through options will be available, and no symptoms or doctor referral will be required."
35,"These grants will assist area businesses who have been impacted by COVID-19 with reopening and continued operations. For more information and to apply, please visit https://t.co/Df1glyZ12O."
36,"Federal CARES Act funds are being distributed across the country, including to Greenville County. The County will be providing much-needed aid to businesses, non-profits, public health outlets, housing authorities, and other agencies, including $75 million for small businesses. https://t.co/s9tIcFsod0"
37,".@ghs_org Greer Memorial Hospital will be offering drive-through COVID-19 testing from 9am-2pm under the ER Ambulance Portico. You will need a provider order, which can be from your doctor, or through the Prisma Health Virtual visit platform on https://t.co/PzY64JgfFe."
38,"We are incredibly saddened by the news this morning of a shooting at a nightclub in Greenville. Our thoughts are with the families and loved ones of the victims, and we are praying for a full recovery for those who were injured."
39,"#SC04 - @BloodConnection in the Upstate needs our help.
 
Convalescent blood plasma is running low. If you or someone you know has recovered from COVID-19, your blood plasma can help treat critically-ill patients in our area. More information here: https://t.co/SSCtGe2uRw"
40,"To my role model, my mentor, my friend, and my dad— Happy Father’s Day! I would not be who I am today without you.
 
Wishing all the dads, step-dads, and father figures out there a very special day. https://t.co/8fVajrn5jL"
41,"On this day in 1944, Allied forces stormed the beaches of Normandy. The victory on this day would become the turning point for WWII. We lost many brave soldiers that day, including thousands of Americans. Today we honor those who fought for freedom and liberty around the world. https://t.co/Ka3IEIT6DM"
42,"I am pleased to announce that Greenville County will be receiving a $1,935,622 federal grant as part of the bipartisan CARES Act to support homeless families and individuals affected by COVID-19. This will help ensure no person experiencing homelessness in SC is left behind."
43,"RT @scdhec: There are COVID-19 pop-up testing clinics happening TODAY in Colleton, Charleston, Horry, Fairfield, Florence and Greenville co…"
44,Those who are responsible must be held accountable for their actions. These are difficult days for us as a nation; we must all work together to prevent future tragedies. (2/2)
45,"RT @scdhec: REMINDER: There are several pop-up COVID-19 testing clinics happening TODAY statewide. For a full list of clinics, please visit…"
46,".@scdhec will have several COVID-19 mobile testing clinics in Greenville and Spartanburg counties this week. Tests will be provided at no charge. For more information and to find the location in your county, visit:
https://t.co/9ceox2XTHZ"
47,All gave some. Some gave all. We will never forget those who made the ultimate sacrifice for our nation. https://t.co/nEMEWaiant
48,Millions will get their Economic Impact Payment as prepaid debit cards. These cards are secure and easy to use. They work just like a regular prepaid Visa debit card. #COVIDreliefIRS #IRS https://t.co/t82WNmvTqG
49,"RT @HouseGOP: .@RepTimmons: ""The real test of who we are as Americans is not found in the challenge itself, but in our ability to respond t…"
50,"At 6:00pm tonight, I will be joined by Lt. Governor @PamelaEvette for a telephone town hall to get your questions answered on COVID-19 and South Carolina’s path forward. We will also have North Carolina Congressman @RepGregMurphy with us. To join us, call 844-227-7556."
51,"We have taken judicious steps to manage the COVID-19 crisis, but now is the time to adapt and move forward. Read more on our pathway to a new normal in @GreenvilleNews:
https://t.co/ilKc2sFLiH"
52,"Tonight, State Senator Tom Corbin and I will be hosting a telephone town hall to answer your questions on COVID-19, South Carolina’s path forward, and more. Join us at 6:30pm tonight by calling 844-407-0271. We look forward to hearing from you!"
53,"As National Police Week comes to a close, I want to take a moment to say thank you to the men and women in law enforcement who keep us and our communities safe. It is not an easy job, but we are grateful for everything you do. https://t.co/ElSLoSURmT"
54,"On #ArmedForcesDay, we honor the brave men and women who serve our nation. Thank you to our troops here at home and abroad! https://t.co/uuXZdqvm7v"
55,"Essential workers have done their jobs throughout this pandemic, yet Speaker Pelosi is proposing members of Congress remain at home to VOTE. The Senate was able to reconvene, but apparently the House cannot.

Not only is this wrong, it would overturn 200 years of precedent."
56,"RT @RepDougCollins: The Chinese Communist regime has inflicted harm on the U.S. for decades and it’s time for that to change.
 
The COVID-1…"
57,RT @IRSnews: Act by May 13 for chance to get an Economic Impact Payment from #IRS through direct deposit https://t.co/g7NlRqDwoZ #COVIDreli…
58,"President @realDonaldTrump has declared today a National Day of Prayer. Today we come together to pray for everyone who has lost friends or loved ones from COVID-19, our health care workers and first responders, and strength as we recover from this pandemic."
59,"Thanks to President @realDonaldTrump and his administration, the U.S. is performing millions of more tests than other countries. Our increased testing capacity is critical as we reopen the economy and continue to fight #COVID19. https://t.co/1gOTDhWsfk"
60,"On #NationalNursesDay, we want to say thank you to the nurses on the frontlines caring for our loved ones during this pandemic. We are grateful for each and every one of you. During Nurses Appreciation Week, please join us in saying #ThankYouNurses! https://t.co/0tO78wgA9M"
61,"Tonight, @scottftalley and I will be hosting a telephone town hall to answer your questions on COVID-19, small business issues, South Carolina’s path forward, and more. Join us at 6pm tonight by calling 844-227-7559. We look forward to hearing from you!"
62,Firefighters dedicate their lives to protecting our safety. Thank you to these brave men and women who run towards danger to keep us safe. #InternationalFirefightersDay https://t.co/9C7SSmuu9D
63,"Governor @henrymcmaster has declared today a statewide day of prayer. I pray for those who have lost loved ones from this virus, our frontline workers who work tirelessly each day, and for our state as we recover from this pandemic. Through Him, may we emerge stronger than ever."
64,Convalescent blood plasma has helped a South Carolina woman recover from COVID-19. Donations from patients who have recovered from COVID-19 will be critical as we open the economy back up again. It will help us save lives and livelihoods at the same time. https://t.co/9do1SM5kp4
65,Thank you to our health care heroes at @BonSecours and across South Carolina for saving lives and helping us get back to work safely! We are grateful for each and every one of you. #MyHeroesWearScrubs https://t.co/yRTO28NE8U
66,".@ghs_org has a launched an online, interactive COVID-19 symptom checker. It is free and available to everyone—not just Prisma Health patients. Chat about your symptoms of COVID-19 online at https://t.co/74vNFPStnk or by texting “COVID19” to 83973."
67,"RT @SteveScalise: Turns out the only ones who colluded with Russians were Hillary Clinton’s campaign &amp; the DNC.

Time for Comey’s crooked c…"
68,Rapid testing for COVID-19 is coming to #SC04. @scdhec is deploying rapid testing devices and supplies to Bon Secours Health System in Greenville and Spartanburg Regional Healthcare. The Abbott ID NOW COVID-19 rapid-response test can provide results in just 15-20 minutes.
