,Tweet
0,"May God bless every person in this institution, those serving now &amp; those who serve in the years to come with the wisdom, strength &amp; compassion to advance this great and glorious cause we call the United States of America. 

https://t.co/kc5jJm9xyA https://t.co/nUcrfv6sW2"
1,"Often the best policies are the product of broad perspectives and creativity, with input from people who bring experience from different walks of life. Serving on the Select Committee on the Modernization of Congress is the perfect capstone to my career in public service."
2,"Today I sent letters to Gov. Kemp &amp; House officials to say I would be stepping down from Congress on Sunday, 10/4. It is time to begin the next season in life. I will be forever grateful for the incredible privilege of serving my country &amp; community as a member of Congress. https://t.co/bcdCPl8aRH"
3,Our President @realDonaldTrump &amp; First Lady @FLOTUS are fighters. Praying for their good health and a quick recovery.
4,"""The group forged ahead together even as an impeachment inquiry tore @ the fabric of the nation &amp; stoked partisanship, &amp; a global pandemic challenged lawmakers &amp; staff to reimagine legislative biz and constituent services in the digital space."" 

Proud of our work @ModernizeCmte. https://t.co/ZdTHRPuCuL"
5,RT @businessinsider: Opinion | The pandemic showed that Congress needs to overhaul its operations. Here's how we can do that. By @RepTomGra…
6,"Today we honor and remember the thousands of innocent lives taken from us on 9/11.

We will #neverforget.

God Bless America and those who work every day to keep us safe. https://t.co/M1S8b418WE"
7,RT @romenewstribune: Georgia officials and public-health experts are urging people to take precautions for COVID-19 during the upcoming Lab…
8,RT @SecWilkie: .@DeptVetAffairs rolls out new patient-appointment tool as part of electronic health record modernization transformation. Re…
9,"RT @FederalNewsNet: Nearly five months into the pandemic, the House Modernization Committee has passed a dozen recommendations based on fee…"
10,"Herman Cain was a dear friend who will be missed by many. Herman lived his life to the fullest, with an amazing life story to back up his personal credo, “Go BIG or go home!” He has now done both. Rest in peace, my friend. https://t.co/vzd0AbL7vK"
11,"Today was my last @HouseAppropsGOP @AppropsDems markup &amp; my last as GOP leader of #FSGG subcommittee. This committee is full of congeniality, spirited debate &amp; bipartisan friends who aren’t afraid to tell you when you can do better. It's been an honor.

https://t.co/JlnL9bMsJ4"
12,"It’s impt that we use every tool in our toolbox to stop hackers &amp; bad actors, esp as so much of #US workforce is relying on tech bc of #COVID19. 

Thank you to my bipartisan colleagues for working w me to prioritize the safety of the American people online."
