,Tweet
0,".@NMDOH will host three flu shot clinics at the Silver City Public Health office (2610 N. Silver St) over this coming week while supplies last:
-Tues, 10/27: 3-6pm
-Fri, 10/30: 9am-12pm
-Tues, 11/3: 1-3:30pm

https://t.co/zyuuH2jqIT"
1,"New Mexico Human Services Department has launched a 🚨new🚨 Pandemic-EBT hotline from 8am-6pm, Monday through Friday at: 1-833-415-0569. 

See additional info on P-EBT based on school schedule: https://t.co/xq6PnYZwdJ"
2,"Don't miss important updates from on office on federal resources, legislation, and constituent services as we continue to fight COVID-19. Sign up for my newsletter here!

⬇️ ⬇️ ⬇️ 
https://t.co/uufktQem3X https://t.co/5A2gCluw7F"
3,"Testing in Roswell ➡️ ➡️ 

This Sunday (10/25), @NMDOH will offer free COVID-19 testing between 1-4pm at 200 E. Chisum Street. Please pre-register here before arriving at the testing site: https://t.co/Wjvs1o80MB"
4,"#NM02! I hope you'll join me on Tues, Oct 27th for my Hometown Heroes Town Hall. As our community fights COVID-19, home care providers, local restaurant owners, students, &amp; more are continuing to step up. Celebrate some of these bright spots &amp; RSVP here: https://t.co/4lhxU4Aed9 https://t.co/liiGxCgBzV"
5,"From discussing the relief our small businesses need in Deming to meeting w/ producers in Valencia county about water shortages, I appreciated the chance to connect socially-distanced last week. I'm continuing to fight for the strong priorities #NM02 needs to weather COVID-19. https://t.co/1vm1XvGeXh"
6,"(1/2) During my time in Congress, I’ve worked hard to address the poor health outcomes of new &amp; expectant mothers, especially those living in rural areas. Thank you to @HHSGov for supporting efforts to invest in remote tech that can help pregnant women &amp; improve maternal health."
7,"More than ever, we must all step up to protect one another &amp; stop the spread of COVID-19. While NM's #s continue to rise, pls keep your family &amp; community safe by wearing a mask &amp; following public health guidance.

ICYMI: Updated public health order: https://t.co/r9bXFP8CYC"
8,"Clean water is essential to fighting COVID-19, rebuilding our economy, &amp; saving millions of lives. On Global Sanitation Day, I'm proud to have launched the Int'l Water &amp; Sanitation Caucus as we work to increase access to this precious resource. https://t.co/GN6wLoO5i0"
9,"Today is the last day to #GetCounted! Without a complete count, New Mexico could lose out on critical investments from health care to infrastructure and education.

Stand up for our community and fill out your census here: https://t.co/eMr677jv4S."
10,Thank you to our elected officials in Luna County for your efforts to keep our community safe &amp; support our economy. I'm grateful for today's discussion &amp; am committed to keeping lines of communication open as I advocate for our infrastructure needs &amp; additional COVID-19 relief.
11,"Western New Mexico’s mining industry continues to hurt from continued economic devastation &amp; COVID-19. Today I met with the task force in Silver City to hear updates &amp; discuss available federal resources to support employees with job trainings, career services, &amp; more. https://t.co/z0lpWSB7kR"
12,"Checked in with Silver City Grant County Chamber of Commerce &amp; community banks today to discuss the challenges our communities continue to face, additional federal relief needed &amp; issues our smaller lenders face as we continue to fight COVID-19. https://t.co/TFm0el6e72"
13,"Each day, I'm working to make sure our rural hospitals have the resources they need to keep their doors open. I know COVID-19 added financial pressure to local providers, like Gila Regional, &amp; I appreciated learning more about how they are finding creative avenues to stay open. https://t.co/I5yukin4T1"
14,"Happy Birthday, U.S. Navy! Thank you to all who serve our nation.

#Navy245 https://t.co/uXZ3prASQc"
15,Appreciated the opportunity to meet with elected officials and local leaders in Lordsburg this morning to discuss current challenges and the priorities Congress needs to take on so New Mexican can make it through the pandemic. https://t.co/XiGOJM4S7J
16,"Today, NM celebrates Indigenous Peoples’ Day, honoring the deep history, culture, and contributions of our many Tribes &amp; Pueblos. As we continue to strive towards healing &amp; growth amid the COVID-19 pandemic, I am grateful to work in partnership w/ our tribal sovereign governments"
17,"Yesterday I heard from small business owners during a roundtable meeting in Socorro. Federal programs like PPP provided a critical lifeline for many of our small businesses, however, it’s clear additional relief is needed to weather COVID-19. https://t.co/wpyE4vZItq"
18,"ICYMI: COVID-19 Testing in Hobbs

Tomorrow morning (10/11), @NMDOH will provide free drive-up testing for COVID-19 at the Hobbs Public Health Office (1923 N. Dal Paso) from 7-10am while supplies last."
19,"Our state is seeing a sharp rise in positive COVID-19 cases. As we head into the weekend, please continue to do your part to protect one another and wear a mask. By keeping transmission rates low, we keep our neighbors safe &amp; help our small businesses stay open. #Maskup https://t.co/3apoQJ0iUF"
20,Our rural health clinics have fought tirelessly to keep their doors open. Today I met with Veguita Health Clinic to discuss the importance of our rural providers &amp; current challenges. It’s critical we work to sustain our community-based clinics as NM continues to battle COVID-19. https://t.co/HM8DOYPVz7
21,"From restaurants &amp; barber shops to other small biz across #NM02, COVID-19 continues to upend livelihoods, leaving hardworking New Mexicans to adapt. Thank you to Valencia County's Hispano Chamber of Commerce for meeting w/ me to discuss priorities needed in future legislation. https://t.co/sdMoL8VEO8"
22,"Additionally, @NMDOH will offer fee drive-up testing for COVID-19 at the Hobbs Public Health Office (1923 N. Dal Paso) from 7-10am on Sunday (10/11). https://t.co/kvrlbvAYNI"
23,"Tomorrow (10/10), @NMDOH will provide free drive-up testing for COVID-19 at the Portales Public Health Office (1513 W. Fir Street) from 2-5pm while supplies last."
24,"Congress needs to push forward, find common ground, and pass additional COVID-19 relief. New Mexicans can't afford a continued stalemate."
25,"We also discussed the other support Grants and Cibola need to ensure a brighter future, like affordable housing, better healthcare, and a more diverse local economy. There is still much more work to be done. https://t.co/X6k4SGIHLF"
26,"Congress established the P-EBT program through the Families First Coronavirus Response Act to provide a lifeline for families while schools are physically closed. Aug/Sept food benefits are now approved.
Find a FAQ &amp; details on school eligibility here: https://t.co/MbuAs67cK5"
27,"On National Mental Illness Awareness Week, we recognize the importance of ensuring New Mexicans can access mental health services close to home. I'm fighting to bring resources where they are needed -- whether that's services for veterans, in rural communities, or bilingual care."
28,During this difficult time it's critical we continue to stay vigilant. @NMDOH warns against scammers who are trying to get personal info from those who believe they are interviewing for a job w/ the department. Please note all jobs will be posted here: https://t.co/TVnJFgAOId
29,"On Saturday, Oct. 3rd, @NMDOH will provide free drive up COVID-19 testing at the Las Cruces Public Health Office (1170 North Solano Drive) from 8-10am. 

Please pre-register online here: https://t.co/Wjvs1o80MB."
30,"(2/2) After meeting with health care providers, hospitals, and families across the district, I introduced the Rural MOMS Act. I'm proud my bipartisan legislation was included in the Maternal Health Improvement Act of 2020, which recently passed the House. https://t.co/IOnYqLr06i"
31,"Update: Families across NM will receive additional food benefits, a critical lifeline for many as we continue to navigate COVID-19. If you already have a P-EBT card, you should receive the new benefit in early Oct. For additional q's, call the P-EBT Hotline: 505-660-4822. https://t.co/ipjPf95sYq"
32,"As we continue through the public health pandemic, its critical we work to ensure New Mexicans can access healthcare close to home. Last week, I'm proud the House passed my bill that would expand services for moms in rural areas &amp; my bill that addresses veterans' mental health."
33,"Today we remember all Gold Star Mothers who made incredible sacrifices, and their children who gave their lives for our country. My deepest condolences are with our many gold star families."
34,"From families driving 100's of miles for critical health care to our dairy producers navigating sudden changes to supply chains, rural communities across #NM02 continue to face unique challenges. Today I joined my colleagues to make sure Congress prioritizes rural America. https://t.co/NmgJGlYjdW"
35,(2/2) The House passage of the Maternal Health Improvement Act is an important step towards expanding healthcare in rural communities &amp; I will continue to fight to get this legislation over the finish line in the Senate. https://t.co/hLKobpQCAJ
36,"(1/2) Since elected to Congress, I’ve been fighting to make sure New Mexicans can receive healthcare close to home. For expectant mothers in rural communities, bringing a healthy child safely into the world often means driving hours for prenatal appointments. https://t.co/9VskcHXs8c"
37,"In NM our outdoor industry creates countless jobs &amp; sources of revenue for our rural communities. As Co-Chair of the Blue Dog Coalition Task Force on Rural Opportunity, I hosted a roundtable w/ @RepCunningham to discuss strengthening outdoor economies, especially during COVID-19"
38,"Our farmers continue to work around the clock to keep our economy going and feed communities. This National Farm Safety and Health Week we thank our #NM02 producers for the work they do &amp; continue to fight for the PPE, essentials, &amp; safety measures our agriculture industry needs. https://t.co/EAoDJ74LqX"
39,"🚨 ICYMI Testing in Roswell tomorrow: NMDOH
 is providing free COVID-19 drive-up testing at the Roswell Public Health Office (200 E. Chisum) from 8:30-11:30am. Please register online in advance. https://t.co/Wjvs1o80MB."
40,"On National #POWMIARecognitionDay, we honor the great sacrifices made by our service members and recognize America's prisoners of war, including those who never made it home.

We stand behind our many brave men and women -- You are not forgotten."
41,"🚨 Testing in Roswell: This Sunday, @NMDOH
 will provide free COVID-19 drive-up testing at the Roswell Public Health Office (200 E. Chisum) from 8:30-11:30am. Please register online in advance: https://t.co/Wjvs1o80MB."
42,This #NationalSuicidePreventionMonth we recognize the toll COVID-19 has taken on communities across the country. That's why I've introduced legislation to support our veterans and better identify former service members who may be at risk of suicide. https://t.co/AxU6Y69ij1
43,"I'm proud to join @ProbSolveCaucus in presenting a bipartisan COVID-19 relief plan. Over the past weeks I've met with small business owners, local leaders, &amp; families across #NM02, &amp; this plan establishes the strong priorities we need to weather COVID-19. https://t.co/EOi5eLcVFX https://t.co/m6Q41DL5aA"
44,"This Hispanic Heritage Month, we remember that ours is a heritage of resilience. We continue to face difficult times from the COVID-19 pandemic to the current economic challenges. But, communities across New Mexico have overcome adversity before -- and we will again. #HHM"
