,Tweet
0,"We were at NorthRidge Fitness, one of the thousands of businesses that took advantage of the Paycheck Protection Program we created in Congress to help businesses get through the pandemic. @nfib_al"
1,The @realDonaldTrump economic conditions and policies in place before the pandemic hit made this quick recovery possible. https://t.co/Br55jpGzy2
2,Congratulations to Amy Coney Barrett on her confirmation to the Supreme Court. She will make a great justice and decide cases based on the Constitution and the law.
3,"Expanding rural broadband brings opportunities for businesses, better educational tools for our kids and opens access to telehealth for the vulnerable. I was proud to create the ReConnect program in the 2018 Appropriations Bill."
4,"I'm excited to share the news that @Homtex_Inc in Cullman, Alabama has been awarded a contract to supply the U.S. Capitol complex with masks for members, staff and visitors.  I've already been wearing their masks for sometime and they are great! https://t.co/DlA5PsdIqa"
5,"Investing in Alabama’s irrigation infrastructure will bring significant benefits to crop yields, farm income, and rural communities as a whole. @AlfaFarmers @ALSoilAndWater"
6,"Today, 75 years later, there are roughly 300,000 American WWII veterans still alive. To those from the Greatest Generation who served our country, both living and past, thank you for your service!"
7,"Congratulations to the 47 countries of the African region on being certified free from wild polio virus. 

The leadership and significant role the United States played to help #EndPolio in Africa is something we can all be proud of. @Rotary @ShotAtLife"
8,RT @USDA: Additional commodities are now covered by the Coronavirus Food Assistance Program in response to public comments &amp; data! The dead…
9,Glad to be speaking today to the Guntersville Rotary club. One of the first in person meetings since the virus started.  (Proper Covid Precautions are being taken) https://t.co/eq2Ni4HCpu
10,RT @JimBridenstine: Progress! The fourth test of the @NASA_SLS core stage Green Run test series is complete. Teams finished testing the mai…
11,"RT @PHEgov: 1 in 5 Americans lives in a #rural community. As rural areas continue to respond to #COVID19, @HHSGov has developed a collectio…"
12,"RT @SecAzar: In just weeks, the number of patients using telehealth services in traditional Medicare increased from roughly 13,000 a week t…"
13,"So sorry to hear this news, especially after it appeared his battle with Covid-19 had been won. My prayers go out to his family and his colleagues who I know are hurting.  https://t.co/wNFFxpEKqW"
14,"This is good news for kids across Alabama. A reliable internet connection is not a luxury, it is a necessity. This is especially true for children who will have to learn at home. We cannot allow kids in rural communities to be left behind. https://t.co/WyZJhTqu24"
15,"USDA has outlined initial findings from its ongoing investigation into cattle and beef price disruptions following COVID-19 and the Holcomb plant fire. In May, I joined my colleagues in urging Sec. Perdue to conclude their investigation as quickly as possible."
16,"Today is the 51st anniversary of @NASA 's Apollo 11.  I am proud of the thousands of Americans who play a role in designing and completing the @NASA_SLS, which like the Saturn V, was designed from the beginning to provide astronauts safe passage to the Moon once again."
17,"RT @BECKETlaw: #BREAKING: In a 7-2 VICTORY, #SCOTUS rules that gov’t cannot control a church school’s decision about who teaches its religi…"
18,CJS Subcommittee markup.  The people’s work on appropriations bills continues this week despite COVID-19. https://t.co/ADfm3qydbp
19,"Wearing a face mask is a great and recommended way to help keep you healthy and safe, just ask Bo! #BoKnows https://t.co/TvHgrup6wN"
20,The program lost only one week of schedule in 2019.  The testing of this taxpayer-controlled asset provides data valuable both to SLS flights and future commercial rockets.
21,"Thankfully, here in Alabama, we have home-grown groups like Cullman EC who have taken this issue into their own hands. I want to congratulate @cullmanec and thank them for the great work they are doing! https://t.co/72sfTx8itM"
22,"While he will long be remembered for the games he won and the contributions he made to the great Auburn-Alabama rivalry, there are hundreds of people who were touched by him who will carry on his legacy for decades to come."
