,Tweet
0,Justice Amy Coney Barrett is a fair-minded jurist who will apply the law as written &amp; will not legislate from the bench. More from my conversation this morning on @TomBradleyShow https://t.co/lA3kBGNXAK
1,"I’m pleased to announce that nearly $13 million in COVID-19 relief is headed to 296 nursing homes in MO. These facilities will have more support to not only protect patients, but also the staff who they rely on for care and other services. https://t.co/0Q8NbsaRJO"
2,"As co-chair of the congressional adoption caucus, one of my priorities is to ensure we have the right policies in place to make sure families who want to welcome a child into their home through adoption are able to do so."
3,I spoke earlier this week with @KMZU about why the pandemic has made rural access to broadband more critical than ever and my work in the Senate to make sure Missouri is capitalizing on our state’s greatest advantage – where we’re located. Listen in here: https://t.co/gXCL6jtIYR
4,"Senator Klobuchar, my Senate Travel and Tourism Caucus co-chair, and I introduced legislation to do a complete study on the effects of the pandemic on the travel &amp; tourism industry so they can bounce back stronger than before  https://t.co/UyEMTPqwRH"
5,"The pandemic has been particularly devastating for Missourians whose livelihoods depend on travel, tourism &amp; hospitality. Having a full understanding of the pandemic’s impact on jobs &amp; the economy will help us ensure we have the right policies in place to support a full recovery"
6,"📍Independence
Free saliva-based COVID-19 testing available starting tomorrow, detail on times &amp; locations here
https://t.co/tn9KTplgqU"
7,"RT @HealthyLivingMo: Starting this week, additional FREE COVID-19 Testing sites are being added around the state. And these sites will be a…"
8,"Free COVID-19 testing events happening this week in
📍Columbia
📍Branson
📍Cape Girardeau
📍 St. Louis City
📍Lee's Summit
Details on exact location sites &amp; times here ⤵️ https://t.co/KuH6gfik2y"
9,"Today, I’ll proudly vote to confirm Judge Amy Coney Barrett to be the ninth justice on the Supreme Court. As we saw during her hearing, she is an exceptional jurist who will apply the law as it is written &amp; will not legislate from the bench."
10,RT @MoEcoDevo: Patriot Medical Devices celebrated a ribbon cutting in Cape Girardeau! This company has hired veterans to produce masks to h…
11,Missouri is making a strong economic comeback - a report this week shows our state's unemployment rate is one of the lowest in the U.S. @GovParsonMO is doing a great job helping Missourians get through this pandemic with his #ShowMeStrong Recovery Plan
12,"This week, Senate Dems (once again) blocked legislation that included

❌ #PaycheckProtectionProgram funding to save jobs &amp; small biz

❌ Enhanced unemployment benefits

❌ Farm aid

❌ Resources for testing, &amp; vaccine development &amp; distribution

❌ $105 billion for schools"
13,"The pandemic has brought even more attention to how critical broadband is to education, health care, and jobs. Today, @USDA announced that it is investing an additional $91.5 million to expand broadband to more rural communities in our state."
14,Update: Dems blocked COVID relief (again). https://t.co/PAJjwas6vF
15,"Today the Senate will again vote on clean COVID relief bill that will help get Americans back to work, students back in school &amp; kids back in child care. Will Dems block it b/c it doesn’t include their unrelated demands that would do nothing to help Americans during the pandemic?"
16,"🎙️ Joined @SpeakerTimJones @NewsTalk560 this morning to talk about Judge Barrett’s terrific hearings last week, why I’ve been supporting her nomination since Day 1, and the latest on coronavirus relief legislation. Listen here: https://t.co/7TeLm5bwZr"
17,Very exciting news out of @Mizzou ⤵️ Their @NIH clinical trial could change how health care providers treat COVID-19 patients https://t.co/1gbzeMZkc3
18,"We need to pass a COVID-19 relief package now.

Unfortunately, Democrats have taken an all-or-nothing approach when it comes to the amount of taxpayer money they want to spend and the way they want to spend it.

That will not produce a result. https://t.co/UXuhSWj1b8"
19,"Republicans are trying to pass critical COVID-19 relief to get Americans back to work, back to school, &amp; back to child care.

But Dems refuse to pass a bill without their wish list of unrelated spending &amp; policies that have *nothing* to do with helping Americans in this pandemic."
20,"Reminder: Last month, @SenateDems blocked us from even debating coronavirus relief package that included

👉 $42 billion for testing &amp; vaccine development &amp; distribution 
👉 Protections for people with pre-existing conditions
👉 Support for child care centers
👉 Small biz relief"
21,".@Missouri_NG has played an invaluable role in our state’s pandemic response. From working with @HealthyLivingMO on community testing events to assisting food banks, they have gone above &amp; beyond to help Missourians. We owe them a deep debt of gratitude. https://t.co/1w9yNGRTlv"
22,"This week, @SenateGOP will vote to deliver coronavirus relief to American families &amp; workers:

▶️ $100 billion+ in education funding

▶️ Additional #PPP funding, which has saved millions of jobs

▶️ Additional farm aid

▶️ Support for testing, vaccine development &amp; distribution"
23,"RT @Brianontheair: Missouri's approximately 425,000 health care workers would receive priority for a COVID-19 vaccine, under a 111-page pla…"
24,Judge Barrett is an exceptional jurist and her no-notes approach impressively showcases her brilliant legal knowledge. Tune in to day 3 of her confirmation hearing here: https://t.co/GTmePd6CY8
25,"RT @HHSGov: Now more than ever, it’s important to take care of your mental health. Taking care of ourselves will help us take care of each…"
26,"Republicans have tried for months to secure another round of relief for Americans.

But for Democrats, negotiations were always about a bidding war - NOT about providing real relief to America’s workers, families, students, &amp; health care workers."
27,"With today’s announcement, RADx contracts are expected to add 2.7 million tests per day by the end of the year, giving our nation a critical tool in the fight against this pandemic. https://t.co/BUtq403Cno"
28,"Today, @NIH awarded a third round of contracts to six additional companies developing coronavirus diagnostic tests through the #RADx program, which @SenAlexander and I created to speed up the development of quick, accurate, and affordable coronavirus tests."
29,".@SDECoxhealth has done so much for #SWMO. With Steve at the helm, @CoxHealth has expanded to serve more Missourians and during this pandemic they stepped up to an evolving public health challenge to ensure people receive quality care. Congratulations, Steve https://t.co/2jorLaQ4ol"
30,"October is National Substance Abuse Prevention Month.
This pandemic has been challenging for people in recovery or trying to get into recovery. They might not be able to have their in-person support system because of social distancing or are worried about family, jobs, &amp; health"
31,"I’d also like to recognize all the parents, many of whom have become teachers themselves this year with distance learning. Thank you for all you’re doing."
32,"Throughout this pandemic, our teachers have stepped up when we needed them most - creating virtual classrooms &amp; ensuring in-person learning is done safely.

Today, on World Teacher Day, I'd like to thank all the teachers who are going above &amp; beyond for their students. https://t.co/B7mTEnhprl"
33,RT @MoEcoDevo: FREE COVID-19 Community testing events continue with Green County Oct. 2-3 hosted by @HealthyLivingMo. Make sure to register…
34,"RT @MissouriChamber: What are you doing this Friday? Whatever it is, we bet it’s not as cool as #MFGDay20! Take a few minutes (or the whole…"
35,"I’ve been sharing whenever I see updates on #COVID19 testing sites around our state. Be sure to bookmark
https://t.co/uqTrov4UaO to see when testing events are happening near you &amp; for the most up-to-date information."
36,".@NIH awarded #RADx, which @SenAlexander &amp; I created, nearly $234 million to improve #COVID19 testing for underserved &amp; vulnerable populations – who have been disproportionately affected by the pandemic. @WUSTLMed will be part of this new program https://t.co/i1242V6tBG"
37,.@HealthyLivingMO and @Missouri_NG are holding testing events across our state in the next few weeks. You can check their locations and times and pre-register here: https://t.co/uqTrov4UaO
38,"We also talked about voting in the upcoming elections, protecting Americans with pre-existing conditions, and the need for additional COVID-19 relief. More here ⤵️ https://t.co/NzadKUEZX6"
39,"There is clearly a deal to be had on the next coronavirus relief package and we need to focus on getting that done. We need to get our economy back to full speed, and get students back to school, people back to work, and kids back to child care. https://t.co/311D1AJUK9"
40,"RT @HealthyLivingMo: Reminder: FREE COVID-19 Community testing events around the state this week! There are 6 communities hosting. 

Regist…"
41,"Licensing requirements are a burden on anyone moving to another state, but they are especially difficult for military spouses who may have to go through the process every couple of years."
42,Remembering our heroes who never returned home. We will never abandon our efforts to return them to their families. #POWMIADay https://t.co/mkJjHQmUEG
43,"Medical research is critical, now more than ever.
As chair of the approps committee that funds health-related programs, I've prioritized investing in @NIH &amp; reenergizing the medical research field.
Glad to see so many people participating virtually in this year's #RallyMedRes https://t.co/cXkLXbGa8D"
44,"""Your Community Health Center’s new mobile clinic is capable of bringing behavioral, dental &amp; medical services to rural settings""

I checked out the mobile clinic a few weeks ago, it's a terrific example of how MO is innovating health care by combining all facets of health care"
45,"Resources to get kids back to school or child care
❌ Dems blocked it

Resources to protect workers' paychecks
❌ Dems blocked it

Resources for vaccines &amp; testing
❌ Dems blocked it

Resources for another round of job-saving Paycheck Protection Program loans
❌ Dems blocked it"
46,"Missouri residents can still participate in community testing for COVID-19 in these counties:
Ralls
St. Charles
Madison
Perry 
St. Francois
Jefferson
Vernon 
Cape Girardeau
Bates
Clinton
Sign up here: https://t.co/uqTrov4UaO"
47,LIVE: Chairing an appropriations hearing on @HHSgov &amp; @CDCgov’s coronavirus response. Watch here https://t.co/gZhBC203CQ
48,Starting shortly ➡️ Hearing with @HHSgov &amp; @CDCgov officials on their coronavirus response. Watch live over on my FB – https://t.co/gZhBC203CQ
49,"🚨TOMORROW🚨
I’m chairing a hearing to review @HHSgov’s coronavirus response efforts &amp; discuss next steps. Details here: https://t.co/maxBPLjtPS"
50,"Tomorrow, I’ll be chairing a hearing with @HHSgov officials on the administration’s coronavirus response efforts. I want to hear more about their planning for an eventual vaccine and how it will be distributed, and where we are on increasing COVID-19 testing capacity. https://t.co/YyocsbgIOd"
51,"I’m grateful for President Trump’s leadership, along with the State Department &amp; others who have been involved in this effort."
52,"CoxHealth is looking to fill 600+ job openings, click through for details on tomorrow’s virtual hiring fair ⤵ https://t.co/l5nVyWLht9"
53,"We cannot forget the impact social distancing &amp; remote learning have on our kids’ mental health. Treating mental health like physical health is vital for everyone, no matter what age. This article has multiple resources from local professionals for parents https://t.co/Nid2K0wuXp"
54,"Dems once again blocked legislation to
❌ Get kids back to school &amp; child care 
❌ Increase investments in vaccines &amp; testing
❌ Provide relief for biz owners
❌ Protect workers’ paychecks
❌ Add another round of #PaycheckProtectionProgram, which has saved tens of millions jobs"
55,"In light of the growing, misguided calls to defund the police, my colleagues and I sent a letter to @TheJusticeDept regarding the unacceptable increase in the number of individuals who justify attacks against the heroes who keep our families safe. https://t.co/4KS888HLZJ"
56,"Navigating the pandemic has been a challenge for everyone, &amp; especially for those w/ behavioral or mental health challenges. Please remember you are not alone and help is available. Call the 24/7 National Suicide Prevention Lifeline at 800-273-8255 for free &amp; confidential support"
57,"Unfortunately, Senate Democrats once again blocked critical coronavirus relief because they decided to prioritize policies that have nothing to do with defeating this pandemic."
58,"Today, I voted to provide additional relief to America’s families, workers, and health care providers. Our bill targeted resources to get people back to work and kids back to school or child care."
59,This week @HHSGov announced $6 mill in grant funding to be distributed to 13 MO health centers impacted by severe weather in 2019. This investment will help ensure these health centers are able to recover from past damage &amp; prepare for future emergencies https://t.co/wzxodsoS2d
60,"I plan to follow up on the letter with a hearing later this month in the health appropriations subcommittee I chair. Americans need to know that an eventual vaccine will be safe and effective, and will be distributed fairly and efficiently. Full letter: https://t.co/mTeOOyPBtO"
61,We shouldn’t wait until we have a COVID-19 vaccine to have a plan in place to distribute it to Americans quickly &amp; equitably. I sent a letter to @CDCgov Dir. Redfield asking for an update on where planning stands and what additional resources are needed to get it done.
62,"I spoke with @NIHDirector Collins today. He said 16 different tests now have gotten through @NIH’s Shark Tank, advancing toward production. The more testing we have, the faster we can get people back to work and back to school. https://t.co/Ju0IvAvaXi"
63,"Our relief bill: 
▶️ Funds another round of #PaycheckProtectionProgram
▶️ Expands investments in testing &amp; vaccines
▶️ Supports schools

@SenateGOP is working to bring targeted assistance to Americans as we continue to battle coronavirus. Democrats are refusing to get this done."
64,"There is no reason to wait until we have a COVID-19 vaccine to have a fair, efficient plan in place to deliver it. https://t.co/bshM20xaIO"
65,"“John Donaldson is one of the greatest baseball players who you’ve probably never heard of” - @NLBMPrez
Encourage you to check out this article about baseball legend John Donaldson, who counted 413 wins &amp; 5,091 strikeouts during his 32-year career. https://t.co/C6Qo95ok6b"
66,".@SenateMajLdr's targeted proposal provides relief for America's schools, parents, workers, businesses, and health care professionals.

It's time for Senate Democrats to stop the political theatre and come to the table to work with us."
67,"The #RADx initiative, which @SenAlexander &amp; I worked together to fund, has been instrumental in developing #COVID19 testing technologies. Researchers have been working around the clock to expedite the innovation of an effective test that quickly delivers accurate results https://t.co/g6eHnGq9bf"
68,"Our economy is surging back after coronavirus lockdowns, adding 1.4 million jobs in August 💪

 https://t.co/IjZhAmDVea"
69,"From @Missourinet: Missouri partners with @WUSTL for roll out of new COVID-19 saliva tests 

https://t.co/D6vgt1y5zF"
70,"Very proud that Missouri is leading the way in the effort to develop a coronavirus test that is accurate, affordable, and provides quick results.

https://t.co/fQG1mDl495"
71,"Yesterday I met with people around #NWMO to talk about a variety of issues - from the importance of making telehealth an option for more people to repairing levees damaged by the 2019 floods, and expanding high-speed internet to reach more homes, businesses, and farms. https://t.co/ebShZDBlNX"
72,".@STLFoodBank is an impressive operation, feeding more than 400,000 people each year across 14 counties in MO &amp; 12 in IL. I toured their facility today &amp; discussed the necessary flexibility food assistance programs need during the pandemic to continue their important work"
73,RT @WUSTLmed: Missouri @GovParsonMO and U.S. Sen. @RoyBlunt visited #WashUMed today to hear more about the COVID-19 saliva test developed b…
74,"As chairman of the Senate appropriations subcommittee that funds health-related programs, I’ve been a firm supporter of increasing funding for medical research. I’m committed to making sure researchers have the resources necessary to keep these projects moving forward."
75,It was exciting to hear from researchers today at @WUSTL about this test as well as their additional work in testing and vaccine research. Medical researchers are working around-the-clock to help communities across the country have access to coronavirus tests and treatments.
76,".@WUSTLMed recently announced their researchers developed, &amp; FDA approved, a saliva-based test for #COVID19 that is faster &amp; easier than tests currently in use. The significant progress these researchers have made in a short amount of time is remarkable, we’re all thankful."
77,"Thank you to the people at Your Community Health Center Clinic who are providing care during a very challenging time. I'm honored to support the work they're doing to strengthen substance use disorder prevention, treatment, and recovery services for Missourians."
78,The pandemic has changed virtually everyone's life. But we need to be especially thoughtful of those who are in addiction treatment and working to maintain their recovery with the challenges of social distancing &amp; isolation.
79,"With concerns about #coronavirus, especially for those patients who are wary of traveling during the pandemic, this innovative patient-centered care is even more important now."
80,"In Rolla, @GovParsonMo &amp; I visited Your Community Health Center Clinic to check out their new mobile unit that's bringing comprehensive health care to more people in Phelps, Crawford, and Dent Counties, including care and treatment for medical, dental, and behavioral health. https://t.co/MXUXGuRMT8"
81,"Pastor Miles has done so much for Kansas Citians, I’m always grateful for his advice on ways we can work together. Yesterday, Pastor Miles, @GovParsonMO, and I discussed the need for senior housing, especially critical during the pandemic, and development at 27th and Prospect. https://t.co/IZyIlqXQ7U"
82,".@GovParsonMO and I visited Harvesters today to talk about the need for flexibility in food assistance programs during the pandemic so organizations like Harvesters are able to continue reaching people, especially children, in need. https://t.co/TkaTtAeclT"
