,Tweet
0,"If confirmed this evening, Judge Barrett will be added to the Supreme Court 8 days before the election – but she refused to commit to recusing herself from any election-related case involving the President who appointed her. That alone is disqualifying. https://t.co/oGHiYoXOsf"
1,"Judge Barrett’s commitment to “originalism” is well established – so how does she deal with cases like Brown v. Board of Education, or Loving v. Virginia, where fundamental rights were extended to all a century after the 14th Amendment was ratified? By dodging. https://t.co/8cJdsvS6Px"
2,"As the nation sees record numbers of coronavirus cases, Mark Meadows’ comments are an admission this Administration has unconditionally surrendered to this pandemic. We have the ability to control this pandemic; we just need the leadership. https://t.co/IzGJ6WNsHl"
3,"Today, I’m speaking with Wayne St. Peter who credits the ACA with quite literally saving his life. Today’s Supreme Court vote could lead to the repeal of the healthcare law – without an alternative in place – so it’s important to hear him remind us #WhatsAtStake https://t.co/VVBNt53B7h"
4,"The ACA has made an impact on folks from all walks of life; it’s vital that we focus on improving it rather than repealing it. Today, I’m talking with Francesca Basile, a young professional, who was allowed career flexibility while entering the workforce thanks to the ACA. https://t.co/LRElUe9C1u"
5,"Today I’m chatting with Greg Rossel, a self-employed boat builder, about the ACA's benefits – particularly how those who are self-employed have access to quality, affordable healthcare. Listening to Greg speak about the difference it makes is a reminder to all of us #WhatsAtStake https://t.co/qkahmmpWyd"
6,"One week after Election Day, the Trump Administration will challenge the ACA in the Supreme Court, threatening healthcare for millions. Today I’m talking with cancer survivor Karen Wentworth – who saw her bills go from $1,000/month to $100 for better care – about #WhatsAtStake. https://t.co/0LorVhelby"
7,"The @BangorDailyNews is right: we need coronavirus relief that meets the enormity of the challenge to families, workers, businesses, and states &amp; localities. This can't be a “check the box” political move; it must be a bill that actually helps Americans. https://t.co/hBeone59TI"
8,"Each of the stories I’ll be highlighting in the days ahead was sent directly to me, at https://t.co/V78BhPlaj3. Submissions are still open, because this fight goes on. Let’s keep going, together – for the sake of all those who rely on the ACA's vital protections."
9,"Dr. Debiegun told me: “I think anyone who has to look a patient in the eye and tell them that you’re going to remove their care is going to have their heart changed.” I couldn’t agree more, and that’s the goal of this series: to show the impact of the ACA on so many of us."
10,"One week after Election Day, the Trump Administration will challenge the ACA in the Supreme Court, threatening healthcare for millions. In the coming days, I’m sharing conversations with Maine people to hear what's at stake. First in the series: Dr. Garreth Debiegun. https://t.co/oMIuaNtJPU"
11,"Today, my colleagues and I introduced a bill to provide pandemic relief to a broad range of small businesses and nonprofits – in critical need of a financial lifeline – so we can count on them for years to come. https://t.co/A68LVnnhpJ"
12,"Much needed good news: this bill simplifying the National Suicide Hotline was signed into law – by this time next year, Americans experiencing a mental health crisis will be able to dial 9-8-8 to get help swiftly.  
https://t.co/dwEKP4zKuG"
13,"In a little over a month, the Supreme Court will consider eliminating the ACA, putting healthcare at risk for millions. While not perfect, the ACA has literally been a life-saver for many Maine people. How has it impacted you? Share your story here: https://t.co/aX49ucYtnU"
14,"The economy is foundering; states and localities are facing massive shortfalls; across the country, sick, jobless, and anxious Americans need help.
 
But President Trump just said, clear as day, that he’s putting politics before aid for those who are suffering.
 
Unbelievable."
15,"This is yet another reminder that this virus can affect anyone — regardless of your politics or your power. This is a dangerous illness, and for the good of the country, we must all work together to follow the science and strengthen our national response."
16,"My thoughts are with President Trump and the First Lady, who have joined the more than 7 million Americans who have contracted coronavirus. This is a serious disease, and I wish them the best as they begin their recovery process."
17,"Benjamin Franklin famously said, “An ounce of prevention is worth a pound of cure.” This bill is rooted in that thought, and it will help more Americans access routine visits to primary care providers, mental health professionals, and substance use counselors."
18,Too many Americans skip regular check-ups because of co-pays or deductibles – and then have to deal with more serious and costly health problems down the road. That’s why I’ve introduced a bill to ensure that insurance covers routine visits free of charge. https://t.co/MmXc3nPi6v
19,"The picture painted by the NYT reporting – a president who owes millions to lenders across the world, with limited transparency – is the definition of a security risk. We need answers. https://t.co/Msjr2zhYMS"
20,"In just a few weeks, the Supreme Court will consider eliminating the ACA, putting healthcare at risk for millions of Americans – with no replacement. As I defend the law, I want to hear from Maine people on how it’s impacted their lives. Share your story: https://t.co/2LThjupR00"
21,"Reminder: Trump and McConnell are rushing to approve a Supreme Court Justice, before the election, in an attempt to destroy the ACA during a global pandemic. 

If only they moved this fast on coronavirus relief… https://t.co/G1ileEwJFs"
22,"The increased reliance on telehealth services and remote work gives Maine an opportunity to become a hub for economic growth now and into the future – if we make sure Maine people can access high-speed, quality, and affordable broadband. https://t.co/rGnbHatHpW"
23,"One week after Election Day, the Trump Administration will argue that the Supreme Court should eliminate the ACA, threatening healthcare for tens of millions of Americans. Before that happens, they want to appoint a potential swing vote to the bench. https://t.co/601HJTzler"
24,"As the pandemic continues to alter our lives, Americans need to prepare for the likelihood that our Election Night information will be more like a halftime score than the final results. My piece in @TIME on the virtues of patience and faith: https://t.co/rHUXQzCTDy"
25,The Trump Administration is supporting this case to eliminate the ACA’s healthcare protections – but they’ve got no plan to replace these protections! This is deadly serious – lives are at stake.
26,"One week after the November election, the Supreme Court will hear a case on the future of the ACA – and if the ACA goes, millions of Americans with pre-existing conditions will lose protections. When we talk about the Supreme Court, we’re talking about the future of healthcare. https://t.co/7YMHfBpSku"
27,"Please, for yourselves, your loved ones, and your neighbors, take precautions to prevent the virus’s spread, including: 
 
➡️Cover nose and mouth with a mask when outside your home
➡️Maintain social distancing
➡️Wash your hands"
28,"The U.S. has lost 200,000 people to the coronavirus – a tragic, incomprehensible toll, which has touched communities across the nation. As we mourn these losses, we must recommit ourselves to simple steps that can bring this deadly virus under control."
29,"Justice Ruth Bader Ginsburg was a giant. A brilliant jurist, who spent her life making our country a fairer, more equitable place for all its citizens. Her loss leaves a grateful nation in mourning; Mary and I are keeping her family and loved ones in our prayers."
30,"Today we honor, salute, and remember the thousands of brave Americans who fought for our principles and have not returned. On behalf of a grateful nation, you are not forgotten. #POWMIARecognitionDay https://t.co/BOAOxUwRsm"
31,"As students, families, and teachers adjust to the new normal of remote schooling, it is vital that resources exist to support the mental health of our children. That’s why this week, @SenBlumenthal and I introduced the Social-Emotional Learning for Families Act."
32,"Second: when one of your neighbors is in crisis, do you first ask who they voted for? Of course not.

This is one country, and when one of our own needs help, we give it. We can’t stop supporting each other, especially not during this crisis."
33,"First: there are a number of Republican-leaning states that are facing severe budget shortfalls, and they deserve our help too. My colleagues who hail from these states really should look up the expression “cutting off your nose to spite your face.”"
34,"To all those throughout Maine and across the country who are struggling: you are not alone, even during this most challenging of times. Your neighbors and loved ones stand with you, and we will all get through this – together."
35,"The coronavirus pandemic has created new challenges for Americans in recovery – drastically altered routines, increased social isolation, reduced access to treatment and support systems, on and on. In the face of these new stresses, we all must step up to provide support."
36,"The legislation is simple: the families of America’s fallen heroes should be able to visit any national park, across the country, for free. It’s a small show of our recognition for those whose loved ones gave so much for our security; one we can and should make immediately."
37,"For decades @PortlandChamber’s Eggs &amp; Issues has convened for important conversations – and now, that tradition continues virtually! Grateful to speak to hundreds of Maine people about election security, economic development, and how we can support each other during the pandemic. https://t.co/RB9pS7qYNR"
38,"On the anniversary of #September11, we must come together to honor those who were lost on that terrible day, and to recommit ourselves to the values that shone through in the aftermath of these vicious attacks. https://t.co/TcXUEHu2iA"
39,"It’s right there on the tapes. President Trump knew the scope and scale of the coronavirus pandemic before it struck. He could have warned the American people; could have changed behaviors and told people to take this seriously; could have slowed the virus’s spread. 

He didn’t."
40,"Jesse Harvey was a tireless advocate for Maine people struggling with substance use disorders. His loss is a tragic and painful reminder of the work we must do to confront this awful epidemic, especially during the pandemic. https://t.co/3heEmMXMxy"
41,"The CDC’s eviction ban is a step in the right direction – but it’s far from a full solution. We need to extend these protections through the end of the public health crisis, and provide relief for both tenants and small landlords. https://t.co/hQv1fyV0UG"
42,"September is #SuicideAwarenessMonth, which is even more important with the pandemic adding new stress and uncertainty. Please, know that help is available; if you or someone you know is struggling, call 1-800-273-8255 or visit https://t.co/BfErvvoGWz.

Because we need you here."
43,"We also must not forget the millions of Americans who have lost their jobs through no fault of their own – the result of a pandemic that has shut down industries, and a toothless federal response that has failed to meet this crisis. The Senate must provide support for them, ASAP."
44,"This pandemic has highlighted the critical contributions of America’s workforce, which is why on #LaborDay, we must honor our essential workers who continue to put themselves in harm’s way each and every day to keep our nation running."
