,Tweet
0,I had a great tour of the Veterans Health and Trauma Center at @UCCS and roundtable meeting on establishing a VA Medical Center in Colorado Springs. I look forward to working with local and federal leaders to make this center a reality to better serve veterans in El Paso County. https://t.co/p9FtRlavr3
1,I stopped by an evacuation center in Winter Park to thank local volunteers for their work to help Coloradans who have been forced to evacuate due to the wildfires. I'll keep doing everything I can to ensure we contain the fires and quickly rebuild. https://t.co/rjRLvq4jjq
2,"After working with the White House I’m pleased @HHSGov will send 50,000 rapid #COVID19 tests to CO to support testing needs &amp; replace testing sites impacted by ongoing wildfires. I’ll keep fighting for Coloradans to have resources to get through #COVID19.
https://t.co/RcuJ00BONx"
3,"Thank you to the men and women fighting the fires across Colorado and the leaders in our communities doing a magnificent job protecting people.

It's important that we continue our work in the US Senate on forest management and healthy forest initiatives to prevent these fires. https://t.co/qd0jSQjxgl"
4,Great news for Colorado’s two federally recognized Tribes ➡️ the @FCC granted spectrum licenses for the Ute Mountain Ute and Southern Ute Indian Tribes. This will help the Tribes connect to essential services during and after #COVID19 and help close the digital divide in CO. https://t.co/ZrYbxydEzN
5,"Exciting news ➡️ @SouthwestAir announced today it plans to start service at @COSAirport in 2021. Going forward, I will keep up my efforts to bolster the aviation workforce as we continue to respond to the #COVID19 pandemic. https://t.co/22QNVhbcgk"
6,To the brave men and women who are battling wildfires across Colorado – thank you. https://t.co/q15M1b2t8a
7,"For the second time this week, cynical political games have kept the American people from receiving the support they need to get through the #COVID19 pandemic. Read my statement and learn more about the relief package blocked today by Senate Democrats. ➡ https://t.co/3cuDSy8rPy https://t.co/m64R75NMgL"
8,"Partisan obstruction blocked #COVID19 relief for small businesses in Colorado today, showing that Senate Democrats are more comfortable with people in the unemployment insurance office instead of on their employer’s payroll. My full statement: https://t.co/DbGrWy99fF https://t.co/CAH949GEMC"
9,"In a mental health crisis, there should be no confusion about where to get help. The #988SuicideHotline will be an easy-to-remember number where people dealing with a mental health emergency can receive life-saving support. https://t.co/seLICBZ3jW"
