,Tweet
0,"Happy #AlaskaDay! Since 1867, when the territory of Alaska was formally transferred, Alaska has been vitally important to our country with its abundant resources, unrivaled strategic location, and our people, including Alaska Natives who have called this land home for millennia. https://t.co/GrVdwtNFV1"
1,"@USDA @SecretarySonny With these investments, thousands more Alaskans across the state will finally experience a utility so many of us take for granted, one that has shown itself to be absolutely indispensable in the age of COVID-19. 

[3/4]"
2,"The @USNavy today celebrates 245 years defending freedom on the high seas &amp; protecting America’s interests in every corner of the globe. Wishing all of the #USNavy’s Sailors, Submariners, Pilots &amp; Marines, and the families who support them, a Happy #NavyBirthday! Semper Fortis. https://t.co/wb3y4Rmzj4"
3,"Together, we can put an end to the epidemic of violence and offer all Alaskans a better and safer future. 

#EndDV #DVAM #DVAM2020 #NoMore"
4,"Alaska is home to two major air bases because we are the most strategic place in the world, as stated by the father of the @USAirForce, Gen. Billy Mitchell. I want to wish all of the brave men and women who fly &amp; maintain our unrivaled #AirForce a very Happy #AFBDay! ✈️

#USAF73 https://t.co/oaSeEB7G6R"
5,"Honored to join dedication of new Eisenhower Memorial, recognizing the service of a once in a generation leader who embodied the best of the American spirit, and who also played a crucial role, along w/ advocacy of Ted Stevens, in Alaska statehood. #IStillLikeIke @IStillLikeIke https://t.co/PLNJUY58nM"
6,"@SenateCommerce @SenBrianSchatz @SenAngusKing If signed into law, the Visit America Act will better position the travel industry for a strong rebound from the #COVID19 pandemic, with ambitious visitation goals, requirements for a whole-of-government strategy, and a high-level federal tourism official for the first time ever."
7,"I‘ve reintroduced S.1135, the “Protect Our Heroes Act,” to enhance federal penalties for criminals who ambush, lure or target officers. I urge my colleagues to join me and send a message that our first responders need to hear now more than ever: We have your back. #BackTheBlue"
8,"Like most Americans, I was sickened by the shooting of two innocent police officers, including a young mother, in their patrol vehicle. It’s a miracle they are alive today. Heinous, premeditated attacks like this against our law enforcement officers cannot be tolerated. https://t.co/YSQijdiVoi"
9,"It was great to spend this sacred day with Alaskans who know the true meaning of service and sacrifice, including their family members, who serve in their own way too. https://t.co/OlLLCMRBbJ"
10,"Thank you, Alaska, for memorializing the Americans we lost, not just on #September11, but in the difficult aftermath in which many brave military members were sent overseas to defend our nation. And thank you to our front-line heroes who continue to keep our country safe. 🇺🇸"
11,"All across our state and nation today, people will be gathering, where possible, to pay their respects to those who we lost on 9/11. We will be honoring our first responders, our veterans, the members of our military, and their families. #NeverForget"
12,"This was a missed opportunity for a bipartisan achievement, but I’ll keep working with my colleagues to reach compromise and an agreement that will drive our battle against the coronavirus and a strong economic recovery.
https://t.co/UpJF73KpOV"
13,"Those bipartisan provisions make up the targeted #COVID19 relief bill that I voted for today. Unfortunately, Senate Democrats filibustered this bill, holding out for the $3.5 trillion dollar so-called ""HEROES Act,"" at the direction of Chuck Schumer and Nancy Pelosi."
14,"Over the past 5 weeks, I heard Alaskans' priorities for a new #COVID19 relief bill: renewing the #PaycheckProtectionProgram, extending the deadline to use CARES Act funds, reopening schools safely &amp; supporting our front-line health care workers, among other important measures. https://t.co/BX6FcobG1e"
15,"Being in @MarForRes means regular trips to the barber. Thanks to the team at 💈Flattop Barbershop in Anchorage for the great haircut on Labor Day! Glad you’re doing well amid the challenges of COVID-19. I encourage all Alaskans to support our local small businesses, like Flattop! https://t.co/LGYyeKfx66"
16,"@SECNAV @USNavy @USCG I commend the Alaskans we met with along the way who did what they do best, showing off our state &amp; the unique support we offer to the military. @SECNAV won’t soon forget this impactful visit to Alaska, and I expect we will have a strong partner in the Pentagon moving forward. https://t.co/jJJ7Frc5RG"
17,"Today, we mark 100 years since the ratification of the #19thAmendment, a milestone achieved thanks to the wisdom and unflinching resolve of activists and suffragettes who pressed the nation’s conscience and bent the arc of history closer to justice and equality for all. https://t.co/c3na14hsj1"
18,I sat down for an interview with Peter Zampa for @Ch2KTUU to update Alaskans on the status of negotiations in Congress on a new “phase 4” #COVID19 economic relief package. Take a look. https://t.co/EmszqjO64h
19,"Behind every #PurpleHeart is a story of valor, patriotism &amp; sacrifice, a story that deserves to be honored. On #PurpleHeartDay, we recognize the men and women in uniform who were wounded or killed in defense of our nation, and remember that the freedoms we enjoy are not free. https://t.co/2MMJPPH4d4"
20,"Thank you @GenDaveGoldfein for your 37 years of distinguished service. I look forward to working with @GenCQBrownJr, the @USAirForce's 22nd Chief of Staff, an exemplary leader who, like General Goldfein, recognizes the pivotal role Alaska plays for the #AirForce and our defense. https://t.co/IT9rNXEYrm"
21,"@HHS_ASH Alaska leads the nation in per capita tests. This allocation will build on that success &amp; expand capacity further. I appreciate @HHS_ASH Admiral Giroir for being agile &amp; decisive in getting the resources we need, supporting the exemplary work of our health professionals. [4/4]"
22,"I called @HHS_ASH Admiral Brett Giroir, who is leading the nation’s testing effort, and the federal government is now sending an additional 4,000 Cepheid tests per week to Alaska through the end of September. [3/4]"
23,We know that tests are a vital tool that gives state and local health officials the insights they need to identify potential hotspots and mitigate the spread before the virus can reach larger numbers of Alaskans. [2/4]
24,"This weekend, I met with Alaskans across a spectrum of industries—including tourism &amp; fishing—whose livelihoods are at risk due to the #COVID19 pandemic. One concern I heard consistently from every group was about the potential for a shortage of tests in the coming months. [1/4]"
25,"☎️  Inviting all Alaskans to join @LisaMurkowski and me this afternoon from 4:00-5:00pm for another virtual town hall. We will be taking your questions on a range of important topics, particularly the fight against #COVID19. To register, click here: https://t.co/x0mHXNtilU https://t.co/HhuaW60d6u"
26,Here are my thoughts on where the Senate and House stand on a new #COVID19 federal relief package. https://t.co/jUS94Id4wj
27,Our hearts are breaking over the horrific news of the deaths of Rep. Knopp and others who were lost in today’s plane crash. Gary will be greatly missed. Julie &amp; I send our prayers and deepest sympathies to Helen and Gary’s family and to the families of those on the other plane. https://t.co/Tl1FQ8OPWE
28,You may remember the story of five young Alaskans who rescued four people from a crashed Alaska Division of Forestry plane in a lake near Aniak in late May. I had the honor of recognizing these young heroes on the Senate floor as part of my series #AlaskanoftheWeek. https://t.co/0ttcc7j7fY
29,"The pandemic has diverted time, resources, and focus from regular tasks, so I believe an application extension is warranted. Without an extension, the very goal of expanding high speed broadband will be defeated, and we can’t let that happen. [3/3]
#ConnectTribes"
30,"The #COVID19 pandemic has highlighted some of the great #broadband disparities in more rural parts of our the nation, most notably in Alaska. Internet connectivity 📶 can be a matter of life and death for remote communities that lack a doctor or clinic. [1/3]

#ConnectTribes"
31,"Inviting all Alaskans to join @LisaMurkowski and me for another virtual town hall tomorrow on a range of important topics, particularly the fight against #COVID19 and efforts to get our businesses and families through this challenging time. Register at: https://t.co/x0mHXNtilU https://t.co/MDoq4lrGmv"
32,@SecAFOfficial We had great meetings with local leaders who discussed the vital installations that support our national defense and what these communities have to offer our country as the Pentagon finally recognizes the strategic importance of the #Arctic. https://t.co/iQydaROu1T
33,"I applaud @SECAFOfficial, @USAirForce, and @LockheedMartin for continuing to deliver these amazing aircraft on time to the “most strategic place in the world.” Alaska looks forward to hosting 54 of @thef35 and the extremely professional airmen who fly and maintain them. https://t.co/cNoC4qSt1s"
