,Tweet
0,"Farm workers have worked throughout this pandemic to ensure people all over the country have food on their table, yet many still lack basic labor protections and sufficient wages to keep a roof over their head. That needs to change. https://t.co/O5wHSo5KqW"
1,"It’s unthinkable that Senate Republicans have left the American people hanging without passing additional COVID-19 relief, but instead jammed through Trump judges."
2,"Senate Republicans deliberately circumvented voters to jam through a Supreme Court confirmation during an ongoing election.

Now, the Affordable Care Act is closer to being struck down than ever before…in the middle of a pandemic."
3,I’m on my way to the Senate floor to vote no on Judge Amy Coney Barrett’s nomination to the Supreme Court. Health coverage for millions of people hinges on who fills this seat. It’s clear that this nominee has the potential to do great harm to the American people.
4,Now is not the time to ease up on the most simple steps you can take to protect yourself from COVID-19. We’re still in this pandemic. Wear a mask—it saves lives.
5,RT @City_of_Irvine: University &amp; Quail Hill Community Centers are now full. The following facilities are open for those who need to evacuat…
6,"All of this is in jeopardy with Trump's Supreme Court nominee:

Access to health care
Our voting rights
Workers’ rights
LGBTQ+ equality
The right to a safe and legal abortion
Policies to combat climate change

And so much more."
7,"The American people won’t forget that instead of passing adequate COVID-19 relief legislation to help the American people, Senate Republicans worked through the weekend to rush a vote tomorrow to confirm Trump’s Supreme Court nominee."
8,"I know it’s been a tough year without being able to safely see loved ones. Without hugging your parents, grandparents, and friends. But this virus is still with us and we can’t let up on doing everything we can to prevent it from spreading."
9,"While folks are trying to make ends meet and barely hanging on to their homes, Republicans are prioritizing confirming a Supreme Court nominee who could strike down the Affordable Care Act in the middle of a pandemic. It’s just unconscionable."
10,"Coronavirus cases are rising across the country, once again overwhelming hospitals and health care workers in certain areas. Wear a mask, wash your hands, and keep practicing social distancing."
11,"Mitch McConnell has the Senate working through the weekend right now—not to provide COVID-19 relief to people who need it, but to jam through a Supreme Court confirmation. This is so out of touch."
12,"More than 20 million Americans could lose their health coverage if the Supreme Court strikes down the ACA, and what does Trump think? “It’ll be so good if they end it.” https://t.co/6kBCX7h14E"
13,"People are rightfully scared that they will lose their health coverage if Republicans confirm Trump’s Supreme Court nominee. For Felicia, this is a matter of life and death. #WhatsAtStake https://t.co/XId2g6v4Ud"
14,"If Trump’s Supreme Court nominee is confirmed, millions of Americans could lose their health coverage. Listen to Myka’s story to understand #WhatsAtStake. https://t.co/Qj2IjEoniH"
15,"Justice Ruth Bader Ginsburg advocated for human rights and equality, stood up for the rights of women, and so much more.

Now, everything she fought for is in jeopardy.

Republicans are trying to roll back Americans’ rights by replacing her with someone who will undo her legacy."
16,"Today, I joined @SenWarren in urging the administration to stop supporting a lawsuit to strike down the Affordable Care Act. It's unconscionable, especially during a pandemic. And it has to stop."
17,"Say it with me: the Senate should be passing the House’s COVID-19 relief bill to help the American people, not rushing to confirm a Supreme Court justice so they can gut access to health care during a pandemic."
18,"Voting rights
Workers’ rights
Consumer rights
Reproductive rights
Access to health care
The fight against climate change
Our country’s timeless pursuit of ‘Equal Justice Under Law’

Every one of these things is at risk with this Supreme Court nominee."
19,"Because of COVID-19, more than 8 million Americans may have a new preexisting condition. If Republicans confirm Trump’s SCOTUS nominee, we know what could happen: the Court guts the Affordable Care Act and ends protections for preexisting conditions. #WeDissent"
20,"We cannot go back to when insurance companies could refuse to cover basic medical expenses like maternity care, mental health care, prescription drugs, and deny coverage for preexisting conditions like asthma and diabetes. This is what’s at stake with Trump’s SCOTUS nominee."
21,"More than 29 million Americans have already cast their ballot in this election. A majority want whomever wins to fill Justice Ruth Bader Ginsburg’s seat—and Republicans know that.

If Republicans jam through Trump’s nominee, they are knowingly defying the will of the people."
22,"While millions more Americans have fallen into poverty since May because of the pandemic, Senate Republicans have prioritized one thing: confirming judges. https://t.co/QkSfs6wSE0"
23,"Senate Republicans have made it clear that rushing a Supreme Court nomination is more important than adequately helping and supporting the American people who are suffering from a deadly pandemic and economic crisis.

Their priorities are not the American people’s priorities."
24,This week’s Supreme Court hearings lacked legitimacy in the eyes of the American people. More than 23 million have already voted. Republicans are deliberately defying the will of a majority of Americans who want whomever wins this election to fill this seat.
25,"RT @SenateDems: “Allowing President Trump to determine who fills the seat of Ruth Bader Ginsburg, a champion for women's rights &amp; a critica…"
26,"Whether Republicans confirm this Trump nominee to the Supreme Court is a matter of life and death for Felicia, who relies on the Affordable Care Act for more than $160,000 worth of medical expenses each year to survive. #WhatsAtStake https://t.co/4WgMB1bZfH"
27,"The American people won’t forget that in the middle of a pandemic, Republicans chose to confirm a judge instead of passing legislation to bring relief to those who desperately need it."
28,"RT @SenateDems: Voting Rights
Civil Rights
Workers’ Rights
Consumer Rights
Climate Change
Choice
Health Care
Equal Justice

“Let us not pre…"
29,"Tune in here for my final round of questions with Trump’s Supreme Court nominee. There is so much at stake with who fills this seat, including health care protections for more than 100 million Americans with preexisting conditions. https://t.co/qlW6wtVcTR"
30,"RT @SenateDems: “23 million Americans could lose their health insurance altogether.”

—@SenKamalaHarris lays out the potential consequences…"
31,Allowing Trump to determine who fills the seat of Ruth Bader Ginsburg—a champion for women’s rights and a critical vote in decisions that have sustained the right to choose—poses a threat to comprehensive reproductive health care in our country.
32,"People need help to make it through this pandemic.
Help to pay their rent.
Help to put food on the table.
Help to make ends meet.

And the vast majority don't want a rushed Supreme Court confirmation. Senate Republicans' priorities are simply not the American people’s priorities."
33,My Republican colleagues know that a majority of Americans want whomever wins this election to fill this Supreme Court seat. They are deliberately defying the will of the people in their attempt to strike down the Affordable Care Act.
34,"RT @SenateDems: .@SenKamalaHarris tells the story of Myka, a young Californian who can afford the treatment she needs because of the ACA’s…"
35,"If Republicans confirm this nominee, it could mean 23 million Americans lose their health insurance and the elimination of protections for 135 million people with preexisting conditions. https://t.co/8p98Itkb90"
36,"I’ll say it again: these hearings are an attempt to jam through a Supreme Court nominee who will take health care away from millions of people during a deadly pandemic that has already killed 215,000 Americans."
