,Tweet
0,"This also means creating national reporting standards so it is possible to make comparisons. 

Think how much easier it would be for your kids’ school to make decisions if they knew what health protocols work best and could compare their situation with others across the country."
1,"To start with, let's start tracking how many cases are linked to schools and what safeguards schools are putting in place to reopen. 
 
That means coordinating with state and local governments to help with the great work that many are already doing."
2,"When Congress passed our major COVID relief package, it included funding to expand telehealth services. That funding was depleted by July. 
 
What can we do about it and where can we go from here? I wrote an op-ed in @thehill about the path forward:
https://t.co/mU3Aut33Th"
3,"As the only Senator who worked at Planned Parenthood, I wanted to talk more about just what is at stake if the Supreme Court overturns or weakens Roe. 
 
Here’s the speech I just gave on the Senate floor: https://t.co/3hpPwPXDPX"
4,"To the public servants at our health agencies in Minnesota and across the country working around the clock to help return us to normal life: thank you. 

Your tireless efforts will allow us to move past this crisis and defeat this pandemic once and for all."
5,"RT @SenWarren: It’s too hard for parents to find COVID testing for young kids, especially in Black and Brown neighborhoods, so @SenTinaSmit…"
6,"Earlier today Trump called Dr. Fauci a “disaster” &amp; referred to him and other health experts as “idiots.”

Meanwhile, 38 states recorded COVID case increases in the last 2 weeks.

Listen to the people who know what they are talking about. And wear a mask. https://t.co/IUzCNsUp3g"
7,RT @mnhealth: News Release: State to continue statewide testing push into week of Oct. 19 https://t.co/NVoJq4S4n2
8,"You can check out the bills below. 

My bill to make testing free is already law and I introduced my other bill which covers everything else. Am currently fighting to get it passed. 

One down, one to go. 

https://t.co/d7PXVT15m1

https://t.co/0Tgr43W3X5"
9,"Test, treat, and when the time comes, vaccinate. All three are needed to end this pandemic. 
 
And I'm pushing to make all three free of charge to all Americans."
10,"If McConnell spent even 1/10th of the time he spends on dividing the country on drafting a bipartisan COVID relief package, we would have passed something months ago."
11,"#Tbt to one of my proudest moments in my time in Congress.

Working with the Liberian community, I fought for thousands of Liberians who’ve called the U.S. home for more than 30 years to be put on a pathway to citizenship. 

Last year, it finally happened."
12,"Not only should surprise medical bills be banned entirely, but no American should be shouldering the cost of COVID treatment. 

I wrote the bill to make COVID treatment free, and I will keep fighting to get it passed.
https://t.co/EN6AKuzK3j"
13,"McConnell is still saying relief is “unlikely,” after months of refusing to negotiate. Instead, he’s using the next few weeks to ram through a Supreme Court justice and put affordable health care at risk. 

Americans deserve better."
14,"My friend Catherine Cortez Masto with an important message (plus a cameo by me). 
 
Thanks to all the caregivers and those who are on the frontlines during this crisis. I will keep pushing to give you the resources you need here in the Senate. https://t.co/AoPTTlJ8VV"
15,RT @SenCortezMasto: We’re so thankful for nursing home frontline workers and home health workers and caregivers. One of the ways Congress c…
16,"But make no mistake, the President could have worked with Congress to get real relief for all Americans during the greatest crisis of our lifetimes. 

Instead, he showed us yet again who he really is."
