,Tweet
0,"We still have a lot of work ahead to get our economy back on track due to #COVID, but today’s news that the economy grew at its fastest pace ever last quarter signals we are heading in the right direction.
https://t.co/aWNIdbpA7x"
1,"Dr. Abhinav Singh is a well-respected physician in Greenwood, IN who has been waiting 18 years for a green card. Let’s pass my Healthcare Workforce Resilience Act to keep great healthcare workers like Dr. Singh here in the U.S. https://t.co/DlgneiYAD0"
2,Weather uncertainty and the #coronavirus pandemic bring challenges to soybean harvest season. Check out how Hoosier farmers like Joe Steinkamp and his family from Evansville navigate this unprecedented time in this #seesoyharvest video from @ASA_Soybeans. https://t.co/0ksv1o2VPd
3,"Today, Senate Republicans attempted once again to deliver critical assistance to the families, workers, schools, hospitals, and small businesses that are all struggling as a result of the COVID-19 pandemic."
4,"#ICYMI: My update on this week’s Senate vote to deliver needed targeted #coronavirus relief to the American people, and the Democrats attempts to stop it. https://t.co/fnljxqdGGB https://t.co/W6lMZQwmCr"
5,"Nancy Pelosi continues to block important #coronavirus relief in favor of partisanship. It is time to put politics aside and pass this vital recovery package for Hoosiers, and all Americans. https://t.co/XYCg79z3j0"
6,I’m voting for targeted #coronavirus relief this week for the 40 businesses in the South Bend area that have closed in the last six months. And the countless others across Indiana and the rest of the country. https://t.co/Pa4l4kMK8H
7,"We’ll try again this week to pass a targeted #coronavirus relief package for the American people. Unfortunately, Nancy Pelosi seems to prefer nothing over something during a time of American’s greatest need. https://t.co/d60ybXmlxm"
8,"Startups &amp; #smallbiz are the engines of job creation in the U.S. &amp; will be critical to our economic recovery as we emerge from this pandemic. Learn about my new bill to help employers focus on growing their business, creating jobs, &amp; boosting our economy: https://t.co/KEPI29KLno"
9,.@POTUS signed into law the bill I co-sponsored to establish 988 as the national suicide hotline. This three-digit hotline will play a critical role in saving the lives of Hoosiers who are facing mental health crises during this period of uncertainty. https://t.co/aykPsBYf6M
10,"Joined the 10th Grade Class at @PCCommodores to touch base with some of Indiana’s best and brightest and discuss issues critical to Hoosiers, like #coronavirus relief and Judge Amy Coney Barrett’s #SCOTUS confirmation."
11,"2021 Medicare Open Enrollment is officially open and will run through Dec 7.  Hoosiers with Medicare can review health and drug plans, and make changes to their healthcare coverage for next year based on their financial and medical needs. Learn more here: https://t.co/GPQdlUcYWL"
12,"Judge Amy Coney Barrett is a brilliant jurist who interprets the Constitution as written and carefully weighs the facts of a given case. If confirmed as the next #SCOTUS Associate Justice, I am confident she would uphold the rule of law. https://t.co/sStuqPAGjP"
13,"#ICYMI: I was honored to appear before the @senjudiciary committee to introduce Judge Amy Coney Barrett, a remarkable Hoosier who is ready to make her mark on our country. https://t.co/lQQgdQduYw"
14,"FACT CHECK:
 
Judge Barrett does not want to take away health care coverage. 
Judge Barrett does not want to legislate from the bench. 
AND Judge Barrett is not a ""judicial torpedo” aimed at pre-existing conditions.  
https://t.co/jUt2hCwgmh"
15,"With my help, @MyFranciscan in Indy was awarded $929,834 in federal funds from the @FCC to improve access to telehealth services during #coronavirus. To date, they’ve had more than 170,000 virtual visits &amp; this program continues to benefit their community. https://t.co/My48qtZrFp"
16,"Right now, America’s courts are over worked &amp; understaffed. With reports showing that 15% of pending cases at the federal level are more than three years old, we need to add federal judges to support this caseload - my #JUDGESact would do just that. @wfyi https://t.co/ZjKVpGmVtv"
17,"Where pandemic could have exacerbated conflict zones around the world, the tireless work of these humanitarians have helped meet the needs for the world's most vulnerable and saved countless lives."
18,"His parents, Greg and Cosette; the entire Spears family; and those grieving Marines who travelled from across the world to memorialize their fallen brother in arms. Their losses, and their sacrifices, must never be forgotten. Semper Fidelis. https://t.co/ol6dcQ6onC"
