,Tweet
0,"Congratulations to Tony, @RealMikeWilbon, and the whole @PTI team as they begin their 20th year. Looking forward to many great episodes in the future! https://t.co/HBSbzgd02S"
1,Today @JohnBoozman and I sent a letter to the Defense Health Agency expressing concern over current policy that requires Tricare beneficiaries to fill certain prescriptions through Express Scripts with no option to use local pharmacies. MORE: https://t.co/TjBdwKro9Y
2,"Confirming Judge Barrett is vital for protecting the 2nd amendment, a right that's central to who we are as a free people. https://t.co/UzBT8McC4g"
3,"The 340B program allows AR hospitals to stretch resources to provide care for those in underserved areas.

That’s why I support @SenJohnThune's bill that ensures rural hospitals can continue offering essential services &amp; treatments to our most vulnerable during the pandemic."
4,"Arkansas hospitals shouldn’t lose access to the 340B Drug Pricing Program because their admission rates are down during a pandemic. 

Our bill would ensure that rural hospitals can keep their program eligibility even if the virus has kept patients away.

https://t.co/3okoREBf0o"
5,"Enjoyed my tour of a Walmart Health Center in Springdale today, where healthcare providers are focusing on a comprehensive, holistic approach to wellness for Arkansans. https://t.co/dcZ5hJRpZ3"
6,"Two policemen from Pine Bluff are in the hospital after being shot earlier today. 

As details continue to emerge, one thing is certain: these officers need our prayers &amp; support. My thoughts are with their families &amp; the Pine Bluff Police Department.

https://t.co/A3qMOhFdSQ"
7,"It’s expensive for a pharmaceutical company to bring a new drug to market, and our system needs to encourage research and development. This pandemic is a reminder of the need for innovation."
8,Earlier today I questioned @USTreasury Secretary Mnuchin and @federalreserve Chairman Powell on how to ensure our airline industry survives this pandemic. https://t.co/v69YvJWxm0
9,"Americans want to see judges on the Supreme Court who understand the difference between making the law and applying the law. 

https://t.co/7gnFpkV1f0"
10,"Law enforcement officers face enough job hazards already, so attacking these men and women simply for doing their jobs is inexcusable. Our bill will help protect police by increasingly penalties for the criminals who target them. https://t.co/XivSfz96Cx"
11,"Thanks to the work of @SBAList and the millions of Americans who support the pro-life movement, we’re making life-saving progress in Washington.

I’m honored to receive an “A” rating from @SBAList for this year—let’s keep up the fight!

https://t.co/w9YL0VjMG6"
