,Tweet
0,"This pandemic has been especially challenging for many Rhode Islanders recovering from addiction. Please know you are not alone in dealing with this. For anyone in need of support, resources are available 24/7 through @BHlinkRI: https://t.co/hpOfGavCbH"
1,"The price of incompetence via @WSJ: “While China, Japan, South Korea, Singapore and Hong Kong, combined, have been recording fewer than 1000 cases a day since September, the US alone was reporting more than 56,000 cases a day on average as of Monday…”"
2,"Notable. Also Court should require full disclosure of who funds amici &amp; law groups; provide full disclosure of travel, gift &amp; hospitality emoluments; adopt code of ethics; &amp; stop being the organ of big secret influence forces. #HighestCourtLowestStandards
https://t.co/9gdjml8QV5"
3,Had a debate on the Senate floor with a Republican who complained about the dark money flooding his state’s politics. It is a little bit rich to hear a litany of woes about dark money from the party that is responsible for dark money happening. https://t.co/WSZcLVvaaM
4,"And here I am asking Gorsuch about the dark money, right-wing apparatus at work selecting justices, funding their campaigns, and ultimately bringing cases before them in court. This problem has been going on for years, it's time to wake up. https://t.co/TXbiiLazlC"
5,"What really matters is who — and whose money — lurks behind the shaping of the Supreme Court, and #WhatsAtStake for all of us. This most recent nomination wasn't my first dark money rodeo. https://t.co/ZP2Pq0LO7P"
6,RT @JaneMayerNYer: Yet another new secret money group allied with the Federalist Society! Who is it who is really trying to pack the courts…
7,"Rhode Islanders, please be extra careful. We just hit our highest daily covid-positive number since April 24, nearly six months back. Be smart. Stay safe. Let’s look out for each other. https://t.co/uM9T5Rhr7c"
8,Laura S. is a Rhode Islander who relies on the ACA. This sham nomination process is intended to put that law in peril #WhatsAtStake https://t.co/Q4gJSp9Qpy
9,And Republican AGs brought the anti-ACA lawsuit they’re rushing Barrett into. And the same person who sent the money picked the nominee. https://t.co/1JLIzu0oPb
10,21.1 million Americans will lose their health coverage if the Supreme Court strikes down the ACA. #WhatsAtStake
11,".@exxonmobil just can’t do honorable; lying is as much their product as oil. Sickening. Thanks @GeoffreySupran @NaomiOreskes for your work.
https://t.co/DWsBog3EY0"
