,Tweet
0,Today we honor the first responders who serve &amp; protect our communities. Happy #NationalFirstRespondersDay &amp; thank you for your service! https://t.co/Garzhy2Ixv
1,"Senate R’s targeted COVID-19 relief legislation would have:
 
✅ Protected Small Businesses
✅ Funded Schools &amp; Childcare Facilities
✅ Stabilized Unemployment Insurance
 
Idahoans need this relief. I will keep working to get small businesses &amp; families the assistance they need."
2,RT @BLMFire: Meet the Boise @BLMNational Smokejumpers! They are experienced firefighters &amp; go-to #FirefightingResources who fly to fires vi…
3,"Idaho’s timber industry contributes over $2B to our state’s economy &amp; provides 31,000+ jobs.
 
This National #ForestProductsWeek, thank you to the foresters, loggers, truck drivers, mill workers &amp; others who manage, harvest &amp; process this renewable resource that we use every day. https://t.co/NAKSCQqJT1"
4,We need a strategy to protect Americans from future pandemics. That’s why I’m working w/ @SenatorCardin and my Foreign Relations colleagues on bipartisan legislation to prevent a pandemic like this one from ever happening again. https://t.co/y3AujHSl8G
5,"Happy #WorldTeachersDay to the teachers who work tirelessly to educate Idaho’s students. 
 
Facing challenges never seen before, these educators embody the resilience of the American people – God bless you. https://t.co/pRZGGZZBHJ"
6,"October is #BreastCancerAwarenessMonth. 

This month &amp; all year, we remember those lost to this disease, celebrate the survivors &amp; pray for those who are fighting. https://t.co/3C8yOYr1vf"
7,"Vicki and my prayers are with the President and First Lady, and all Americans and Idahoans who have been impacted by COVID-19. Hoping they make a swift and full recovery."
8,"In just a few short months, #China has: 

✅ Voided Hong Kong’s autonomy 
✅ Expanded internment of Uyghur Muslims
✅ Denied the #CCP’s role in the spread of COVID-19 

Read my entire op-ed from @CdAPressNews below:
https://t.co/dcvyNSdDH0"
9,"Congratulations to the men &amp; women who were honored at the inaugural @cdachamber Public Safety Awards!  
 
Thank you to Idaho’s law enforcement officers &amp; first responders for helping keep our communities safe.  #idpol

https://t.co/BNsiVQGTCz"
10,"RT @usdafsa: Join us Thursday, September 24 at 3 p.m. EDT, for a webinar to learn more about @USDA’s Coronavirus Food Assistance Program 2.…"
11,"The Versatile Test Reactor would:

✅ Establish a testing facility in the US
✅ Create jobs in Idaho at the @INL
✅ Expand research and development of innovative #nuclear #energy
 
This is a crucial step in moving forward with the project."
12,"Thank you @realDonaldTrump &amp; @SecretarySonny for extending the Coronavirus Food Assistance Program 2 to Idaho commodities like wheat &amp; mink while improving support for our potatoes, dairy &amp; beef. CFAP 2 opens Monday--to apply visit https://t.co/TQEQv1PHft."
13,"RT @SecWilkie: If you are enrolled in @DeptVetAffairs health care, you can receive the seasonal flu vaccination at one of more than 60,000…"
14,Vicki and I are praying for Idahoans and our western neighbors who have been evacuated due to wildfires. Stay vigilant and stay safe. https://t.co/C3SJSddTQY
15,"19 years ago, I stood in my living room in Boise &amp; watched in shock as the Twin Towers collapsed. Today we remember the thousands who lost their lives in the #September11 terror attacks &amp; the first responders who gave their health &amp; safety to rescue the survivors. #NeverForget https://t.co/POmb0FfhlM"
