,Tweet
0,.@commercegov launched the $25M SPRINT Challenge to address health and safety risks caused by #coronavirus. This innovative competition will encourage entrepreneurship as we pursue economic growth. Read more here: https://t.co/5qFxrhQlQV
1,"RT @SenateGOP: Senate Democrats just BLOCKED a clean covid relief bill. 

(again)

RT so America knows the truth. https://t.co/YnEVySTVOh"
2,Extending the Paycheck Protection Program would have helped millions of Americans remain on the payrolls and supported our economy as we work to defeat the #coronavirus. I am disappointed Senate Democrats continue to hold this vital aid hostage.
3,Today the @USACEHQ released a new draft report that outlines the need to #FinishThePumps in the Yazoo Backwater Area. It is a positive step forward for the residents of the South Mississippi Delta who have long been pleading for relief. https://t.co/VsQgProjj7
4,RT @SenateCommerce: Thank you @AjitPaiFCC for your efforts to clarify #Section230. We continue to see a rise in cases where social media co…
5,"Twenty years ago, terrorists attacked the USS Cole in port, killing 17 sailors and injuring 37 others. Today the @USNavy will pause to remember those who were tragically lost, pay tribute to the heroic actions of the crew, and reflect on their proud legacy."
6,"Judge Amy Coney Barrett's Supreme Court confirmation hearing has begun.

She is an outstanding pick who has the right character, temperament, and philosophy to serve on our nation’s highest court.

https://t.co/0yu98zegN9"
7,It is a shame that bureaucrats have gotten in the way of many American families who are seeking to adopt. I am committed to ensuring the government respects our great tradition of adoption and makes it easier to welcome children in need. #WickerReport https://t.co/CpR5liji0X
8,"I lead a group of 34 Senators in support of @chbdc’s claim against D.C. @MayorBowser’s selective enforcement of #coronavirus restrictions. This weekend, a judge ruled outdoor services over 100 people may resume. https://t.co/w4Nx32n8LC"
9,"RT @FRCdc: Thank you for leading this effort, @SenatorWicker. 

FRC supports this amicus brief and is grateful to you and your 33 Senate co…"
10,"""34 Senators File Amicus Brief Supporting Capitol Hill Baptist Church In Suit Against D.C. @MayorBowser"" - via @realDailyWire @JonBrownDC @chbcdc  https://t.co/Gz2VP4AHfQ"
11,"D.C. @MayorBowser cannot endorse mass protests, but block worship services in our nation’s capital.

Her policies rest on an unconstitutional premise that the right to protest is protected and a church’s desire to worship God is not. 

@chbcdc 
https://t.co/GPufeU7UDR"
12,RT @JohnBoozman: Selective enforcement of COVID-19 restrictions against houses of worship violates a core tenet of free speech. I joined my…
13,Capitol Hill Baptist Church is fighting for fair treatment in our nation's capital. I filed a brief on behalf of 34 U.S. Senators arguing @MayorBowser's selective enforcement of D.C.'s #coronavirus restrictions violates @chbcdc's 1st Amendment rights. https://t.co/slFIh64Qnr
14,"Judge Barrett is an outstanding pick who has the right character, temperament, and philosophy to serve on our nation’s highest court. She understands that the role of a judge is to set aside personal views and be bound by our Constitution. #WickerReport https://t.co/a1KVeQVX3x"
15,"Restaurants have been among the hardest-hit businesses during the pandemic. The #RESTAURANTSAct would help them survive while also supporting employees, farmers, fishermen, and distributors. #WickerReport https://t.co/6mwMVjnf5n"
16,"The coronavirus pandemic has left local governments short on revenue. I introduced the American Infrastructure Bonds Act and the LOCAL Infrastructure Act to make it less expensive to invest in hospitals, roads, schools, and public projects. #WickerReport
https://t.co/6mwMVjEQtX"
17,"When you have a Republican Senate and a Republican President, you are going to get a conservative judge. Moving forward with Judge Amy Coney Barrett’s nomination will absolutely be confirming the wishes of the people who put us in office. #SCOTUS @realDonaldTrump @SenateGOP https://t.co/os5SUeJy2S"
18,"Our nation’s veterans deserve our best care and support, including for their mental health and well-being. On National Veterans Suicide Prevention Day, we will recommit to our goal of reducing suicides among our service members. https://t.co/yLTsleWzLI"
19,Thank you to all the @AmeriCorps members &amp; @AmeriCorpsSr volunteers who bring out the #BestofAmerica. @ChrisCoons and I introduced the #CORPSAct to expand national service programs as our nation responds to and recovers from COVID-19.
20,"Congress acted swiftly this past spring to send #coronavirus relief to families and workers in need, but Americans urgently need a fresh round of support. I am pushing several proposals that I hope Congress will enact soon. #WickerReport https://t.co/6mwMVjEQtX"
21,China’s government has used the distraction of the global #coronavirus pandemic to repress Christians too. Pastors have been jailed. Hymns replaced by the national anthem. Images of Mary supplanted by portraits of President Xi Jinping. Where will it end? https://t.co/Jwmy7mb6Q3
22,"Together, we introduced the #CORPSAct to expand national service opportunities over a three-year period.  This would provide communities with the resources they need to respond to and recover from the #coronavirus pandemic. https://t.co/rUBYemUmrc"
23,"It was good to speak with the @msbankers yesterday. They have been the face of the Paycheck Protection Program in Mississippi, which has helped keep many of our state's workers employed through the #coronavirus pandemic. https://t.co/L9EIxwJDeu"
24,President @realDonaldTrump’s Operation Warp Speed has greatly accelerated the development of a #coronavirus vaccine. Today a fourth drugmaker announced it is entering late stage clinical trials. It is a big step forward for our nation! https://t.co/WcLov00iJk
25,Good news from Germany. Russian opposition leader Alexei @navalny has left the hospital after surviving an attempt on his life. His bravery and commitment to reform is commendable.  https://t.co/xo93tfNErU
26,Happy National #SmallBusinessWeek! Mississippi is home to many small businesses. I will continue fighting to protect these pillars of our communities as they adapt and recover in response to the COVID-19 crisis. https://t.co/R5zXjRwRWF
27,"Amb. @robertcobrien has been a tireless advocate for @realDonaldTrump and his call for #355ships. His work will help the @USNavy keep pace with our rivals, who continue to invest significantly in their naval forces. https://t.co/Px9xVMyBnA"
28,"The Mississippi Department of Health received $200K to support public health programs to fight Alzheimer’s. This funding is being made available through the BOLD Initiative at @CDCgov, which I was glad to support. #ENDALZ https://t.co/Xpu58Btm37"
29,"Today is #WorldAlzheimersDay. I believe that curing Alzheimer’s is our charge for the 21st century. We owe it to the patients, families, and caregivers who are facing this devastating disease. #ENDALZ"
30,"A memorial to President #Eisenhower is opening in Washington, D.C. Known as the man who won WWII in Europe and the father of the Interstate Highway System, his policies transformed American life. As long as we continue to travel, innovate, and explore - his legacy will endure."
31,"Recent assaults like this week’s shooting in Los Angeles have shown the need for stronger federal protections for those who defend our communities. 

I am glad to join this effort to add strong federal penalties for criminals who would intentionally attempt to harm an officer. https://t.co/ZXZDAE9ydm"
32,"It is an honor to be recognized by the @SBAList for my efforts to protect the unborn. I will continue to hold the line against those who would callously expand the scourge of abortion and harm the most innocent among us.
https://t.co/tmdjbroWan"
33,RT @FRCdc: .@SenatorWicker on Democrats' plans to kill the #filibuster so they can pass a far-Left agenda. https://t.co/gr7R6uZk22
34,"RT @CongPalazzo: ""A stretch"" = Mississippi

That's a new one. Just thought we might want to clarify.

For anyone who lives in the ""stretch""…"
35,"Wonderful news for @UMMCTelehealth - @HHSGov is awarding a $3M grant to @UMMCnews. This funding will help the program to advance the practice of telemedicine, which has become even more essential during the #coronavirus pandemic. https://t.co/ncf84vXm5B"
36,"RT @lisamurkowski: The impact of #COVID19 on the restaurant industry has been far-reaching, causing many to unfortunately close for good. T…"
37,Workforce development is a key part of improving outcomes as we recover from this pandemic. It is good to see Mississippi’s federal #CARESAct funds are helping many to learn new skills and prepare for rewarding careers in our state. https://t.co/1wjm6kLWfc
38,I am calling on @SenateForeign to hold an oversight hearing of the @StateDept’s role in intercountry adoption. Bureaucrats’ deliberate obstruction has been devastating to couples who want to give international children a family here in our great country. https://t.co/5Fe7trIP5r
39,"Today, 19 years after 9/11/01, we remember the thousands of American lives lost and honor the heroes who stepped forward on that day. May we #NeverForget their sacrifice or lose sight of the outpouring of humanity that has helped our nation heal and rebuild. #NeverForget911 https://t.co/617l0nls8P"
40,"I am disappointed that Senate Democrats once again blocked funding for American small businesses, schools, and health-care systems during this time of need. We do not agree on everything, but the proposals in today’s bill would have helped millions of Americans."
41,"I joined my friend @SenHydeSmith to introduce 2 of @realDonaldTrump's nominees to serve on the U.S. District Court in South Mississippi. 

Kristi Johnson &amp; Taylor McNeel are outstanding young Mississippi attorneys who would serve the court admirably.

https://t.co/U92sGdccFa"
42,AmeriCorps members in Mississippi have provided tutoring services and other educational support during the pandemic.  The #CORPSAct would expand this by increasing the number of national service positions over a three-year period to help communities recover from COVID-19. https://t.co/foCPRkWRIs
43,Bill Allen is an American hero who distinguished himself in service during World War II. I was happy to help his family get him the recognition he deserves. https://t.co/oMxcktDIO5
44,"This week unemployment fell below 10% for the first time since this pandemic began. 1.4 million new jobs were added in August alone. It’s a welcome improvement over recent weeks, but there is much more left to do. https://t.co/TTVV2VjBS1"
45,"Today I joined a letter with @SenHydeSmith and @SenTedCruz asking the @US_FDA to call this drug what it is – dangerous, and an imminent hazard to the public health. It should be removed from the U.S. market immediately. https://t.co/mh88KqzY67"
46,"Today @SenHydeSmith, @CongPalazzo, and I announced an award of $7.9 million from the @FTA_DOT to the Coast Transit Authority. This support will keep this essential service operating for those who need it. https://t.co/KCmYdhIXS8"
47,Keeping teachers healthy is a top priority. Mississippi is taking steps to ensure our educators have access to #coronavirus testing as schools reopen this fall. #WickerReport https://t.co/CcnzzRDqlI
