,Tweet
0,"GREAT NEWS! 

Under @realDonaldTrump &amp; GOP leadership, we’re rebuilding our economy and restoring jobs for Americans hit hard by the pandemic. 

More work must be done, but the LAST thing we should do is raise taxes as the radical Left wants.

https://t.co/IeTvgfTMOi"
1,Thank you to Montana’s first responders who put their lives on the line every day to protect our Montana communities and families. I will always fight on your behalf in the Senate. #NationalFirstRespondersDay https://t.co/6P1MluiEP6
2,"RT @missoulian: Opinion: Justice Barrett is an inspiration to professional women, working moms and school-aged girls across Montana who can…"
3,"Once again, Schumer/Dems blocked COVID-19 relief for Montanans. 

Today’s $500 billion relief package included $$ for MT workers, families &amp; small biz, vaccines, therapeutic drugs, testing, farmers &amp; ranchers, schools, Tribes, and USPS.

Enough is enough. We must pass relief NOW."
4,"In Montana, the law applies to everyone, no matter who you are. Twitter and Facebook suppressing @realDonaldTrump’s campaign accounts and news should be held under the same scrutiny as any other potential election interference. 

@senjudiciary must investigate these allegations."
5,"Thank you @realDonaldTrump for signing my bipartisan bill into law that will provide critical mental health services and resources to Montana veterans who have served our country.

I’ll always fight to support our Montana heroes."
6,"Great morning w/ @USDA Under Sec. Ibach, @MTStockgrowers, @MTFarmBureau &amp; @uscattlemen announcing new testing guidelines for brucellosis. 

This disease is a threat to our MT cattle producers and expanding testing is critical to helping protect MT ag. https://t.co/eMzllJdGFQ"
7,Visited with Northern Cheyenne Tribal leaders today and talked about several issues impacting the community including COVID-19. This virus is devastating our Tribal communities. We must do all we can to protect them. https://t.co/tiGFRSuaoS
8,Met with Crow Tribal Chairman AJ Not Afraid today to discuss COVID-19 on the reservation and to drop off much needed supplies for the community to help stay healthy &amp; combat the pandemic. https://t.co/qjsthO9jBK
9,MT veterans dedicated their lives defending our freedom. We must do all we can to ensure our retired Montana heroes have the healthcare they earned. https://t.co/O3mufQjm8N
10,Cindy and I are wishing @realDonaldTrump and @FLOTUS a speedy recovery - Montanans are with you as you beat this virus!!
11,An honor to join @SecWilkie at the David J. Thatcher VA Clinic this afternoon in Missoula to thank staff for their hard work helping our Montana veterans during this pandemic. https://t.co/hVoQp8km1L
12,"Our public lands are about who we are as Montanans. It’s a legacy that I’ve been proud to pass on to my kids, and one they’ll pass on to theirs. 

Today, on National Public Lands Day, we celebrate the public lands that I’ve fought so hard to protect today, and every day. https://t.co/ROTLBmf1CT"
13,"Justice Ginsburg lived an incredible life, full of historic accomplishments. She was a courageous fighter in both the courtroom and in her longtime health battles. My deepest condolences to the family, friends and Americans mourning her passing."
14,"Shana Tovah to everyone celebrating #RoshHashanah! Best wishes for a healthy, sweet &amp; happy new year."
15,"Received a very important briefing today from fire officials &amp; the @forestservice on the active wildfires burning across MT. 

Thank you to the brave men &amp; women who put their lives on the line to fight these fires and protect our communities. https://t.co/xRP4U6SwxE"
16,"Great to see Kleen Kart Technologies new mobile disinfecting unit in action today at Hellgate Middle School. This will 
help keep MT students and teachers safe from COVID-19. https://t.co/RuoNvzuZG4"
17,Proud to stand with Montana law enforcement officers who selflessly put themselves in harms way each day. I will always #DefendNotDefund https://t.co/XVM6thvaQO
18,"MT is only one of four states in the country NOT reporting cases / deaths of COVID-19 in long term care facilities. That is unacceptable. 

@GovernorBullock - we must protect our MT seniors, we need transparency NOW. https://t.co/oIhjJYfNsB"
19,"As a dad of 4, I can't imagine missing out on watching my kids play sports. I’ve heard from parents across MT and they want leadership on this issue NOW. It's time for Gov. Bullock to step up and work with parents, coaches, schools &amp; health officials on a plan for this season."
20,"Throughout my travels across MT, one event I enjoy year after year is Crow Fair, I too have the #CrowFairBlues but I want to wish everyone health and happiness on this Apsáalooke (Crow) New Year. Looking forward to joining Chairman Not Afraid next year! https://t.co/tn2oXoeyQx"
21,"Thank you for your support, @realDonaldTrump! I will ALWAYS defend the Second Amendment - unlike my liberal opponent who has an F from the NRA! https://t.co/EU8CJiqegb"
22,Met with some of Montana’s local leaders this morning at the new construction site of Dahl Memorial Healthcare in Ekalaka to talk about the importance of this facility for rural health. https://t.co/wdSmIWPvGs
23,"My bipartisan forest management bill will help support good paying timber jobs, protect Montana communities from deadly wildfires and promote public safety and health in a time when we need it most. 

https://t.co/4ERcNoBYCO"
24,"Glad to see a bipartisan bill I cosponsored pass the Senate tonight that will help Montana veterans receive critical mental health services. We must do all we can to support our veterans, especially during these unprecedented times."
25,It protects public health &amp; safety - which is even more important during the COVID-19 pandemic. https://t.co/KRR812BrU4
26,"Glad to have intro’d a bipartisan wildfire protection bill with @SenFeinstein. 

We must protect our communities from deadly wildfires, support timber jobs &amp; improve forest health - especially during COVID-19. 

https://t.co/JPor6vaV7c"
27,Montanans who've lost their job due to COVID-19 should be able to keep their health coverage – that’s what I’m fighting for. https://t.co/w6byYPUa0r
28,These shipments are critical to supporting Montanans hospitalized with COVID-19. https://t.co/BkPYcH4xMc
29,"Montanans who lost their job due to COVID-19 should be able to afford &amp; keep their employer-based health insurance. 

https://t.co/l0FeQhhQy5"
30,"Secured critical relief for small businesses, child care, and COVID vaccines/treatments in the next round of aid.  I look forward to getting this done for Montanans.
https://t.co/oRzGX9fHXc"
31,"To the brave men and women who serve Montana in law enforcement, we're so grateful for the work you do. Thank you.  We have your backs. 🇺🇸 https://t.co/sKPR0zs9xA"
32,Good conversation earlier this week with the FDA and Montana healthcare leaders on the progress we're making with a COVID-19 vaccine. https://t.co/POg6YPmaUJ
33,A COVID-19 vaccine is how we get back to normal and stop the pandemic.  That’s why I’ve been committed to getting this done. https://t.co/RpnJddS4hp
34,"BREAKING: My bipartisan Great American Outdoors Act just passed the House and is on its way to @realDonaldTrump, who has given me his commitment he’ll sign it into law. 

This is a huge win for Montana &amp; for conservation.  I couldn’t be prouder to get it done. https://t.co/sR8sQvf4F1"
35,.@realDonaldTrump is right to call for payroll tax relief. I’ve been pushing for this since the beginning of the COVID-19 pandemic bc it will help put money in the pockets of Montana families &amp; serve as a back to work bonus.
36,"Great discussion with Montana farmers and ranchers, ag businesses &amp; @USDA @BillAtUSDA in Great Falls today on COVID-19 resources, cattle market manipulation and other issues facing Montana ag. https://t.co/zF6UT7xOcU"
37,"Great to join the Flathead County Business Recovery Team today to discuss ways to continue to protect the public health of Montanans, help keep MT small businesses open and workers employed as we navigate through COVID-19. https://t.co/A2T4pXOSRp"
38,Honored to be a part of Friday’s groundbreaking in Missoula.  Proud to have helped get this done and to provide better healthcare for our Montana veterans. https://t.co/f8Q0eQAzsI
39,"I'll continue fighting for folks on the Hi-Line who depend on St. Mary's for ag operations and for water for their communities - we must get this fixed.
https://t.co/JVXD02AqLL"
40,"Cindy and I are praying for the families who have tragically lost loved ones to COVID-19 due to the outbreak at Canyon Creek Memory Care as well as those who have tested positive for the virus.

https://t.co/OIT9nZ7IO4"
41,"As cases continue to rise across Montana, I’m committed to protecting our elderly.  This bill will give our nursing homes the tools they need to keep folks safe. https://t.co/vKzdMAr4wM"
42,I’m committed to helping MT’s small businesses - the hardworking men and women who drive our economy here in Montana. https://t.co/9PUZrvTGDb
43,"I will continue working to get MT seniors the care and support they need during the ongoing COVID-19 pandemic! 

https://t.co/ZxyowXnnjX"
44,Spoke with Billings healthcare leaders &amp; local elected officials this morning.  Thankful for their leadership during this pandemic. https://t.co/VLQ3BxBUnG
45,Headed into a big holiday weekend!  #MaskUpMT https://t.co/vjFImaKebL
46,Outrageous. We MUST hold China &amp; the @WHO accountable for their cover-up of COVID-19. https://t.co/1wNnQ3CP6s
47,Just introduced an amendment to the #NDAA to double the fines for those who destroy or vandalize any @DeptVetAffairs or @DeptofDefense property - including memorials &amp; statues. It’s time to stop the destruction &amp; protect symbols of our freedom. 🇺🇸
48,Great chatting with the Montana moms from the Flathead who brought this religious freedom case to the highest court in the land. Congratulations on this victory! #Montanaproud https://t.co/I6FdZTTSep
49,"Black Timber is a veteran-owned, Made in Montana, small business in the Gallatin Valley – exactly who will benefit from my bipartisan RELIEF for Main Street Act. https://t.co/GblcNyFLRU"
50,And thank you to Montana bankers for working overtime to help our small businesses stay open and workers employed during the COVID-19 pandemic.
51,"It's clear that China was withholding vital information on the Coronavirus from the world, and the World Health Organization was covering for them. China and the WHO must be held accountable for their actions.

https://t.co/G1hgwtMqbL"
52,Thank you @realDonaldTrump for your swift action! Our brave guardsmen and women need the assurance that their benefits are protected as they serve our communities during the COVID-19 outbreak. https://t.co/DGsWw1A79k
53,"Our small businesses in Montana have been hit hard during this pandemic.  That’s why I’m working on a bipartisan bill to support our small businesses with 20-employees or less.
https://t.co/I7vTW2sQmr"
54,"Today, @USDA announced that farmers and ranchers can now submit applications to the Coronavirus Food Assistance Program. 

This is great news for Montana’s farmers and ranchers who have seen some difficult losses during the outbreak. 

https://t.co/KkhgPdUTbd"
55,Fortunate to spend the day with veterans and the Bozeman community celebrating the memory of our men and women in uniform who made the ultimate sacrifice defending our nation. https://t.co/HReDAzxLDd
56,"It was an honor to speak at the Memorial Day Ceremony in Bozeman today. We must never forget those who have given the ultimate sacrifice defending our freedom. 

We are the land of the free, because of the brave. https://t.co/CzAXS2SRee"
57,Proud to be fighting for Montana’s small businesses and workers to ensure they have the resources they need to overcome the financial burden of COVID-19. https://t.co/0ebHXeCMlF
58,"As we head into the Memorial Day Weekend, let us not forget those who have made the ultimate sacrifice for our freedom and remember their brave service to our nation."
59,"Today, Cindy &amp; I sponsored 10 MT veterans to cover their dues for membership with the MT @AmericanLegion.   Many of our vets are facing financial hardship due to COVID-19. For more information on how you can help veterans in your community reach out to your local American Legion."
60,"With public health and emergency services supported by local governments &amp; communities, it’s important that they have the resources needed to continue to combat COVID-19. 

https://t.co/W9qyJEyV2s"
61,"Grateful to @realDonaldTrump for listening to my concerns &amp; for rolling back burdensome, heavy-handed regulations so our economy can bounce back after this pandemic."
62,"Last thing Montana workers and small businesses need during this pandemic is more red tape and government regulations.

https://t.co/lJNuCFOYdc"
63,"This bipartisan bill takes the decision-making powers out of D.C. and puts it back in the hands of our local communities who know their own needs best. It will help rebuild our local economies and provide relief for our small businesses, including rural and Ag businesses. https://t.co/TzEnQYXPC2"
64,"Yesterday, Drop 5 of the St. Mary Canal on the Milk River collapsed. I’ve been working on a bill to complete this water project and it's critical we get this done ASAP for the farmers and ranchers who depend on this water every day."
65,Glad to have secured this PPE for Montana from Taiwan. I will continue working to ensure the needs of our healthcare heroes and first responders are met during this crisis. https://t.co/psubJeYSm9
66,"After my request, Taiwan is giving 30,000 masks to Montana for our health care workers and first responders on the front lines fighting this pandemic. I’m glad to have secured this shipment for Montana."
67,Honored to work alongside @realDonaldTrump to get our nation’s leading scientists the resources needed to accelerate the development and manufacturing of a drug to treat &amp; prevent COVID-19. https://t.co/I8SiXaECyw
68,"This #NationalPoliceWeek we honor and recognize the brave men and women of law enforcement who put their lives on the line to protect our communities and keep us safe. 

We also remember those who made the ultimate sacrifice, like Gallatin County Deputy Sheriff Allmendinger. https://t.co/oGqtC3Sost"
69,Glad this critical PPE is coming to nursing homes in Montana. We must protect our most vulnerable residents during the ongoing coronavirus pandemic. https://t.co/66EwPvYjaK
70,"It's #NationalPoliceWeek, where we honor the brave men &amp; women of law enforcement who put their lives on the line daily for our safety, as well as those who we tragically lose in the line of duty - most recently Gallatin Deputy Sheriff Allmendinger. 🇺🇸#BackTheBlue"
71,"This will get MT seniors and the disabled the resources they need to stay safe and healthy during this pandemic.  Glad to have gotten this done on their behalf.   
https://t.co/HPXDLM2O7J"
72,"Thank you to our nurses who are on the front lines of this pandemic.  Today, and every day, you save the lives of so many - thank you for your service and courage.  #NationalNursesDay #HealthcareHeroes"
73,"Today is #TeacherAppreciationDay - a day we take to celebrate the hardworking men and women who shape our next generation of Montanans and Americans. 

Thank you for everything you do, teachers!"
74,"We must end our dependence on China for drug manufacturing – it’s a national health AND a national security risk.

That’s why I’m pushing to strengthen our medical supply chain here in America. https://t.co/OOGO2Mvor2"
75,"China’s cover up of COVID-19 made this pandemic worse. Our economy shut down &amp; American lives have been lost.

Drug / PPE manufacturing jobs must be brought back to the U.S. We can't continue to depend on China."
76,ICYMI: Helena is receiving a 3D printer that will print swabs to help with Coronavirus testing.  This is a critical tool as we work to safely reopen Montana. https://t.co/67lnc3Jslp
77,"Gallatin Gateway's 8th grade class couldn't make it to DC this year due to the pandemic, but I was glad to visit with this great group of young Montanans over video chat!  #MontanaProud https://t.co/9Trg06z2XO"
78,"Worked with @realDonaldTrump to secure critical PPE &amp; testing supplies to help keep Montanans safe. 

Learn more ⬇️ https://t.co/q8IE0KdZMT"
79,This 3D printer is great news for expanding testing in MT as we begin to safely reopen the economy.  I'll continue working to ensure healthcare professionals have the tools they need to increase testing and prioritize public health. https://t.co/UoQdJAx3aj
80,"Thank you @realDonaldTrump for acting on my request to cover Montana’s seasonal workers &amp; businesses through #PPP.  Our outfitters, guides, and more help drive our economy in MT, and I’m glad they’ll now be able to get the relief they need due to COVID-19. https://t.co/elJD2PqXfL"
81,An honor to advocate for COVID19 funding for Indian Country.  #montanaproud https://t.co/GrMd5ujWEE
82,"ICYMI: Last week, I toured the @umontana research lab working around the clock to develop a vaccine for COVID-19.  I’m glad to support the work they’re doing – these life-saving drugs MUST be made in America! https://t.co/gGljjrTUvb"
83,A big thank you to @realDonaldTrump for signing into law additional relief for small businesses and $ for testing and hospitals.  Replenishing the #PaycheckProtectionProgram is critical for Montana small businesses to stay open and keep workers employed. https://t.co/nN23D3rpui
84,Great visit yesterday in Missoula.  It's incredible @umontana is playing such a big part in research and development of a vaccine for COVID-19.  This is another example of Montanans rising to the challenge during times of need. #MontanaProud https://t.co/D9BKHsEVnF
85,Just wrapped up a visit to @umontana where they’re doing first-class research on developing a vaccine for COVID-19 right here in Missoula.  #MontanaProud https://t.co/F2zXvgYDsP
86,Look forward to joining @SethBodnar this AM at @umontana to see some of the amazing work they’re doing to develop a COVID-19 vaccine right here in Montana. https://t.co/nw9OYGpfDh
87,"Glad to see the Senate replenish #PPP which will help keep Montana small business open and workers employed, boost funding to expand testing and provide more relief for hospitals and healthcare providers."
88,"I’m always glad to hear from Montanans, answer their questions from all over the state, and provide an update on what I’m working on during this pandemic.    

https://t.co/bvRgcUu6eB"
89,"As our nation works to overcome this pandemic, folks can still enjoy our parks from the comfort of their own home with virtual programs put on by @NatlParkService. #FindYourVirtualPark"
90,"I’m on a conference call with @realDonaldTrump @stevenmnuchin1  @MarkMeadows this morning.  We are close to reaching a bipartisan agreement to replenish the Paycheck Protection Program, plus significant increases for testing and hospitals.  Need it now!"
91,This funding will play a critical role to ensure our MT law enforcement officers have the resources they need to protect our communities due to COVID-19.https://t.co/5pdZ11SB7h
92,"Glad to announce 5,000 nasal swab kits to test for COVID-19 were delivered to Helena today.  These swab kits are an important piece of testing that give healthcare providers the tools to help keep Montanans safe and healthy.
https://t.co/ByWUku6miy"
93,"Honored to be selected by @realDonaldTrump to serve on the historic task force to safely reopen America.  We can prioritize our public health &amp; our workers, families and small businesses.  Let’s get this done for America!"
94,"Glad to see @USDA &amp; @DHSgov take steps to address H2A issues which are harming MT Ag. This step will help protect agricultural-related employment, our nation’s food supply chain, and lessen impacts from the COVID-19 public health emergency."
95,.@realDonaldTrump is right to hold the @WHO accountable for their response to the COVID-19 outbreak and its work with China.
96,"Our Montana National Guard deserves hazard pay for the work they’re doing on the front lines protecting our communities from COVID-19 – that’s why I’m urging the @WhiteHouse to get it done!

https://t.co/jxRsTdvurf"
97,"Grateful for these men and women today who keep us safe.  Just a small way to say thank you and show our appreciation.
https://t.co/5qphTQw9ax"
98,Our Montana National Guard have been putting their lives at risk to protect Montanans during this pandemic.  That's why I'm urging the Trump Administration to allow them to qualify for hazard pay for the work they're doing during this pandemic. https://t.co/L6MQwxrkmp
99,RT @SteveDaines: The Montana National Guard is on the front lines of this pandemic.  Cindy and I were happy to show a little piece of our a…
100,The Montana National Guard is on the front lines of this pandemic.  Cindy and I were happy to show a little piece of our appreciation today by bringing them lunch at the @BozemanAirport. #MontanaProud https://t.co/QxYOmWqDGe
101,Relying on China for medicine or essential medical equipment is detrimental to our national security and endangers our public health.  We MUST reduce our dependence on China. https://t.co/m40tc6stpT
102,"Cindy and I wish you all a Happy Easter!
The angel said to the women, “Do not be afraid, for I know that you are looking for Jesus, who was crucified. He is not here; he has risen, just as he said. Come and see the place where he lay.”
Matthew 28:5-6"
103,"Great news, the 68,000 N95 masks have officially arrived in Montana!  This will go a long way for our healthcare providers on the front lines.  Glad to have gotten this done for MT."
104,"“For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life. For God did not send his Son into the world to condemn the world, but in order that the world might be saved through him.” –John 3:16-17 #GoodFriday"
