,Tweet
0,RT @SteveScalise: RT if you stand with Judge Amy Coney Barrett as she endures baseless personal attacks from Democrats who can’t find ANYTH…
1,RT @BoeingSpace: The @Space_Station lab is providing the testing ground for a new approach in the fight against cancer. See how we've partn…
2,"The Democrats can’t speak to policy issues on any other level. They’d take away our rights &amp; this democracy would go down the drain. 2nd amdmt gone: no fossil fuel, Free healthcare, free college, free legal representation for illegals &amp; open borders. So much for our sovereignty!"
3,"@SenTedCruz Good job on Marc Levin tonight Senator. Of course the Democrats want to lie that the Republicans want to take away pre-existing conditions. Because they can scare people with lies about their health, their safety and their personal well-being."
4,God bless President @realDonaldTrump and @FLOTUS.  My prayers are with them for a speedy recovery as they lead us out of this pandemic and recession.
5,RT @RepKevinBrady: Why is @SpeakerPelosi &amp; Congressional Democrats blocking COVID-19 aid to help #SmallBiz survive?
6,So Speaker Pelosi: who got her hair done while she lectured Americans to stay home &amp; wear their masks-was “set up by hair salon” So the Speaker of the House with top level security clearance who was “set up” by a hairdresser... only thing she didn’t claim was Russian Collusion.
7,RT @Aggie_GR: Thanks and #GigEm to members of @TAMU's Veterinary Emergency Team (VET) who have mobilized in Jefferson County to serve those…
8,"RT @GregAbbott_TX: Thanks to the tremendous Volunteers &amp; First Responders who are stepping up to help Texans respond to #HurricaneLaura.

T…"
9,RT @TXRandy14: Elizabeth Warren asks: “what has the Covid virus done to our babies?” Why isn’t she asking what has abortion done to our bab…
10,Elizabeth Warren asks: “what has the Covid virus done to our babies?” Why isn’t she asking what has abortion done to our babies? Especially black babies? Black lives do matter. Black babies lives matter also. Such hypocrisy! Thank GOD for a Pro-Life Donald Trump! @realDonaldTrump
11,You are being lied to by @SpeakerPelosi &amp; the socialist D’s. This is a fake emergency. What did @RahmEmanuel say? - Never let a good crisis (emergency) go to waste.  He forgot - especially those fabricated by Liberals who want to discredit the most successful Pres in US history. https://t.co/Z7lnqhBWbb
12,"Democrats are shameless. Pushing anarchy, socialism, conspiracy &amp; even a recession - all to try to defeat Trump. Americans are not stupid. Trump has &amp; will always be about making America Great, safe &amp; prosperous! @realDonaldTrump https://t.co/lSbTiLWEld"
13,".@GovMikeHuckabee said on Fox that  during the primary @KamalaHarris characterized @JoeBiden as “worthless as a bucket under a bull.” 

hmm...I don’t know who should be the most offended - Biden, the bucket, or the bull? 

I wonder what was in that bucket??

#BucketBiden"
14,RT @TexasDSHS: ¿Sabes qué hacer si alguien de tu casa se enferma de COVID-19? Sigue estos pasos para cuidar de alguien enfermo en tu casa m…
15,RT @TexasDSHS: Know what to do if someone in your house gets #COVID19. Take these steps to help care for the sick person while protecting o…
16,"The Crazy D’s are grasping at straws, trying to blame President Trump for COVID-19. Sad, huh that they deny that China is not our friend. Truth is: COVID stands for China’s Own Viral Infectious Disease! Trump’s been saying that from the beginning. He was right! @realDonaldTrump"
17,"RT @realDonaldTrump: Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long time!…"
18,"Today marks the 51st anniversary of the launch of Apollo 11 that forever changed the world. I cannot wait for Americans to return to the Moon and I couldn’t be more proud of the women &amp; men at @NASA &amp; our partners who are leading the effort. 🌗🌔🌕

https://t.co/0bReWWd0w6"
19,Today ⁦@USDA⁩ announced an initial list of additional commodities that have been added to the Coronavirus Food Assistance Program (CFAP) &amp; adjustments to the program based on comments received from agricultural organizations &amp; producers and review of market data. https://t.co/KPAuZt7bHn
20,"RT @Astro_Ferg: Nine years to the day from the launch of STS-135, we train for Starliner... in the age of COVID. https://t.co/8PaE7nqBCD"
