,Tweet
0,"Hey FBI, where ya been?!

It would've been helpful to know @JoeBiden's family was under investigation before now.

Did the millions who already voted not have a right to know this?

Who has been sitting on this for a year? 

Looking at YOU, Director Wray.
 https://t.co/Qczw3DEbcD"
1,"RT @seanmdav: When did @JoeBiden learn that his son, with whom he discussed foreign biz deals with China, was the target of a federal crimi…"
2,"It now seems #QuidProJoe @JoeBiden &amp; family were running a years-long pay-to-play influence peddling corruption ring.

The media refuses to cover it despite mounting evidence.

These scandals aren't going away Nov 3, no matter who wins."
3,"🚨PROMISES MADE, PROMISES KEPT🚨

@realDonaldTrump already led one historic economic boom 2017 to COVID.

Now he's doing it again!

2020 3rd quarter GDP growth was 33.1%, smashing the last record of 16.7% in 1950.

THE GREAT AMERICAN COMEBACK IS ON FOLKS!
 https://t.co/B9wmGbrOwu"
4,"🚨PROMISES MADE, PROMISES KEPT 🚨

@realDonaldTrump already led us through one historic economic boom from 2017 to COVID.

Now he's doing it again!

2020 3rd quarter GDP growth was 33.1%, smashing the previous record of 16.7% in 1950.

THE GREAT AMERICAN COMEBACK IS ON, FOLKS!"
5,"“The one who lives with integrity lives securely, but whoever perverts his ways will be found out.”

Proverbs 10:9 CSB"
6,"#AmyConeyBarrett is the Left's worst nightmare: a proud pro-life Christian conservative woman who refuses to apologize for her beliefs.
 
#ACB isn't just a #SCOTUS Justice. She's a role model for future generations, including my own daughters and granddaughters! https://t.co/1FS4r9oiyF"
7,"#TonyBobulinski is a reality check for anyone who still believes @JoeBiden's bogus claims this corruption scandal is Russian disinformation.

Bobulinski is a Democrat &amp; Navy veteran willing to testify under oath... and has evidence he's turning over.

Not exactly a Russian agent."
8,"The same FBI that overlooked a false dossier &amp; mislead the FISA Court to spy on the @realDonaldTrump team now has Hunter Biden's laptop.

Can they be trusted w/ such damaging evidence against @JoeBiden?

Who will hold them accountable?

Christopher Wray? Not!

Drain the swamp!"
9,"No shock here.

@RepAdamSchiff — who has been pushing this bogus claim of Russian disinformation for days — was caught lying, yet again. 

Exactly how many times does Shifty Schiff have to lie before he's removed as House Intelligence Chairman, @SpeakerPelosi? https://t.co/kiNF33NWYm"
10,"We have more evidence of corruption about @JoeBiden than *ever* existed about @realDonaldTrump.

But all the loud voices in media and government who called for aggressive investigations of @POTUS are now silent or busy denouncing the evidence.

These people have zero credibility."
11,RT @CalebJHull: Steve Scully just admitted he was not hacked and he lied. Let's take a walk down memory lane of all the blue checks who car…
12,RT @mikehahn_: Twitter has suspended ⁦@TeamTrump⁩ for posting a video calling Joe Biden a liar who has been ripping off our country for yea…
13,RT @RepJamesComer: We continue to see significant mismanagement by DC’s local officials. Now it’s ballots going to people who have moved or…
14,"Jane Fonda (AKA ""Hanoi Jane"") isn't the first Democrat to openly admit that the Left is using #COVID19 for political gain...

#3 House Democrat @WhipClyburn said in March that the pandemic was a ""tremendous opportunity to restructure things to fit our vision."" https://t.co/uI5BOFLVBa"
15,"Evidence is finally being released conclusively proving the entire ""Russia collision"" narrative was a bogus partisan hit job against @realDonaldTrump.

Why wasn't all this released years ago?

Who has been sitting on this??

WHY WASN'T ANY OF THIS INCLUDED IN MUELLER'S REPORT???"
16,"Media outlets, reporters &amp; talking heads spent the last several months demanding everyone listen to experts &amp; medical professionals— and shaming anyone who doesn't.

These same people now think they know better than @realDonaldTrump's own doctors.

The mainstream media is broken."
17,"RT @Cernovich: Less than an hour after news broke of Trump’s coronavirus diagnosis, the Washington Post tweeted, “Imagine what it will be l…"
18,"HYPOCRISY:

The Left spent all this week demanding @realDonaldTrump condemn hate (which he has done many, many times).

On social media, some of these very same accounts are now posting disgustingly vile and hate-filled messages about @POTUS &amp; @FLOTUS coming down with #COVID19."
19,"My wife Dee Dee and I are praying for @realDonaldTrump &amp; @FLOTUS this morning after we heard the news that they tested positive for #COVID19.

We wish them — and all Americans suffering now — a speedy recovery.

May God bless America and all who love her.

🇺🇲🙏🇺🇲🙏🇺🇲🙏"
20,"Disturbing new findings raise serious questions about #BLM's ties with China.

My take: ""The @Heritage Foundation has uncovered more evidence of foreign involvement in the riots than was ever produced by the Left's bogus 'Russia collusion' conspiracy theory.""

👇Read more here👇 https://t.co/KOX4RuhLJw"
21,"RT @ChuckRossDC: Comey, who’s been on a media tour for 2 years, says he does not like attention except from his family."
22,"RT @RepThomasMassie: Being masked up, and being locked down for so long, has caused us to look at each other differently. The sooner we get…"
23,".@realDonaldTrump ended travel from China on January 31 to stop #COVID19.

@JoeBiden accused him of being xenophobic.

@HouseDemocrats were still obsessed with their bogus impeachment.

@POTUS saved American lives with early action while Democrats played politics."
24,"This 302 document from an FBI official who investigated collusion &amp; #Flynn is a bombshell.

More confirmation the Mueller Special Counsel's primary motive was a partisan takedown of @realDonaldTrump by gloryhound attorneys that ultimately failed.

Read 👇

https://t.co/tJJgdHdPks"
25,"There is organization, funding &amp; planning behind this chaos.

Professional rioters traveling from city to city aren't likely working 9-5 jobs...

Who pays for their travel? Food? Hotels? Supplies? Or this U Haul?

I've asked AG Barr to brief @GOPoversight on this domestic terror. https://t.co/X2WqwtQj57"
26,"RT @FRCdc: TONIGHT #VVS20 features:
@claireculwell 
@LindseyGrahamSC 
@CongressmanHice 
@AbbyJohnson 
@DLoesch 
Vincent Mathews, Jr.
@alber…"
27,"RT @FRCdc: .@CongressmanHice is confirmed for the virtual Values Voter Summit! #VVS20 

September 22-25 | 8:00pm-9:30pm ET 

Get your FREE…"
28,"Many have tragically died from #COVID19...

But nobody in their right mind believes 200 million have died *today* during this speech.

Can you imagine if had @realDonaldTrump said this? The media would have a field day.

Where's the Twitter ""fact check""? https://t.co/AIiHo5GexP"
29,"The Nashville mayor's office concealed LOW Coronavirus numbers coming from bars &amp; restaurants to justify the city's shutdown.

It's just like Democrats to hide the truth to fit their agenda.

We need a full &amp; transparent audit of #COVID19 numbers reported by local governments. https://t.co/rufdDXBQTZ"
30,"RT @EWTNNewsNightly: Lawmakers are no closer to unveiling a deal on another COVID relief bill, but the pandemic still remains the big issue…"
31,"This is a *huge* win for all who value peace &amp; prosperity.

@realDonaldTrump has done more to secure world peace than any president since Ronald Reagan.

@POTUS has EARNED a #NobelPeacePrize many times over for blazing a new path in the Middle East. https://t.co/9XRuox38wQ"
32,".@OversightDems are holding a Postal Service oversight hearing with no witnesses from @USPS...

People giving uninformed and hypothetical opinions is not ""oversight.""

Dems make a lot of noise to push conspiracy theories but don't provide much substance...

What else is new? https://t.co/iU6c1AFCw3"
33,"Today's Postal Service hearing is a farce.

@USPS will be solvent thru August 2021—there's no need for an immediate $25B bailout...

But you won't hear that from the Dem witnesses bc none of them are even from USPS.

USPS needs reforms, not bailouts &amp; wild conspiracy theories. https://t.co/Bn6xWu2L0p"
34,"RT @FreedomWorks: ⚠️ The biggest threat to the future and well-being of the United States of America isn’t #Coronavirus, it’s Congress’s re…"
35,".@RepDougCollins is spot on.

How did ""protestors"" converge on the hospital so fast?

This sort of rapid response requires serious organization and funding.

I've joined @RepKenBuck &amp; 50 @HouseGOP demanding the DOJ aggressively expose those pulling the strings. https://t.co/nqLAIkzTMt"
36,"The Left's idiotic war cry of #DefundThePolice has dangerous real-world consequences.

Two Los Angeles Sheriffs were ambushed &amp; shot... then ""protestors"" blocked the entrance to the hospital ER.

Where is the condemnation from Democrats to rein in their supporters??

*crickets* https://t.co/tLDmMEHzP7"
37,RT @RepDLesko: ✍️ Proud to sign onto @CongressmanHice's letter to @SteveFDA to classify chemical abortion pills as a public health hazard a…
38,"This is yet another HUGE and truly historic achievement by @POTUS.

All who value peace and prosperity should celebrate and thank @realDonaldTrump for his amazing work on the world stage.

#NobelPeacePrize https://t.co/n4xKct5pw2"
39,"Adam Schiff — failed Hollywood screenwriter and psychotic Washington conspiracy liar — has proven time and again that he absolutely can't be trusted with American values.

He's unfit to be House Intelligence Chairman and should've been removed years ago.  https://t.co/WB3pCXjkNp"
40,RT @BuckSexton: The agent who got fired for texting his mistress in official channels on an FBI device about running a corrupt investigatio…
41,"Democrat mayors care more about appeasing &amp; indulging anarchists than protecting their citizens.

Federal dollars should not be used to subsidize failed local politicians who refuse to restore law &amp; order.

Thank you @realDonaldTrump &amp; @RussVought45 for standing up for Americans!"
42,"Democrats seized on delays in the mail due to #COVID to push wild conspiracy theories that the #USPS is rigging the election.

This bogus political narrative is a ploy to sow confusion in the run-up to the election and throw a @realDonaldTrump victory into doubt. https://t.co/9wzEdYN67i"
43,"The abortion industry pushes their radical ""abortion on demand"" agenda while masquerading as champions of women’s health.

Time to pull the dangerous abortion drug Mifeprex off the market.

Read the letter I sent to @SteveFDA w/ 71 @HouseGOP colleagues. https://t.co/bbDE3fhvg1 https://t.co/1vTKHnFMSH"
44,"RT @BrianKempGA: Despite the pandemic, Georgia was named the “Top State for Doing Business” for the 7th consecutive year. Even during these…"
45,"RT @FRCdc: If Christians are not engaged, particularly in a country like America, where we-the-people have such a significant voice, then t…"
46,"New CDC report finds 94% of #COVID19 deaths were people with preexisting health conditions.

The data seems to support that you are likely low risk unless you are a senior or have underlying medical issues.

Take a look for yourself:

https://t.co/X6AsFlB3jo"
47,"Politically charged violence by #Antifa &amp; #BLM foot soldiers is escalating to a level unseen in America in our lifetimes. 

Meanwhile, the Left's elected officials &amp; media mouthpieces claim it isn't happening.

It’ll spread like a virus across American cities unless it’s stopped!"
48,"RT @FRCdc: FAITH &amp; FREEDOM
@CongressmanHice - pastor turned congressman - talks about the hostile environment in our nation's capital and t…"
49,"Absolutely 💯

There is organization, planning, and funding behind this chaos and violence.

We need to know who is bankrolling domestic terrorism. https://t.co/NlmpIMUAYv"
50,"Government funding expires 9/30. We face a shutdown unless Congress acts now.

@SpeakerPelosi blew up #COVID stimulus talks w/ outrageous demands like universal mail-in voting.

This spending bill is her last chance to enact her radical agenda before Nov. Expect the worst!"
51,"RT @SteveScalise: These are the images the left, the media, and Joe Biden don't want you to see.

They want to silence anyone who exposes t…"
52,"Incredible law enforcement story in Georgia this week.

This is why we #DEFENDThePolice.

Who will protect the most vulnerable in our society when Democrats #DefundThePolice?

Thank God these children have been found!

https://t.co/BP07EE0Dnj"
53,"Buckle in, folks. It's going to be a long morning at @GOPoversight.

@virginiafoxx and PMG DeJoy definitively set the record straight.

But @OversightDems will keep pushing bogus conspiracy theories all day.

The truth goes in one ear and out the other. https://t.co/b20tUFEwpr"
54,"RT @TrumpStudents: .@CongressmanHice from the top:

The Democrats’ “political theater… continued attempt to portray a conspiracy that does…"
55,".@HouseDemocrats are still peddling conspiracy theories about the Postmaster General to fit their bogus narrative.

This is all about taking down @realDonaldTrump, not helping @USPS.

Expect a lot of hysterics &amp; drama without much substance from Dems today in @GOPoversight."
56,".@SpeakerPelosi created a bogus @USPS crisis fueled by conspiracy theories.

Without bothering to hold hearings on this supposed crisis, she's rushing a $25B bailout bill to ""fix"" what doesn't even exist.

This illustrates everything that's wrong with DC &amp; @HouseDemocrats. https://t.co/akOsHyW3rC"
57,"RT @SteveScalise: Dems only have one playbook. They're running it on the postal service now.

1) Throw out fabricated conspiracy theories…"
58,".@SpeakerPelosi is rushing back to DC to ""save"" the Postal Service from a phony ""crisis.""

Meanwhile, she refuses to call the House into session to tackle real issues:

➡️Her derailing #COVID19 talks w/ her outrageous partisan demands

➡️The wave of violence &amp; chaos in our cities https://t.co/dKaNjBs2kX"
59,"RT @GovKemp: An update on COVID-19 in Georgia:

7-day average of COVID-19 cases ⬇️ 26%. 

Current hospitalizations ⬇️ nearly 19%. 

7-day a…"
60,RT @waltontribune: .@congressmanhice announced his annual Service Academy Day scheduled for Aug. 29 will include extra health and safety me…
61,"The Left has invented a new bogus conspiracy theory that @realDonaldTrump is ""sabotaging"" Postal Service funding.

CLAIM: @USPS will run out of funding without a bailout.

FACT: USPS has $14 billion cash on hand (most in years). They're not running out of money any time soon."
62,"📉The #PostalService lost money for over a decade.

📈During the pandemic, package volume has boomed.

💰Since mid-March, @USPS made $1.3 billion more in revenue than it did the same time in 2019. It has $14 billion cash on hand.

#USPS needs reforms, not bailouts!"
63,"There is no ""dismantling"" of the US Postal Service.

News flash for Democrats:

➡️USPS lost money every year for the last decade

➡️Now business is booming and package volume is through the roof

➡️USPS has made more revenue in the pandemic than it did the same period in 2019 https://t.co/LPZfDliLGC"
64,"Lots of Left-wing conspiracy theories on the U.S. Postal Service.

Facts for you:
✅USPS has $14 billion cash on hand (most in years)

✅USPS revenue March—July was $1.2 billion more than the same period in 2019

✅USPS package volume has skyrocketed

USPS doesn't need a bailout."
65,"The tip of the iceberg!

FBI lawyer Clinesmith improperly changed emails used to obtain FISA warrants to unjustly spy on Carter Page and @realDonaldTrump's campaign.

He's also the one who texted ""Viva le Resistance"" after President Trump's election. https://t.co/oGpRzvdGqo"
66,"While Democrats are working to prevent economic growth and block schools reopening, @realDonaldTrump is producing real results for America's economy &amp; security:

➡️ Fewest filing for unemployment since the pandemic began

➡️ Historic peace agreement between Israel and UAE"
67,"The unhinged Leftists rampaging and rioting in the streets are only part of the problem.

👀 Who's funding the extremists?
👀 Who's bailing them out of jail?

And why is U.S. Senator and Democratic VP Candidate @KamalaHarris involved with them??!! https://t.co/rTBurwAR29"
68,"Stop politicizing college football.
Stop politicizing going back to school.
Stop politicizing medication.
Stop politicizing the pandemic.

Start prioritizing the people."
69,"For weeks, Democrats outrageously claimed that the chaos in Portland was caused by federal law enforcement defending a federal courthouse.

Guess what?

The feds are gone and the Leftist riots are still raging.

Who will the liberals blame next? https://t.co/DeQEoF5Tik"
70,"Democrats couldn't beat @realDonaldTrump at the ballot box in 2016, so they tried to do it in the courtrooms.

The Left pumped the @ACLU full of cash and sicked their lawyers on the Trump Administration to obstruct and delay every move @POTUS made.

https://t.co/IETkDp6lqs"
71,"67 nights of chaos in the streets of Portland.

67 days of deafening silence from @HouseDemocrats.

@SpeakerPelosi and other Dems raced to condemn small groups protesting the lockdown... yet they ignore acts of violence and terror against police, citizens, businesses, &amp; property. https://t.co/EXMvDq2Z5m"
72,".@HouseDemocrats are taking from the playbook of ""peaceful protestors"" rampaging in the streets.

Yesterday's House hearing with AG Barr was a disgrace to our institution.

Judiciary Democrats' disrespect and attacks on AG Barr will backfire.

America is sick of the mobs!"
73,"Democrats have weaponized the coronavirus pandemic, and that even extends to America's children.

The Left wants to block schools from reopening.

Why?

They know reopened schools mean stability and parents going back to work — which could hurt @JoeBiden.

It's all politics."
74,".@OversightDems are only allowing 5 Republican members in a hearing at a time.

This is about political optics, not safety or health.

You can always count on @GOPoversight to show up to work and be present.

@HouseDems, meanwhile, are taking vacation on the back of taxpayers. https://t.co/YAwDl0nyou"
75,"RT @newsmax: WATCH: @CongressmanHice responds to @KeishaBottoms remarks about Georgia’s mask order.

""The court order has nothing to do wit…"
76,RT @FoxFriendsFirst: The Missouri couple who went viral for defending themselves from protesters may soon be indicted. House Oversight Comm…
77,"RT @GOPoversight: ""Reform cannot come at the expense of turning our backs on the men and women in law enforcement, the vast
majority of who…"
78,"Judge Sullivan refuses to let the Michael Flynn case be dropped, and doesn't want to accept the decisions by the DOJ &amp; DC Circuit Court of Appeals.

His outrageous handling of the case brings a whole new meaning to judicial activism.

It's time to open an impeachment inquiry. https://t.co/ISisQqkwN5"
79,"The United States has formally withdrawn from The World Health Organization.

@WHO supports China. 

@realDonaldTrump supports America."
