,Tweet
0,"@JJMcGrathIII As noted, I don’t like any of the negative ads. I’m someone who’s faced both types of attacks. I’ve been falsely accused of not caring about people with pre-existing conditions and of helping violent criminals terrorize communities. I know which type of attack is more disgusting."
1,@adamkail Wasn’t meant to normalize him. I’m confident I’ve condemned him more than any U.S. representative who was elected as a Republican. Thanks again.
2,"@adamkail Thanks, though I think it’s a smaller portion who are with him no matter what. The two-party system pushes people into his camp who otherwise would not be with him."
3,"The polls showing Trump losing in #MI03 are no surprise to me or others who pay attention to politics in West Michigan. 2016 was the fluke. This district has been close for many years. While I consistently won by large margins, other Republicans fared worse over the same areas."
4,"Here's an extended version of that clip, and there's a link to the whole episode there, too: https://t.co/zxTQIIteFX"
5,Whoever told you that thing you keep repeating about how social media companies are “getting away with acting like publishers while being protected as platforms under Section 230”—that person misled you. I’m sorry. “Platform vs. publisher” is just not a thing. Read the law.
6,My favorite replies are the ones that rewrite history by pretending I gave Republican speakers a pass. I literally participated in a mutiny to oust one (Boehner) and called another (Ryan) one of the worst speakers in history—in both cases for shutting down legislative process. https://t.co/gq2ZdTAEcq
7,"@RichardManzoNH Correct, but still only in limited cases."
8,@CassandraRules This was years ago. I’m not sure what your grudge is. Donald Trump’s the one who promoted it everywhere and then suddenly claimed not to know anything about it.
9,"@CassandraRules Nope. I told you personal information about private individuals shouldn’t be released but that I didn’t know how much of that was happening, because I wasn’t fully informed on it. It’s weird and not healthy or productive to assume everyone follows that stuff as closely as you do."
10,"The resolution threatens protected speech (absurd as that speech may be), and its prescriptions for addressing QAnon aren’t appropriate for what we know about them &amp; may make things worse. These are conspiracy theorists who believe in a deep state that’s fighting against them,… https://t.co/POPukpQ5YM"
11,"Best wishes to the president and first lady on a full recovery, and for the health and well being of their family, White House staff, and those around them. https://t.co/Ls8hSTdjW6"
12,"@LibertyAnders It used to be that Republican grassroots cared about voting records and were disgusted by officials who were all talk. Today, it’s the entertainment/performative aspect that’s applauded, and voting records are mostly ignored. What really matters is how well you own the libs."
13,"@AnonymousStaffr @LibertyAnders GOP and Dem members who aren’t in leadership and aren’t at risk don’t raise money like that. And if you want to be in leadership, you have to sell out your principles. What good is it to have money once you’ve become the same as everyone else? You won’t even remember why you ran."
14,"Agree or disagree with her politics, @AOC is one of the only representatives who takes her responsibilities seriously. Nobody should vote yes on a bill dropped onto the House floor like this without time for careful review. https://t.co/ePyU8XQMLS"
15,Twitter’s algorithm is not a fan of YouTube links. Now testing whether it’s okay with a quote tweet that includes a link. https://t.co/cgcNGeH8PS
16,Donald Trump’s judicial nominee list includes three senators who supported the reauthorization of FISA 702.
17,"Conservatives and libertarians, like me, who repeatedly criticized Obama for not ending those wars are now supposed to praise Trump for simply promising to do a fraction of what Obama did? Why? Because Trump talks like a guy who wants to end wars? Stop talking; actually end them."
18,"This policy isn’t just detached from the law but also from economics. The unintended consequences will harm the people it’s intended to help. Again, the best form of pandemic relief is direct cash payments to the people. It’s the fairest, most efficient, and least distortionary. https://t.co/SdnmjrZLHS"
