,Tweet
0,"These measures will help keep more seniors safe and comfortable at home, which is increasingly important as folks endure isolation from their families during the COVID-19 pandemic."
1,I had a wonderful visit with @CastletonES kindergarten and first grade students. Thank you all for the excellent questions and the opportunity to share stories about my boys who are the same age as you! https://t.co/Nq4PyJXqrr
2,"I am proud to announce more than $7 million in federal funding for @YoungFarmers in Hudson, which will help expand the Farm Ranch Stress Assistance Network and support the mental health and well-being of our farmers and their families. https://t.co/dEeppy3k2q"
3,The Coronavirus Food Assistance Program is accepting a second round of applications from farmers who have been directly impacted by the coronavirus pandemic. Learn more about this important program that provides disaster assistance to local producers &amp; apply today: https://t.co/Ukzm17HBTm
4,"This afternoon, I connected with Mike Carter and Lisa Morris from the @MHVFCU as well as representatives from the New York Credit Union to hear more about how credit unions have helped our small businesses navigate the pandemic through PPP loans and other assistance. https://t.co/ND5xBV0FwX"
5,"A busy week indeed! Great to visit Nassau on Thursday and spend time with the folks on the ground, doing the work in our communities. I’ll keep fighting at the federal level to make sure everyone in #NY19 has clean water and the resources they need to get through this pandemic. https://t.co/WjKa726RLX"
6,"ICYMI – this week, I introduced bipartisan legislation w/ @RepJohnKatko, @RepMaxRose, &amp; @RepAnnieKuster which directs a study on how to prevent the spread of communicable diseases, such as COVID-19, in nursing homes &amp; assisted living facilities. Read more: https://t.co/frZtJeIb3U"
7,"Great to join the @GoMHSDukes public policy class this afternoon and talk about my work in Congress to ensure our communities have the resources they need to navigate the #COVID19 pandemic, and the importance of using your vote and your voice to make positive change here at home. https://t.co/ZnqnTciJG2"
8,".@JuneFarms is a beautiful agriculture operation with livestock and horses that includes an event venue and lodging. Today, I visited West Sand Lake to hear from the owner about how his business has been impacted by #COVID19 and their experiences with federal programs. https://t.co/8sqObx9Yw2"
9,"I’m working at the federal level to advocate for additional coronavirus assistance that includes funding for state &amp; local governments &amp; my bipartisan Direct Support for Communities Act, which would ensure that every locality – regardless of size – can access COVID-19 relief."
10,Really glad for the opportunity to connect with Supervisor Dave Fleming and local officials in the area to learn how Nassau and East Nassau are navigating the pandemic and preparing for the colder months. https://t.co/3SSgm4CUVg
11,"I’m proud to introduce the bipartisan Keeping Seniors Safe from COVID-19 Through Home Design Act, which takes the necessary steps to address housing safety measures and stop the spread of COVID-19 among our most vulnerable populations."
12,"The COVID-19 outbreaks we’ve seen in nursing homes across NY19 are heartbreaking. In addition to increased financial assistance &amp; access to testing, it is critically important that we determine what safety improvements can be made to protect our loved ones.https://t.co/frZtJeZLVs"
13,.@FEMA’s Assistance to Firefighters Grant program is currently accepting applications for a second round of COVID relief funds. Learn more about the program &amp; reach out to my Kingston office at (845) 443-2930 with additional questions. https://t.co/sFzUzdbiB9
14,"This legislation gives small &amp; mid-sized businesses in #NY19 who have faced substantial losses due to #COVID19 the resources they need to support payroll, mortgage payments, &amp; fixed operating expenses. I’ll keep pushing to get RESTART included in future coronavirus relief bills."
15,"#NY19 is home to more than 27,000 small businesses &amp; self-employed owners that make up the backbone of our economy. Today I walked Main &amp; Partition Streets in Saugerties with Town Supervisor Fred Costello to meet with #smallbiz owners &amp; hear how they’re navigating the pandemic. https://t.co/jZAYPmhQIj"
16,#COVID19 has laid bare the urgent need for investments in rural broadband aimed at closing the #digitaldivide for our young people. I’m proud to announce this federal grant for @ONCBOCES that will help more students &amp; teachers access the virtual classroom. https://t.co/aKQBAXuKCU
17,"Today is the last day to complete the #2020Census. Do not miss your opportunity to #GetCounted and make sure communities can access critical federal funds to support our schools, hospitals, and improve our infrastructure. Respond now at https://t.co/IeUzl05E7P."
18,"This week, we celebrate #NationalFarmerDay. I’m proud to represent nearly 5,000 farms in #NY19. As a member of the House Committee on Agriculture, I’ll keep fighting for our local producers and working to get our ag community the resources they need to navigate this pandemic."
19,I will continue to call on the Senate Majority to take up House-passed #COVID19 relief legislation that provides funding for a second round of PPP loans through my Prioritized Paycheck Protection Program Act and resources for the small business community in #NY19.
20,"Glad to see @SBAGov and @USTreasury take steps to streamline loan forgiveness for #smallbiz who utilized the Paycheck Protection Program, but we have much more work to do to get our small businesses back on their feet. https://t.co/OYDByCkYB5"
21,"Today is #WorldMentalHealthDay. During these periods of increased isolation, everyone in our community is navigating multiple sources of stress. I will continue to advocate at the federal level for funding to support mental health care and treatment in future COVID-19 relief."
22,"When the pandemic began, I visited Sullivan County’s emergency facilities to learn how they were preparing for COVID-19. Today, I returned to the municipal centers in Monticello to discuss the urgent need for state &amp; local govt funding to help our communities recover and rebuild. https://t.co/dOAI97ExgP"
23,"Great to join Sandra Gerry and the good folks at Sullivan 180 to discuss the launch of “Empowering a Healthier Generation” - a new school award program that promotes health and wellness among staff, students, parents, and our Sullivan County communities. https://t.co/J6B9jQW74Y"
24,"Because of the bravery and conviction of the family members who lost their loved ones, the House moved legislation this Summer to take unsafe limos off the road &amp; improve passenger safety. I will continue to call on the Senate to pass these bipartisan bills."
25,"We also owe a profound debt of gratitude to our community first responders who rushed to the scene and live with the pain of their experiences every day. Now, it is incumbent upon our government to honor the lives of those we lost with action."
26,"Two years ago, our upstate community suffered a devastating loss when a limousine crash in Schoharie killed 20 individuals. Today, my heart is with the families of the victims who have turned their pain and grief into a powerful tool to advocate for change.https://t.co/IappnAS6lZ"
27,I voted to pass an updated #HeroesAct to give our communities the resources they need to respond to COVID-19. Learn more here about the #smallbiz measures I worked to include that extend loan relief &amp; allow smaller firms to secure additional PPP funding: https://t.co/Ir5BOzaPi7 https://t.co/qJYAKEe8IJ
28,"Importantly, this bill also utilizes my Direct Support for Communities Act to ensure that funding for local governments is distributed to communities of all sizes. I will keep pushing to get our region the resources we need to rebuild and recover from this pandemic."
29,"Great meeting w/ Heidi Kirschner from @YMCA_Kingston, Frank Russo from the Oneonta YMCA, Jerry Huncosky from @frostvalley, &amp; representatives from @NYSYMCAs. We discussed our shared commitment to COVID relief that addresses the needs of non-profits &amp; supports access to child care. https://t.co/k72qpc64Ex"
30,Thank you to our esteemed panelists &amp; members of the community who joined tonight’s virtual info session about how to apply for a military service academy nomination &amp; ROTC programs. Applications are open now for Fall 2021. Visit my website to learn more: https://t.co/UULUYn9V74 https://t.co/5YcS9KVmjZ
31,"There is still time to complete the #2020Census. Don’t miss the opportunity to #GetCounted and help our communities access billions in federal funding to improve our schools, hospitals, and infrastructure. Respond over the phone at 844-330-2020 or visit https://t.co/cZab5cAQq5 https://t.co/fEIJrsIcUp"
32,"⏰ Time is running out to respond to the #2020Census. Don’t miss your opportunity to #ShapeYourFuture &amp; ensure that our communities can access billions in federal funding to support schools, hospitals, &amp; infrastructure. Call 844-330-2020 or visit https://t.co/cZab5cAQq5 today."
33,"Our legislation will strengthen the SBA Debt Relief program, allowing more entrepreneurs to access relief and further extending qualified loan payments for businesses hardest-hit. I will keep pushing to get this bill included in future coronavirus stimulus packages."
34,"This #NationalSmallBusinessWeek I celebrate the 27,000 small businesses &amp; self-employed owners in #NY19 that power our local economy &amp; strengthen our communities. I will keep fighting to ensure every small business in upstate has the resources they need to navigate this pandemic. https://t.co/DM3JIvbu9C"
35,"Don’t miss your opportunity to #ShapeYourFuture by responding to the #2020Census, which determines how billions of federal dollars will be distributed to our public schools, infrastructure, &amp; hospitals.

Go to https://t.co/cZab5cAQq5 or call 844-330-2020 to #GetCounted today."
36,"Small businesses are essential to our way of life in #NY19 &amp; the backbone of our local economy. During #NationalSmallBusinessWeek, I join in recognizing the resiliency of #smallbiz owners &amp; employees who are working every day to navigate this health crisis.https://t.co/myFcbPVQWs"
37,"Today, I connected with my #NY19 Health Care Advisory Committee to learn more about how our local hospitals and community health centers are navigating #COVID19 and preparing for flu season. We also discussed the urgent need for additional coronavirus relief funding. https://t.co/RmfpMXdSgL"
38,"ICYMI – The Special Enrollment Period for uninsured New Yorkers has been extended through December 31, 2020. Examine coverage options through @NYStateofHealth and find the plan that works best for you and your family. #GetCovered https://t.co/HLXZMiu1p9"
39,Great to connect with Dan Staley of Rhinebeck and Conor Gillis from @nardotrealtor. We discussed the urgent need for additional COVID-19 relief legislation that includes rental assistance for folks across #NY19. https://t.co/W4oHNXoJ4z
40,"From September 20 through 26, we recognize #NationalFarmSafetyandHealthWeek. I am proud to represent nearly 5,000 farm operations in #NY19 and I will continue to advocate for their health and safety on the House Agriculture Committee. https://t.co/8TB0biaAMA"
41,Our nation &amp; our state is forever grateful to 9/11 first responders. The fact that funding was withheld from their health care treatment is unconscionable. I joined bipartisan members of the NY delegation demanding @USTreasury make the WTC Health Program whole again. https://t.co/vIdp4IXug8
42,"24 hours a day, 365 days a year, volunteer firefighters are the first to answer the call when our community is in danger. I’m proud to announce $133,333 for the Town of Broome Volunteer Fire Dept, who will use these funds to replace outdated equipment. https://t.co/JTFCabtQLa"
43,"Important update: @USDA just announced a second round of disaster assistance for agriculture producers impacted by COVID-19 through the Coronavirus Food Assistance Program. Applications open on Monday, September 21. Learn more here: https://t.co/iwkLtfPKqc"
44,The Special Enrollment Period for health insurance has been extended through the end of 2020. Click here to examine coverage options and find the plan that works best for you and your family. https://t.co/ReVnD3J1Pd
45,"Opportunities for Otsego, Inc. provides critical services for the most vulnerable in our communities. This week, I announced federal funding that will allow them to expand their important work to support those who have escaped from abusive relationships. https://t.co/JdGc9cElvB"
46,"During #DirectSupportProfessionalsWeek, I am proud to join in recognizing the good folks at @DelArcNY in Walton who have dedicated their careers to caring for our neighbors with intellectual and developmental disabilities. Thank you for all you do!"
47,"Today, @HouseSmallBiz will consider legislation to strengthen the Small Business Act &amp; the Small Business Investment Act. During this public health crisis, it is critically important that #smallbiz tools are working for everyone in #NY19. Tune in: https://t.co/UR7xK0ES9a"
48,The @CongressionalAC closes one month from today. I encourage all high school students in #NY19 who are interested in tech and coding to learn more about the competition and submit your idea before the October 16 deadline. https://t.co/MN6WcqpqBu
49,The Otsego County Chamber of Commerce is holding a community webinar tomorrow at 7:00 p.m. w local health officials who will provide an update on public health insights into #COVID19 &amp; how to apply this information to your business. Click here to register: https://t.co/kQYtcVcPM6 https://t.co/lGdxQbpUsA
50,"This morning, I spoke with the good folks @HRHCare in Amenia to hear about their experiences throughout the #COVID19 pandemic. During the call, we also discussed the urgent need for additional COVID-19 relief legislation that includes state and local funding. https://t.co/eJCnRkm6A3"
51,"My office is constantly updating our #NY19 Coronavirus Resource Hub with new information about local #COVID19 testing sites, food banks, PPE, and #smallbiz assistance. Find out more  ↓

https://t.co/mBUAM3UF10"
52,IMPORTANT: Folks who don't file tax returns have until October 15 to sign up online through the IRS website for economic impact payments they’ve yet to claim. The IRS Non-Filers tool is available here ↓ https://t.co/4xLsVxB9c9
53,"This afternoon, I visited a deeply moving display at the Stanford Town Hall — where 2,978 flags on the sloping lawn honor the lives we lost in New York, Virginia, &amp; Pennsylvania on 9/11. Many thanks to the volunteers who worked to prepare this tribute. #NeverForget https://t.co/vGOJRCFb4J"
54,"This year, while we may be physically distant from one another, we are bonded as a nation by our resolve in the face of tragedy. May we continue to draw upon this collective strength as we confront this global health crisis, and answer to our better angels, united as Americans."
55,"The #COVID19 pandemic has caused increased stress &amp; exacerbated mental health challenges for everyone. If you are having suicidal thoughts, you are #NotAlone &amp; there are resources available to help 24 hrs a day. Text NAMI to 741-741 or call @800273TALK. #WorldSuicidePreventionDay"
56,"The #RESTARTAct is a critical tool that provides additional resources to support payroll, mortgage payments &amp; fixed operating expenses for small &amp; mid-sized businesses facing substantial losses due to COVID19. I’ll keep pushing to get this bill included in future relief packages. https://t.co/i7DNLyvVqP"
57,#NY19 farmers have two days to apply for the Coronavirus Food Assistance Program through the USDA. If you’ve experienced losses due to #COVID19 — click the link below to see if you qualify for disaster assistance &amp; submit your application before Friday. https://t.co/ek9jTyVSOk
58,"During a global pandemic, it is critically important that we invest in access to health care &amp; ensure hospitals can continue to provide urgently needed care in every community across our region. I’m proud to support the #COVID19 Hospital &amp; Health Provider Loan Forgiveness Act. https://t.co/w3dEQnOYc3"
59,"Today, I joined Mayor Trish Bergan &amp; Village Trustees for a walk around Middleburgh. As our communities navigate COVID-19, I am checking in with small business owners across #NY19 to hear how they’re responding to the pandemic &amp; understand their experiences with federal programs. https://t.co/w19Y7v39Pv"
60,I joined @gillibrandny at @BethelWoods today to highlight the dire situation faced by venues &amp; small &amp; mid-sized businesses who are experiencing losses due to #COVID19. Congress must pass the #RESTARTAct &amp; provide additional relief for businesses hardest-hit by the pandemic. https://t.co/svBk6vcMnn
61,"Happy #LaborDay to the hard-working men and women across #NY19. This year, I extend my gratitude to the frontline &amp; essential workers including nurses, firefighters, teachers, grocery store workers and others who have kept us safe throughout this pandemic. https://t.co/hp73PiTxwz"
62,Don’t miss these important @CDCGov reminders to keep yourself safe this #LaborDay weekend. https://t.co/ZaX5LfYXIY
63,"The #2020Census ends on September 30. Responding to the census helps to shape the future of our communities &amp; ensure #NY19 is able to access critically important federal funding that improves our infrastructure, schools, and hospitals. #GetCounted today: https://t.co/q8SocXA3jJ"
64,"Earlier this year, during #COVID19 relief negotiations, I urged the inclusion of funding for farmers impacted by the pandemic. These funds were included in the @USDA’s Coronavirus Food Assistance Program or CFAP. Find info about the program &amp; apply by 9/11:https://t.co/jL9NlHYIKs"
65,Farmers in #NY19 are facing unique challenges as #COVID19 has disrupted food supply chains and travel. This morning I visited Chaseholm Farm in Pine Plains and learned from the owners about how they’ve utilized federal resources. https://t.co/CcsnoA4biJ
66,"Businesses across our region will continue to need assistance long after the coronavirus pandemic, and I’ll keep fighting to ensure Sullivan County gets every dollar they need to recover."
67,"COVID-19 has caused unprecedented disruptions that will have lasting effects on our communities &amp; infrastructure. I’m proud to have helped secure nearly $300,000 in federal funding that will allow @SullivanCats to invest in #smallbiz recovery &amp; development.https://t.co/g6Gy9cXcRC https://t.co/7R9stwI4bm"
68,"The Coronavirus Food Assistance Program, which provides direct disaster payments to farmers who have experienced losses due to COVID-19, is accepting applications through September 11.

 Find out here if you qualify &amp; apply today: https://t.co/ek9jTyVSOk"
69,"75 years ago today, #WWII officially came to an end.  I am forever grateful for the servicemembers – and the allies who fought alongside them in Europe and the Pacific – for their bravery and sacrifice. #WWII75 https://t.co/IuNKn4AZho"
70,"September marks the beginning of National Suicide Prevention Month. If you are having thoughts of suicide, you are not alone. Text NAMI to 741-741 or call the National Suicide Prevention Lifeline 1-800-273-8255 to be connected to someone who can help – 24 hours a day."
71,#NY19 is home to thousands of unique small businesses that bring life to our main streets &amp; employ our friends &amp; family. Great to join Cooperstown Mayor Tillapaugh &amp; local leaders to connect with #smallbiz owners about how they’re navigating COVID-19 &amp; planning for the future. https://t.co/1eLRYwS3bI
72,"This morning, I joined Oneonta Mayor Gary Herzig to walk Main Street &amp; meet with business owners in the city to discuss how they’re managing through the coronavirus pandemic. I will keep working to make sure our small businesses have the resources they need to stay operational. https://t.co/fYfuDMnXJs"
73,"With profit margins shrinking &amp; costs increasing, small farms in #NY19 need additional assistance. This week, I visited family farmers in Palatine Bridge to hear about their experiences w federal #COVID19 programs &amp; the unique challenges facing small farms.https://t.co/QibkQytXhv"
74,"REMINDER: You have until September 30 to complete the #2020Census. There is still time to respond and ensure our communities across #NY19 can access critically needed federal funding to support infrastructure, education, and hospitals. https://t.co/q8SocXA3jJ"
75,"This morning I joined the Ulster County veterans community to kick off the Hudson Valley Center for Veteran Reintegration’s first Walk-A-Mile In My Shoes, where veterans &amp; civilians will undertake a 55-mile trek to Albany in support of the health and wellness of our veterans. https://t.co/Rgri3gy7qq"
76,"Additional specialty crop growers can now apply for the Coronavirus Food Assistance Program, or CFAP, run through the @USDA. Submit your application before September 11. https://t.co/oAPBCyLewf"
77,"Great to meet with Elina Rodriguez this afternoon &amp; learn more about her work with the @borgenproject to eradicate international poverty. As countries across the globe battle COVID-19, efforts to support the most vulnerable populations worldwide are critically important. https://t.co/Vll1IABiS4"
78,"More than 100 days ago, the House passed the #HeroesAct, including my bipartisan Direct Support for Communities Act – legislation that would allow every single community in #NY19, regardless of size, access to federal #COVID19 relief funding. The Senate must act."
79,"I’m proud to announce Assistance to Firefighters Grants for Worcester Hose Company, Inc and East Worcester Hose Co. 1 which will ensure our brave fire men and women are working with modern equipment that protects their health while fighting fires. https://t.co/UGTtrmdzcO"
80,"I spent the afternoon at Free Bird Farm where I connected with the owners about their experiences during COVID-19. On the tour, we discussed federal relief programs &amp; my Helping America’s Farmers Act, which would create an ag-specific Economic Injury Disaster Loan through @USDA. https://t.co/74A3L5DSWb"
81,Important update for #NY19 #smallbiz—@SBAGov is still accepting applications for Economic Injury Disaster Loans (#EIDL) from businesses who have experienced losses due to #COVID19. Reach out to my office at 845-443-2930 for assistance with the application. https://t.co/Rg3bEuMm6u
82,"In January, I joined the Deposit Chamber of Commerce’s annual awards dinner &amp; recognized Brown’s Pharmacy as Business of the Year. Today, I stopped by Brown’s to meet with the new owner &amp; hear how a small, local pharmacy is navigating through COVID-19. https://t.co/m0FF8P5FTN"
83,"Tourism is central to our economy in #NY19 &amp; few industries have been hit harder by #COVID19. This morning, I joined @sullivancats &amp; business leaders in Sullivan for a listening session to hear about their experiences over the last several months &amp; plans for the future. https://t.co/jFWn5hT6Fb"
84,Educators &amp; school employees are working to prepare for reopening this fall while facing budget cuts &amp; a lack of PPE &amp; widespread testing. We must pass additional relief with state &amp; local funding to get our communities the resources they need. https://t.co/cgjtq22X4e
85,"Small farmers across our district are facing extreme economic challenges, heightened by the pandemic, &amp; I’m glad for the opportunity to hear from folks on the ground &amp; see how the Family Farmer Relief Act law can help give farmers the flexibility they need to continue operations."
86,"One year after my bipartisan Family Farmer Relief Act was signed into law, I visited the Stamford Farmers’ Cooperative and toured the Martin Family Farm to hear about how Delaware County farmers have experienced the COVID-19 pandemic and how they’re preparing for the future. https://t.co/ZrkrIztokf"
87,I am deeply concerned to learn that Summit has only acquired 10% of the PPE needed at their station due to production backlogs. I will continue to call on the Admin to utilize the Defense Production Act &amp; get our first responders the PPE they need to stay healthy &amp; protected.
88,"On Saturday, a bipartisan coalition passed the Delivering for America Act which supports @USPS through emergency #COVID19 funding, reverses changes that slow mail delivery, &amp; bars Postmaster General DeJoy from implementing future changes undermining the timely delivery of mail."
89,"Today, I held a roundtable with @coxathschools1 employees about how they’re preparing to reopen schools this fall. We focused on the acute need for state &amp; local funding to address budget shortages, access to PPE &amp; testing &amp; expanded rural broadband to facilitate remote learning. https://t.co/WvCYMdt1qb"
90,"Last week, I joined local leaders in Hoosick Falls to meet with small business owners &amp; hear about how they’re working to keep employees &amp; customers safe while adjusting to reopening measures &amp; preparing for the future. Learn more: https://t.co/1n8x31PeWX"
91,"#NY19 farmers: have you registered for the @USDA Coronavirus Food Assistance Program? Farmers facing losses due to #COVID19 can apply now for direct relief before the program deadline on September 11. Find more information here:
https://t.co/jL9NlHYIKs"
92,Do you have questions about where you can access #COVID19 testing? Check out the Coronavirus Resource Hub for #NY19 on https://t.co/ALvgFx6o0C: https://t.co/673zmkRLv9
93,.@NYStateofHealth has extended the Special Enrollment Period through September 15. Click here to review your options and #GetCovered. https://t.co/ReVnD3J1Pd
94,I’m introducing the Helping America’s Farmers Act w @RepJahanaHayes that will deliver the support farmers need during this pandemic—a program that provides immediate relief paired w low- or no-interest loans w flexible terms for repayment or forgiveness. https://t.co/86bXIgxg5Y https://t.co/j3oz1r73WZ
95,Great to connect with passionate advocates for music from across #NY19 today to discuss the impact of COVID-19 on musicians &amp; music venues. Our district has a rich cultural history &amp; I will continue to support the critical role music and art have played in our upstate community. https://t.co/56eWML0s5B
96,"Today is the 100th anniversary of the ratification of the #19thAmendment, guaranteeing women the right to vote. I am proud to represent Ulster County, the birthplace of Sojourner Truth - a leading activist who worked on the frontlines to achieve women's suffrage."
97,"During a global pandemic, when affordable, quality health care is more important than ever—we must protect access to our rural hospital system. This legislation will ensure our Critical Access Hospitals maintain this designation and keep our remote communities healthy."
98,"Critical Access Hospitals are vital to the health and safety of our rural communities across upstate. Proud introduce bipartisan legislation that will ensure that Margaretville, O’Connor, &amp; Ellenville Regional Hospitals can continue to serve our district. https://t.co/ENGQHAoLc2"
99,"This morning, I walked Factory Hill Rd in Hoosick Falls, meeting with community leaders &amp; local small business owners. It is critically important to my work to hear from folks in every corner of #NY19 about their experiences during the pandemic &amp; work ahead to reopen &amp; rebuild. https://t.co/4WDzUIFuAa"
100,"#NY19 is home to nearly 5,000 farmers, 96% of which are family farms. Learn more here about how to apply for the Coronavirus Food Assistance Program and programs specifically designed for farmers facing losses due to #COVID19. https://t.co/AMqWHnNhbR"
101,"Have you visited my coronavirus resource hub on https://t.co/jWijieTEJF? Find information about:
✅ Testing sites
✅ Local COVID-19 cases
✅ Food banks &amp; community resources.
https://t.co/673zmkRLv9"
102,"As our communities continue to address coronavirus, keep these important tips from the @CDCGov in mind to protect yourself while running essential errands.
https://t.co/EKnvxqqMTd"
103,"@AARP explains five pertinent reasons to wear a mask to protect yourself and your community.
https://t.co/JxccW6VTV5"
104,#NY19 veterans: my office has put together a specialized webpage with veteran resources as our community responds to the #coronavirus pandemic. Visit the page and reach out to my office with questions about benefits or resources available. https://t.co/LQ9P3R9mfw
105,"The #2020Census is underway in our communities and it has never been more important to make sure we are providing needed federal funding to our hospitals, teachers and local infrastructure. Complete the form today at https://t.co/cZab5cAQq5."
106,"RT @CDCEnvironment: Everyone reacts differently to stressful situations. You may feel anxiousness, anger, sadness, or overwhelmed. If you o…"
