,Tweet
0,I am proud of the work we have done to secure healthcare for Nebraskans. https://t.co/ORrJaOS3uz
1,"In last year's #HASC hearing, I pushed for the ""Safe to Report"" policy that I introduced with @RepSpeier. Military members who experience sexual assault should be able to come forward without fear of being punished or demoted for a minor offense. Watch: https://t.co/pkr5OK7mce"
2,"Met with the Nebraska Chamber of Commerce to discuss #COVID, economic growth, and tax policy. The U.S. Chamber ranked me as the most bipartisan Republican in Congress, and gave me the Spirit of Enterprise Award &amp; the Abraham Lincoln Leadership for America Award. (1/2) https://t.co/sXEivK5WG0"
3,Thank you OWH for fair reporting on this. The House asked us to focus “Franking” on COVID &amp; we did; our plan was approved by the Franking Office; and House Administration said our plan was legal &amp; routine. We paid the lowest bidder &amp; no tax $ went to campaign expenses. https://t.co/yLp0i5WfIy
4,"I've worked across the aisle with my #HASC colleagues to craft bipartisan legislation within the #NDAA to improve military readiness, modernize programs &amp; equipment, strengthen our relationship with our allies, &amp; combat any and all threats, such as #COVID19. https://t.co/i9J9qRI5TO"
5,"On Friday, I participated in a soil exchange to remember and honor the life of George Smith, aka Joe Coe, who was lynched on the steps of the Douglas County Courthouse over 130 years ago. Thank you to the Equal Justice Initiative from Montgomery, AL for hosting a great event. https://t.co/XCjphEZfve"
6,Congratulations to Judge Amy Coney Barrett on her confirmation to the #SCOTUS! Her performance during the confirmation hearings was unflappable and the best I've ever seen. She will be a great Justice who will protect the Constitution and uphold the rule of law. https://t.co/TrYGyPQL4m
7,"Thank you to our Gold Star spouses who spent time with me on Saturday. We made progress ridding the Widow’s Tax, but providing access to our bases and cutting through the bureaucracy remains a problem. Supporting our #GoldStar families will always be a top priority of mine! https://t.co/qVxRxC17vl"
8,RT @HouseGOP: This #NationalDayoftheDeployed we honor all service members and the families of those who answered the call and deployed in s…
9,"ICYMI: Sec. Azar said, “It is now highly credible that OWS will have produced up to 100 million doses of safe and effective COVID-19 vaccine doses, made in America, by the end of 2020—12 months from the publishing of the viral sequence.” Great news! https://t.co/CeqLisu1ns"
10,"Last year's spring floods devastated certain areas in #NE02. I was able to talk with those who unfortunately lost their homes and businesses. I also thank our first responders and volunteers for stepping up during that difficult time. We are #NEStrong!
https://t.co/mNPEPt3aMu"
11,"We must never forget Emmett Till's story, and the 4,700+ victims of lynching who experienced racial terror in this country. This is a meaningful step in the right direction of acknowledging our past and learning from those mistakes. https://t.co/UHvMGEjzOj"
12,ICYMI: The SSA updated their FAQ webpage that clarifies how to reach them regarding Social Security cards during COVID. https://t.co/9goKHj02gs https://t.co/UI1AdmX9sh
13,"After the 2019 spring foods, I was able to work with my colleagues to secure $19.1 billion of flood and disaster relief from the FY19 supplemental, including $3B for crop and livestock losses &amp; $150M for health care, education, and essential services in #NE02's rural areas. https://t.co/SGmR68jLli"
14,"Welcome back home my good friend, and everyone is so glad you’re back to full health! https://t.co/38EQX34xgf"
15,"I’m committed to working across the aisle to pass bipartisan #COVID legislation, but @SpeakerPelosi continues to block direct relief for American small business by refusing to reauthorize unused #PPP funds. The “my way or the highway” mentality is doing more harm than good. https://t.co/2H0VWLraxz"
16,"The DEA's #TakeBackDay gives Americans the opportunity to dispose any unwanted, unused prescription drugs.

Due to #COVID19, drop off sites may be limited. To locate a drop off site near you, use the website's location search feature: https://t.co/ein2W3LW1A"
17,"After talking with local mayors and the League of Municipalities, I introduced the FLEX Act, bipartisan legislation that allows additional flexibility for state and local governments to access appropriated funds to offset lost revenue due to the health emergency from #COVID19. https://t.co/38i8Fw54Zz"
18,"The #PPP has helped nearly 51 million jobs by keeping many small businesses, including those in NE02, solvent during COVID. That is why I supported H.R. 7010 to extend the duration of the program, increase loan coverage, and allow greater flexibility in forgiveness and repayment. https://t.co/lqmo4EFDRa"
19,"I worked hard to include my bill, H.R. 4982, in the #CARESAct. This provision expedites mask production during a global pandemic, such as #COVID, and ensures essential personal protective gear is available for our medical professionals, first responders, and workforce. https://t.co/53D6YKgrxp"
20,"Met with the NE Restaurant Association and their members to discuss my support for H.R.7197, the Restaurants Act of 2020, and to learn of their struggles and challenges during COVID. We need to provide direct relief before more closings cripple our economy. https://t.co/JcXbxhsaJZ"
21,"Today I met with several homeschool families and organization leaders to learn about the various methods and programs they provide in our district. During COVID, there has been a 70% increase in homeschooling. I thank all parents and educators for stepping up during this time. https://t.co/gxrYKlkBFU"
22,"Met with several telecom companies in Nebraska to discuss how they're keeping students, educators, businesses, and hospitals connected during #COVID. As co-chair of the GPS Caucus, expanding rural broadband and strengthening America's tele-capabilities are important to me. https://t.co/XtSdTEVnKl"
23,I co-led H.R. 7155 with fellow vet @RepAnthonyBrown to rename bases named after Confederate leaders. It’s now part of the House #FY21NDAA and on track to become law! Our bases should bear the names of heroes who represent the best of America. https://t.co/PdMzwRHIIT
24,"Talked with 1,200 folks &amp; Chief José Andres to discuss childhood nutrition. I worked with @RepCarbajal &amp; USDA to extend the School Summer Food Services Program for schools that delayed reopening and added $8B to strengthen child &amp; family nutrition programs in response to #COVID. https://t.co/W6edQDde4c"
25,"RT @JohnRandalTyson: Great to be a part of @BPC_Bipartisan event today. We talked about ensuring access to healthy food (affordability, SNA…"
26,"It’s a shame to see Pelosi turn down a $1.8T COVID supplemental offer from POTUS because it’s not enough. She’s not serious about helping small biz &amp; industries that are still on the brink. Her CNN interview showed how irresponsible &amp; partisan she’s been.
https://t.co/cr1UGnyqow"
27,"Even though Nebraska is nationally ranked 7th in wind energy resources, we can benefit from more research and development of wind energy technologies. I cosponsored H.R. 3609 to improve energy efficiency, lower energy costs, and help build a cleaner, healthier environment. https://t.co/iRAOKsXOAd"
28,"Happy Birthday @USNavy! Thank you to all the brave servicemen and women who defend our nation with faith, courage, and honor. #USNavy https://t.co/2nHb40yTxo"
29,"Today is #NationalFarmersDay! THANK YOU to all of our farmers, ranchers, and producers in #Nebraska who work day and night to make us one of America’s leading states for agriculture. #ThankAFarmer https://t.co/6fr4QBeVFM"
30,"Dems &amp; GOP agree we need targeted #COVID relief $$ for small biz &amp; struggling industries, but Pelosi is holding them hostage to bail out larger cities that had financial issues prior to COVID. Financially responsible states &amp; cities shouldn't have to bail out the irresponsible."
31,"I introduced H.R. 5738 with @RepSpeier to empower survivors of sexual assault to report these incidents and to ensure that they will not face punishment for certain collateral misconduct. Sexual assault should never be tolerated, and we must always protect those who protect us. https://t.co/xvy7ZVqcoV"
32,"The @HouseGOP’s #CommitmentToAmerica lays out the framework to increase #COVID testing, develop a safe and effective vaccine, protect those with pre-existing conditions, and modernize our medical stockpile. I will continue to stand with @GOPLeader and fight for America. https://t.co/nIo1Wo2EeD"
33,"Poverty was at a record low when #COVID hit, and a growing economy with a tight labor pool drove up wages. My objectives are to defeat the coronavirus and get our economy back to an all time high.
https://t.co/d4paat7VZm"
34,"The #ChineseCommunistParty is a threat to the U.S. and our allies around the world, and they must be held accountable for their aggressive actions and failure to maintain the international spread of #COVID19.

Read @ChinaTaskForce's full report ➡️ https://t.co/SVa6x2JEoU https://t.co/rHrFTfDdoZ"
35,"The #ChinaTaskForce report is a comprehensive action plan to:
✅ Hold the CCP responsible for their role in the COVID-19 pandemic.
✅ Secure our supply chain &amp; create US jobs
✅ Bolster our national security 
✅ Keep US tech cutting edge
✅ Improve economic competitiveness https://t.co/Cg2iGjjrbx"
36,"Political disfunction hurts our nation's military. That is why I co-founded and currently serve as co-chair of the For Country Caucus, a bipartisan group of veteran and active-duty Members who pledged to serve with the core values of our respective services and break gridlock. https://t.co/hXyoeBapaF"
