,Tweet
0,"I spoke with Jerad on Sunday as he battled this virus. All too soon, he was taken from us.  Tammy and I extend our deepest condolences to Jenny and their young boys."
1,"This is exactly why I introduced the #AmericaFIRSTAct - we need to get foreign influence out of American schools &amp; force transparency from those who accept foreign money. 

https://t.co/3U5ELEpPfm"
2,"Please join me in prayer for @realDonaldTrump &amp; @FLOTUS as they recover from COVID-19. Like so many Americans, the Trumps tested positive for the disease despite showing no symptoms. I have every hope their status will remain positive &amp; they will both have a swift recovery."
3,"RT @TheHillEvents: .@RepKevinHern: “One of the things we know for sure is, the business community as we knew it pre-covid is certainly goin…"
4,"RT @RepFrankLucas: Earlier this month, @POTUS took an important step to expand telehealth services for those living in rural communities.…"
5,"Democrat Leader @StenyHoyer just told the entire House that “no one should schedule themselves for next week.” 

What he wants is for House members to do nothing but wait for Speaker Pelosi to decide if we’re going to have a vote on new coronavirus legislation."
6,RT @RepMikeJohnson: Weaponizing a pandemic to accuse @realDonaldTrump and Attorney General Barr of murder is beneath the dignity of this in…
7,RT @RepSherrill: Glad to see provisions from the Protect Telehealth Access Act that I introduced with @repkevinhern included in the Telehea…
8,"The outpouring of love for the Johnson &amp; Zarkeshan families in Tulsa is truly incredible. Thank you to everyone who has lifted up these families in prayer &amp; shown support for our law enforcement!

https://t.co/vnOoQ5bk0d"
9,"This act of unspeakable violence is unacceptable. There is no defense for it, and the criminal who shot these officers will be held accountable for his actions."
10,"RT @HouseGOP: ""Holding China accountable for their attempted coverup of this pandemic is a good start. It’s time for America to wake the wo…"
11,"RT @thehill: .@repkevinhern: ""Holding China accountable for their attempted coverup of coronavirus"" via @TheHillOpinion https://t.co/ga8bp0…"
12,"RT @PatientSafe2Day: Amid the #COVID19 pandemic, some online retailers are putting profits before patients’ vision health.

Fortunately, @r…"
13,"RT @FRCdc: ""We are pushing on Planned Parenthood to give the money back."" @repkevinhern responds to the outrage that Planned Parenthood wro…"
14,RT @RandPaul: Unmasking essentially is an end-run around the Constitution. The lesson that we should all be taking away from this is not “M…
15,"Thanks to our state’s great relationship with Taiwan, we just received a shipment of more than 100,000 medical masks. Thank you to our friends in Taiwan for this incredible donation!"
16,"I'm alarmed by the far-left policies @SpeakerPelosi continues to sneak into coronavirus relief bills, including anti-Second Amendment gun control measures.  Check out my thoughts on this in the @dcexaminer --&gt; 
https://t.co/r07MpFh8io"
17,"I'm in DC this morning for today's vote on the new funds for #PPPloans, other SBA loans, &amp; COVID-19 testing. I'm proud to support a clean bill w/ no unrelated policy riders. Our small biz owners needed action from us weeks ago, but I'm glad we're finally getting them this aid."
18,"The Paycheck Protection Program is starting to work. We must protect our small businesses &amp; workers, they're the ones who will lead the way when our economy reopens!

https://t.co/gQ7SmAuvmp"
19,"RT @tulsaworld: Coronavirus small business loans available soon, @SenatorLankford and @repkevinhern say https://t.co/P3vyCoD03a https://t.c…"
20,"#DearNancyPelosi, 

How do wind and solar tax credits (meant to harm the oil &amp; gas industry my district relies on - but that's a topic for another day) help the workers losing their paychecks right now as a result of #Covid19?"
21,"#DearNancyPelosi, 

Why did you tank a bipartisan stimulus package that could have passed the House &amp; been signed by @realdonaldtrump ASAP? Was it the direct cash to suffering Americans or the much-needed aid to medical workers on the frontlines of #Covid19 that put you off?"
