,Tweet
0,"I had the honor of visiting America Knits in Swainsboro. When COVID-19 first hit and PPE supplies were short, they helped the Presidential Task Force make masks and gowns for our medical professionals. Thank you to the whole team for your service to our nation! https://t.co/zEWCZk4GAN"
1,"American businesses, workers and families are waiting for vital COVID-19 relief, but Democrat leadership refuses to work with Republicans and President Trump on a bipartisan deal. https://t.co/qzh32fXgyu"
2,Congrats to @GovKemp for ranking 2nd in the Laffer-ALEC Report on COVID-19 response. Your leadership and our state savings allowed Georgia to provide relief to workers and businesses without raising taxes. Here’s the full report: https://t.co/QqI0yHOptR
3,"Important read: Research finds minimal link between in-person instruction and COVID-19 cases. It’s more harmful to our students to keep schools closed, and I’m proud of schools in #GA12 for finding ways to reopen safely. https://t.co/NEE2EUpSwQ"
4,"I stopped by the @boroherald to discuss my ongoing priorities in Congress. Our nation must defeat COVID-19 by developing a safe and effective vaccine, focus on rebuilding the greatest economy in the world &amp; ensure safe communities by supporting our police. https://t.co/arU9uWF4RL"
5,"Thanks to Treutlen and Wheeler County Schools for hosting me to see firsthand the protocols implemented to combat COVID-19 and to keep students, teachers and staff safe. https://t.co/XcOmwwZh3X"
6,"As a small businessman, it is an honor to receive @NFIB’s #smallbizguardian award for my strong, pro-small business voting record. It’s been an especially tough year for small businesses, and I will continue to fight to deliver vital COVID-19 relief to #GA12. https://t.co/TAl5y4Uza5"
7,"If you’re one of more than 60 million Americans with Medicare, you can review plans and make changes to your healthcare coverage for next year."
8,I have long believed that Georgia knows the healthcare needs of Georgians – not federal bureaucrats. I am proud that President Trump provided Governor Kemp the flexibility he needed to deliver better healthcare to vulnerable Georgians.
9,"Great news! Today, under the leadership of President Trump, the Centers for Medicare &amp; Medicaid Services approved Georgia’s innovative healthcare reform package that will help thousands of uninsured Georgians gain access to coverage. https://t.co/uca80TIrgT"
10,Judge Amy Coney Barrett is a highly qualified Constitutionalist who will serve with a fair and balanced approach. The Senate should swiftly #ConfirmBarrett. https://t.co/BKB5d5Cyqj
11,"Thank you to the men and women, especially our Georgia farmers, who work tirelessly to ensure that we have food on our tables. #NationalFarmersDay https://t.co/njZSf0S7WC"
12,"RT @EdLaborGOP: Online child exploitation is up ⬆️ 126% during #COVID19.

Today, @EdLaborGOP’s @RepRickAllen signed the Safety Pledge from…"
13,"We are rebuilding the U.S. economy, and September marked the fifth consecutive month of job gains following the outbreak of COVID-19. https://t.co/ys5kNe2qGJ"
