,Tweet
0,Marsha Holder is a Vietnam Veteran who served two tours. The Prentiss County resident helped to write a book about her service and that of other women in Vietnam. Her story and more in this edition of my newsletter. https://t.co/QGppNiYVEd https://t.co/HJKWIehWEj
1,RT @Boots2Business: 👀 Looking for tips &amp; best practices for pivoting your #VetBiz during a pandemic? Check out the “Leveraging Your Network…
2,"RT @IRSnews: This Nov. 10, #IRS will hold a special day to encourage people who don’t typically file a tax return to register for an Econom…"
3,Our thoughts and prayers are with all those who may be impacted by Hurricane Zeta. https://t.co/to7XK9fLE2
4,Happy Birthday @USNavy! We are thankful for the men and women who have served America and those who are watching over us at this hour. #MS01 https://t.co/9aRtD5tE8g
5,Virtual Academy Day 2020 is fifteen minutes out! Anyone who is interested in attending one of America's service academies will be able to ask questions and receive important information. Visit https://t.co/nTpBVIf6ea to join our virtual Zoom event! https://t.co/bAVt9vmtge
6,Virtual Academy Day 2020 is tomorrow! It is an honor to share important information with young people who want to serve our Nation as an officer in the U.S. Armed Forces. Read more... https://t.co/GYzdFemncI  #MS01 https://t.co/sKpHhgh8SR
7,RT @IRSnews: #IRS extends the registration deadline for people who have not received their Economic Impact Payment and don’t normally file…
8,RT @IRSnews: Many people who are not required to file tax returns may still be eligible for Economic Impact Payments. Help us spread the wo…
9,Mississippi producers impacted by COVID-19 should register for the webinar. https://t.co/PdCFFt7o6t
10,RT @USDA: 📢 We're providing an additional $14 billion for agricultural producers who continue to face market disruptions &amp; associated costs…
11,RT @usdaRMA: .@USDA today announced that they are modifying the Whole-Farm Revenue Protection crop insurance program to decrease paperwork…
12,"On this day, thousands of lives were lost, leaving behind so many loved ones. We will always remember them and the Heroes who gave all to save lives.  #NeverForget https://t.co/8PI7YjpJWq"
13,RT @DeptofDefense: Two of the six candidate vaccines for #COVID19 are now in Phase III trials as #OperationWarpSpeed moves ahead: https://t…
14,Thankful for @TVAnews Board for approving a $200 million Pandemic Relief Credit to help so many people - when they need it most! Please click on the link for details. https://t.co/kzOPiIYS79
15,Thankful for our business owners in Mississippi and their employees who have been helped by this program. https://t.co/Ex81iqkKhU
16,Proud to know Mr. Robert Wilson! He is a Korean War Veteran who was wounded and earned a Purple Heart. Courageous man and an American Patriot! https://t.co/Uq4vEyPpO8
17,RT @MSEMA: For help regarding the COVID-19 Relief Program call: https://t.co/1i3BgWEdzh
18,"Six more counties have been  added to MS COVID-19 restrictions list - Winston, Calhoun, Holmes, Yalobusha, Montgomery, and Lamar.  @tatereeves said they are monitoring Lee County where cases continue to increase."
19,"RT @wtva9news: McDonald's announced Friday that starting August 1, customers who walk into its restaurants will have to wear face coverings…"
20,RT @msdh: Mississippi is on a strong upward trend in COVID-19 that has yet to stop. Hospitals are dangerously full. You can change this by…
21,"During a @HouseAgGOP hearing today, I requested @USDA Under Sec. Greg Ibach to consider providing aid to MS sweet potato farmers who have suffered because of COVID-19. They do not have a market to sell their 2019 crop. #MS01 https://t.co/zkaSSQjrkV"
22,The hardwood industry has suffered a blow due to COVID-19. I have signed on to Congressman Fred Keller's letter to House leadership recommending additional relief. Please click for details. https://t.co/qLsQurKQwF
23,"RT @IRSnews: #IRS has a new form for business taxpayers who pay or receive nonemployee compensation. They must file Form 1099-NEC, Nonemplo…"
24,Save the date for Academy Day 2020! Read all about it in my newsletter. We also feature 2d Lt Jessica Frederick who  graduated from the United States Air Force Academy. Click to read more! https://t.co/d168A8LuXe #MS01 https://t.co/iu31QYz38l
25,"These men and women will always be remembered. I was grateful to have Willy Weddle represent our office, honoring those who lost their lives to COVID-19. https://t.co/KdpFgIWofd"
26,"Today, we are marking up the #NDAA. I am pleased the House Armed Services Committee unanimously adopted my measure to make sure troops have enough PPE as we continue to fight COVID-19. This measure bolsters and protects the readiness of our Armed Forces. https://t.co/0KsF7MsmYp"
