,Tweet
0,"No matter what, I will always fight for our farmers and rural communities. Read my latest op-ed on how we’re working to support our farmers, expand broadband access, and improve rural healthcare: https://t.co/W9URkYYvh7"
1,"#Georgia has made great progress in our fight against #COVID19, but we can’t take our foot off the gas. Wash your hands, watch your distance, and wear your mask to protect yourself and others! https://t.co/PhudT0uY8Q"
2,"#Georgia received $47 billion through the #CARESAct to help small businesses, hospitals, and impacted individuals. Now, we’re focused on additional targeted relief to help get people back to work, get kids back to school, and beat this virus. https://t.co/Y19RmWCeRw"
3,Protecting our most vulnerable continues to be a top priority as we fight #COVID19. These #CARESAct funds will support additional testing and personnel needs in Georgia’s nursing homes and long-term care facilities. https://t.co/dQ1BpqZVIS
4,"Senate Republicans put on the floor a #COVID19 relief package that focused on getting people back to work, getting kids back to school, and beating this virus. Democrats rejected it."
5,RT @gacensus2020: We are so close to our goal of a complete count! Those who haven’t responded should visit https://t.co/hpvW2LaicP or call…
6,"Bonnie &amp; I both tested negative for #COVID19 today. We got tested proactively and continue to urge all Georgians to stay vigilant as we fight this virus. Remember to follow the 3W’s: wash your hands, watch your distance, and wear your mask!"
7,Bonnie &amp; I wish President Trump and the First Lady a speedy recovery. Our prayers are with them as they fight this virus. https://t.co/vHR6fhPN2R
8,"The bipartisan #CARESAct has been instrumental in helping our country get through the #COVID19 crisis. 
Read my latest op-ed in @mdjonline: https://t.co/R2lhySEMSP"
9,RT @mdjonline: SEN. DAVID PERDUE: The COVID-19 crisis is unique and historic because it is both a public health crisis and an economic cris…
10,"RT @WhiteHouse: To all those in Georgia working to provide Coronavirus testing, treatment, and care: THANK YOU!

This Administration is com…"
11,"Senate Democrats want to pack #SupremeCourt with activist justices who will reinterpret the Constitution to fit their radical, socialist agenda.

I’m sponsoring a constitutional amendment to keep SCOTUS at 9 justices and prevent our country from going down this dangerous path."
12,"RT @Surgeon_General: #DoYourPart and remember the 3⃣ W's. 👇 

#COVIDStopsWithMe https://t.co/SHnf5YiR2P"
13,"September 11, 2001 was one of the darkest days in our nation’s history. We will #neverforget the innocent lives lost, nor the bravery of the first responders who rushed to danger and sacrificed so much. https://t.co/gU9TcqMBdm"
14,"Our targeted relief bill is focused on getting people back to work, back to school, and beating this virus. https://t.co/IEeV1cW0Pd"
15,"Across the state, Georgians are rising to the challenge and helping one another. I’m encouraged by meetings with military, small business, and healthcare leaders. We’re going to defeat #COVID19 together. https://t.co/wytsT9aGxT"
16,"Wash your hands.
Watch your distance.
Wear your mask.

Follow these 3 W’s to protect yourself and others. We’re all in this together, and together, we will defeat this virus. https://t.co/fuHazJ4Xgr"
