,Tweet
0,"Murphy &amp; Blumenthal Join Colleagues to Pressure Trump Administration to Verify CDC’s Firearm Injury Data Accuracy
https://t.co/aCf2SZRqGm"
1,"Murphy Slams Latest Trump Administration Action to Sabotage Health Care System
https://t.co/SSZHzsyNzA"
2,"Murphy Applauds New Report Showing Progress in Veterans’ Mental Health Care Following Passage of his ‘Honor our Commitment’ Law
https://t.co/lDY4T2f7PJ"
3,"Murphy, Thune Reintroduce Bill to Encourage Healthy Living
https://t.co/CiRq6oJxwk"
4,"Murphy Votes Against Nominee Who Sided with Trump Administration to Strip Away Protections for People with Pre-Existing Conditions
https://t.co/jI8OrT4SJE"
5,"Murphy, Blumenthal Cosponsor Legislation to Create Public Health Care Options
https://t.co/IpwyFb4cLY"
6,"Murphy Calls on VA Secretary to Notify Veterans of Mental and Behavioral Health Benefits
https://t.co/GqSabepV5e"
7,"Murphy, Wheeler Clinic Applaud New Mental Health Funding from the Mental Health Reform Act
https://t.co/4X4Z2UbbbL"
8,"https://t.co/gpRLFmMZBA
Murphy Applauds Passage of Bill Supporting Connecticut Manufacturing, Mental Health Care &amp; Workforce Training"
9,"Murphy Applauds $10 Million Federal Grant to Help Connecticut Residents with Addiction &amp; Mental Health Disorders
https://t.co/xNZ0C4vX0y"
10,"Murphy criticizes the trump administration’s continued health care sabotage with new rule encouraging junk plans
https://t.co/ECMrl9JE55"
11,"Murphy criticizes Trump sabotage of health care system causing premium increases in Connecticut.
https://t.co/cDDzOIiV70"
12,VIDEO: Murphy lays out what's at stake for health care in Supreme Court fight. https://t.co/ANC2uFFjyu
13,VIDEO: Murphy slams sky-rocketing premiums and Trump's continued sabotage of Americans' health care https://t.co/YtScXvdQmQ
14,Murphy: Trump administration's health care sabotage causing double-digit increases in health insurance premiums https://t.co/CoZYSPj0Uc
15,VIDEO: Murphy calls out Trump Administration for sabotaging health care in hearing with HHS Secretary Alex Azar https://t.co/2MGXgXp3SX
16,VIDEO: Murphy outlines how Republican sabotage of health care system is resulting in skyrocketing costs for American families. https://t.co/BqsVAAsrsg
17,Murphy joins 47 Senators in calling on Trump administration to halt expansion of junk health insurance plans. https://t.co/g5EhSPe1ct
18,"Murphy, colleagues, urge Trump administration to take action on mental health parity and address the opioid crisis. https://t.co/g64mHY9v0W"
19,VIDEO: Senator Murphy questions Sec. Acosta about unequal insurance coverage of mental health and addiction services. https://t.co/wq9dhtrOGG
20,Murphy introduces bipartisan bill to support children's hospitals and train pediatricians. https://t.co/fvmXjrce4P
21,Murphy applauds funding for mental health and addiction programs in his Mental Health Reform Act https://t.co/IkKD2PSK1L
22,Murphy and HELP Committee Democrats request new CDC director support gun violence research and proactively combat the opioid epidemic https://t.co/cXzGmNwbjm
23,Murphy touts Yale-New Haven Children's Hospital program that improves outcomes for newborns with opioid withdrawal https://t.co/sMcfutHPf2
24,Murphy stands up for women's health care https://t.co/zJ8T02Gagl
25,Murphy opposes confirmation of Alex Azar to lead Health and Human Services department https://t.co/9RfsfhJXJM
26,Murphy applauds 2018 Access Health CT open enrollment numbers https://t.co/ZVzhxXz1b0
27,VIDEO: Murphy calls on Congress to fully fund bipartisan mental health reforms ahead of Sandy Hook anniversary. https://t.co/8lNZYgEQso
